integration times(sec),10,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,37
laser_powerlevel,50,-44.161473544249,39
,,-42.1546698518468,8
,,-40.1486357454087,54
,,-38.1433708576169,37.5
,,-36.1388748214067,37
,,-34.1351472699553,26
,,-32.1321878366853,11.5
,,-30.1299961552522,26.5
,,-28.1285718595627,11.5
,,-26.127914583758,15
,,-24.1280239622283,21
,,-22.1288996296043,39
,,-20.1305412207475,32.5
,,-18.1329483707741,8.5
,,-16.136120715033,42
,,-14.1400578891189,178.5
,,-12.1447595288591,783
,,-10.1502252703322,1323.5
,,-8.1564547498474,1881.5
,,-6.16344760395987,2716
,,-4.17120346946103,4591
,,-2.1797219833843,7256
,,-0.189002782999523,5364
,,1.80095449418513,2590
,,3.7901502104105,759
,,5.77858472769731,642
,,7.76625840781526,417
,,9.75317161230305,62.5
,,11.7393247024465,66.5
,,13.7247180393133,27.5
,,15.7093519837217,38
,,17.6932268962537,14
,,19.6763431372528,17.5
,,21.6587010668318,24.5
,,23.6403010448576,36
,,25.6211434309644,18
,,27.60122858455,39
,,29.5805568647775,15.5
,,31.5591286305698,108
,,33.5369442406154,90.5
,,35.5140040533643,182.5
,,37.4903084270354,288
,,39.4658577196114,393
,,41.4406522888366,496
,,43.4146924922206,534
,,45.3879786870384,512
,,47.3605112303303,531
,,49.3322904789075,566.5
,,51.3033167893354,556.5
,,53.2735905179561,567.5
,,55.2431120208676,640.5
,,57.2118816539387,700
,,59.179899772811,749
,,61.1471667328824,833
,,63.1136828893214,908.5
,,65.0794485970673,967
,,67.0444642108196,1018.5
,,69.0087300850446,1000.5
,,70.9722465739851,985
,,72.9350140316456,924.5
,,74.8970328117921,952
,,76.8583032679744,955.5
,,78.8188257534912,960.5
,,80.7786006214246,1047
,,82.7376282246223,1071.5
,,84.6959089156935,1074
,,86.6534430470238,1108
,,88.6102309707621,1118.5
,,90.566273038834,1138.5
,,92.5215696029263,1104
,,94.4761210145007,1058.5
,,96.4299276247893,1045
,,98.3829897847845,1029.5
,,100.335307845264,1021
,,102.286882156764,980.5
,,104.237713069599,1003.5
,,106.187800933843,954.5
,,108.137146099358,937
,,110.085748915759,934
,,112.033609732445,900.5
,,113.980728898583,875.5
,,115.927106763107,821
,,117.87274367473,777.5
,,119.817639981929,735
,,121.761796032959,718
,,123.705212175848,688.5
,,125.647888758393,661
,,127.589826128164,622
,,129.531024632504,598.5
,,131.471484618531,605.5
,,133.411206433135,601.5
,,135.35019042298,579.5
,,137.288436934499,598.5
,,139.225946313907,563.5
,,141.162718907186,573
,,143.098755060095,601
,,145.034055118169,556
,,146.968619426712,572
,,148.902448330808,567
,,150.835542175313,556.5
,,152.767901304856,563.5
,,154.699526063849,554.5
,,156.63041679647,524.5
,,158.560573846682,520
,,160.489997558212,507.5
,,162.418688274569,499.5
,,164.346646339047,513.5
,,166.273872094696,467.5
,,168.200365884364,471
,,170.126128050659,502
,,172.051158935974,495.5
,,173.975458882476,474.5
,,175.899028232114,506.5
,,177.821867326607,496.5
,,179.743976507454,458.5
,,181.665356115935,493
,,183.5860064931,503
,,185.505927979792,511
,,187.425120916616,503
,,189.343585643961,503.5
,,191.261322501998,498
,,193.178331830672,494
,,195.094613969706,470.5
,,197.01016925861,503
,,198.924998036668,491
,,200.839100642937,471
,,202.752477416265,512.5
,,204.665128695269,509
,,206.577054818363,494.5
,,208.488256123717,482
,,210.398732949297,480.5
,,212.308485632848,483.5
,,214.217514511893,478.5
,,216.125819923733,495.5
,,218.033402205458,472
,,219.940261693931,524.5
,,221.8463987258,495
,,223.751813637493,528.5
,,225.656506765223,542.5
,,227.560478444981,573.5
,,229.463729012537,592.5
,,231.366258803453,603
,,233.268068153067,603.5
,,235.169157396496,593
,,237.069526868645,572
,,238.9691769042,547
,,240.868107837636,559
,,242.766320003197,512
,,244.66381373492,480.5
,,246.560589366629,504.5
,,248.456647231922,521.5
,,250.351987664188,523
,,252.246610996595,522.5
,,254.140517562102,524.5
,,256.033707693441,509.5
,,257.926181723144,513.5
,,259.817939983512,524.5
,,261.708982806638,509
,,263.599310524403,495
,,265.488923468469,490.5
,,267.377821970284,505
,,269.26600636108,503
,,271.153476971878,483
,,273.040234133483,452.5
,,274.926278176486,509
,,276.811609431265,529.5
,,278.69622822798,574.5
,,280.580134896583,569
,,282.463329766813,593
,,284.345813168189,588.5
,,286.227585430024,573.5
,,288.108646881416,530
,,289.988997851247,536.5
,,291.868638668191,564.5
,,293.747569660709,525.5
,,295.625791157048,564
,,297.503303485239,571.5
,,299.380106973114,526.5
,,301.256201948281,511.5
,,303.131588738137,523.5
,,305.006267669878,495
,,306.880239070475,535
,,308.753503266698,533.5
,,310.626060585104,532.5
,,312.49791135204,566.5
,,314.369055893634,609.5
,,316.239494535816,570.5
,,318.109227604295,579
,,319.978255424579,553
,,321.846578321964,510.5
,,323.714196621529,552.5
,,325.581110648151,503.5
,,327.447320726491,486.5
,,329.312827181013,510.5
,,331.177630335957,568.5
,,333.041730515366,549.5
,,334.905128043067,535
,,336.767823242679,484
,,338.629816437613,514.5
,,340.491107951078,429
,,342.351698106067,431
,,344.211587225367,440
,,346.070775631559,453.5
,,347.929263647009,447
,,349.787051593894,436.5
,,351.644139794162,443.5
,,353.500528569564,459
,,355.356218241648,471
,,357.211209131747,476.5
,,359.065501560986,525
,,360.919095850299,493
,,362.771992320395,530.5
,,364.624191291785,572
,,366.475693084774,579
,,368.326498019464,580
,,370.176606415744,527.5
,,372.026018593304,496
,,373.874734871624,479
,,375.722755569981,451
,,377.570081007447,454
,,379.416711502885,503
,,381.262647374964,479
,,383.107888942135,449.5
,,384.952436522655,449
,,386.79629043457,449.5
,,388.639450995721,411
,,390.481918523754,393
,,392.323693336104,391.5
,,394.164775750001,407
,,396.005166082479,404.5
,,397.844864650357,398
,,399.683871770265,381
,,401.522187758617,383.5
,,403.359812931632,385.5
,,405.196747605327,412
,,407.032992095506,398.5
,,408.868546717782,442
,,410.703411787561,413.5
,,412.537587620049,392.5
,,414.371074530249,412
,,416.203872832957,379.5
,,418.035982842777,428
,,419.867404874105,390
,,421.698139241136,401.5
,,423.528186257867,437
,,425.357546238092,417.5
,,427.186219495403,418.5
,,429.014206343187,395.5
,,430.841507094647,397
,,432.668122062767,386.5
,,434.494051560343,392
,,436.319295899961,414.5
,,438.14385539401,366.5
,,439.967730354691,390.5
,,441.790921093985,432.5
,,443.613427923692,383
,,445.435251155401,398
,,447.256391100504,379
,,449.076848070199,399
,,450.89662237548,406.5
,,452.715714327145,421
,,454.534124235792,463
,,456.351852411821,499.5
,,458.16889916543,471
,,459.985264806626,509
,,461.800949645216,476.5
,,463.615953990806,446.5
,,465.430278152804,402
,,467.243922440422,434.5
,,469.056887162678,409.5
,,470.869172628391,404.5
,,472.680779146182,384.5
,,474.491707024468,424.5
,,476.301956571482,388
,,478.111528095253,404.5
,,479.920421903618,400
,,481.72863830421,454
,,483.536177604474,429.5
,,485.343040111651,467.5
,,487.149226132797,484
,,488.954735974761,527.5
,,490.759569944203,507.5
,,492.563728347586,436
,,494.367211491179,413
,,496.170019681054,420
,,497.972153223085,413
,,499.77361242296,386.5
,,501.574397586164,376.5
,,503.374509017991,404.5
,,505.173947023542,392
,,506.972711907716,364
,,508.770803975232,416.5
,,510.568223530603,368.5
,,512.364970878152,383.5
,,514.161046322009,379.5
,,515.956450166112,447.5
,,517.751182714195,398
,,519.545244269821,396
,,521.338635136335,408.5
,,523.131355616908,425
,,524.923406014505,433
,,526.714786631906,379.5
,,528.505497771697,385
,,530.295539736278,388.5
,,532.084912827839,399.5
,,533.873617348396,395
,,535.661653599765,415.5
,,537.449021883567,454.5
,,539.235722501244,537.5
,,541.021755754035,546.5
,,542.807121942988,565.5
,,544.591821368967,483
,,546.37585433264,419
,,548.159221134483,385
,,549.941922074791,380.5
