Integration_Time_sec,Laser_Power_W,Peak_Intensity
5,5,798.5
5,10,1122.0
5,15,1491.5
5,20,1877.0
5,25,2259.5
5,30,2529.0
5,35,2894.0
5,40,3144.5
5,45,3547.5
5,50,3866.0
5,55,4222.5
5,60,4540.0
5,65,4933.0
5,70,5248.5
5,75,5650.5
5,80,5983.0
10,5,1779.5
10,10,2215.0
10,15,3131.5
10,20,3806.0
10,25,4517.0
10,30,5430.0
10,35,5833.0
10,40,6110.5
10,45,6904.0
10,50,7256.0
10,55,8246.0
10,60,8989.5
10,65,9538.5
10,70,10300.5
10,75,11252.5
10,80,12383.0
15,5,2362.0
15,10,3518.0
15,15,4755.5
15,20,5945.0
15,25,6952.5
15,30,7803.0
15,35,9007.5
15,40,10604.0
15,45,11647.0
15,50,12012.0
15,55,13327.5
15,60,14396.0
15,65,15364.0
15,70,15900.0
15,75,17537.0
15,80,17504.5
20,5,3291.0
20,10,4411.0
20,15,6226.0
20,20,7621.0
20,25,8732.0
20,30,10247.5
20,35,11417.0
20,40,13077.5
20,45,14207.5
20,50,14315.0
20,55,16219.0
20,60,17257.0
20,65,19666.5
20,70,23172.0
20,75,25304.5
20,80,25718.0
25,5,4003.0
25,10,5673.5
25,15,7705.0
25,20,9846.5
25,25,11364.0
25,30,12433.0
25,35,14900.0
25,40,17339.0
25,45,19149.0
25,50,20397.0
25,55,25034.5
25,60,25830.5
25,65,25652.5
25,70,29681.5
25,75,32128.5
25,80,32260.0
