Rank,RamanShift,Intensity
1,1466.0,0.9979089899180241
2,225.0,0.716125000408069
3,776.0,0.6813691309771596
4,613.0,0.5177830874730109
5,1273.0,0.4899186748618203
6,908.0,0.3608515379456571
7,373.0,0.31183026083098786
8,1389.0,0.2897847589629423
9,1374.0,0.2771622385172805
10,567.0,0.25328358706218396
11,1149.0,0.21798287845059108
12,722.0,0.2156948755607156
13,1614.0,0.2145612056194079
14,1079.0,0.18876125478152464
15,1707.0,0.16864047879520047
16,481.0,0.1510644601299366
17,1335.0,0.13481668379858552
18,939.0,0.12352723862542168
19,303.0,0.11380106074632142
20,1001.0,0.11111989931729666
