Rank,RamanShift,Intensity
1,1350.0,0.9758970959918785
2,1280.0,0.9579330484979346
3,435.0,0.8847303184941034
4,310.0,0.8739626683691829
5,326.0,0.8717182663775362
6,1436.0,0.808894776454114
7,341.0,0.6915793991518431
8,1117.0,0.6381668530818674
9,357.0,0.5821906926639853
10,1381.0,0.5615658520473772
11,248.0,0.5363402431064521
12,1459.0,0.5078964631475901
13,489.0,0.4922346090799216
14,1024.0,0.4700549261656078
15,1055.0,0.4184727955896763
16,1071.0,0.3883135772847608
17,544.0,0.367936816087362
18,1397.0,0.3601373867880868
19,1226.0,0.34821168587123386
20,450.0,0.34039245341898505
