Rank,RamanShift,Intensity
1,240.0,0.9791020884905688
2,772.0,0.7657454059986499
3,1261.0,0.7504182280866535
4,467.0,0.6447478459562281
5,344.0,0.6362644946815422
6,1470.0,0.5217843841845439
7,379.0,0.46160316322915385
8,283.0,0.4272409772477881
9,912.0,0.38709047296131405
10,1401.0,0.3435276664203846
11,877.0,0.2798081612728914
12,860.0,0.25633672873621066
13,1217.0,0.25195011798783534
14,1069.0,0.23237271881806162
15,213.0,0.23225191972168407
16,1497.0,0.19308089654463448
17,1191.0,0.19037363750918126
18,1034.0,0.1740817228436751
19,580.0,0.16341586792178714
20,964.0,0.16095729420594165
