Rank,RamanShift,Intensity
1,240.0,1.0
2,1467.0,0.8847992700545995
3,344.0,0.8135361648008314
4,772.0,0.7674053593260025
5,1261.0,0.677996738763224
6,1280.0,0.6041441518351044
7,467.0,0.5677313292864091
8,1350.0,0.551215864279913
9,326.0,0.5412729073299484
10,379.0,0.5105036587420495
11,1436.0,0.49590725980274636
12,311.0,0.49079351549872935
13,435.0,0.4659539538996531
14,908.0,0.4557012496047877
15,1400.0,0.4531204621140836
16,1381.0,0.4499289392379269
17,488.0,0.407274036589608
18,283.0,0.39953741376561297
19,1069.0,0.39622787918292235
20,225.0,0.36357094019427005
