integration times(sec),20,Raman Shift,Dark Subtracted #1
laser_wavelength,784.92,-46.169047190162,-3
laser_powerlevel,40,-44.161473544249,31
,,-42.1546698518468,45.5
,,-40.1486357454087,6
,,-38.1433708576169,18.5
,,-36.1388748214067,-16
,,-34.1351472699553,-2
,,-32.1321878366853,11
,,-30.1299961552522,36.5
,,-28.1285718595627,5.5
,,-26.127914583758,57
,,-24.1280239622283,49.5
,,-22.1288996296043,35
,,-20.1305412207475,40
,,-18.1329483707741,97
,,-16.136120715033,134.5
,,-14.1400578891189,314.5
,,-12.1447595288591,1423
,,-10.1502252703322,2311
,,-8.1564547498474,3329
,,-6.16344760395987,4835.5
,,-4.17120346946103,8324
,,-2.1797219833843,13077.5
,,-0.189002782999523,9693.5
,,1.80095449418513,4545.5
,,3.7901502104105,1345.5
,,5.77858472769731,1114
,,7.76625840781526,733
,,9.75317161230305,68
,,11.7393247024465,80
,,13.7247180393133,64.5
,,15.7093519837217,41.5
,,17.6932268962537,31
,,19.6763431372528,20
,,21.6587010668318,61.5
,,23.6403010448576,47
,,25.6211434309644,29.5
,,27.60122858455,23
,,29.5805568647775,48
,,31.5591286305698,179.5
,,33.5369442406154,188
,,35.5140040533643,309.5
,,37.4903084270354,486
,,39.4658577196114,653
,,41.4406522888366,808.5
,,43.4146924922206,871
,,45.3879786870384,876
,,47.3605112303303,962
,,49.3322904789075,926.5
,,51.3033167893354,917.5
,,53.2735905179561,968
,,55.2431120208676,1067.5
,,57.2118816539387,1155.5
,,59.179899772811,1271
,,61.1471667328824,1423.5
,,63.1136828893214,1497.5
,,65.0794485970673,1634.5
,,67.0444642108196,1699
,,69.0087300850446,1729.5
,,70.9722465739851,1639.5
,,72.9350140316456,1594
,,74.8970328117921,1587.5
,,76.8583032679744,1576
,,78.8188257534912,1644.5
,,80.7786006214246,1726.5
,,82.7376282246223,1769
,,84.6959089156935,1791
,,86.6534430470238,1857
,,88.6102309707621,1868
,,90.566273038834,1876.5
,,92.5215696029263,1888.5
,,94.4761210145007,1795.5
,,96.4299276247893,1801
,,98.3829897847845,1693
,,100.335307845264,1644.5
,,102.286882156764,1586
,,104.237713069599,1630.5
,,106.187800933843,1591.5
,,108.137146099358,1547.5
,,110.085748915759,1468
,,112.033609732445,1474
,,113.980728898583,1406.5
,,115.927106763107,1343
,,117.87274367473,1285
,,119.817639981929,1208
,,121.761796032959,1120.5
,,123.705212175848,1111
,,125.647888758393,1043.5
,,127.589826128164,963
,,129.531024632504,969
,,131.471484618531,932
,,133.411206433135,948.5
,,135.35019042298,915
,,137.288436934499,917.5
,,139.225946313907,884.5
,,141.162718907186,916.5
,,143.098755060095,871
,,145.034055118169,915
,,146.968619426712,877.5
,,148.902448330808,861.5
,,150.835542175313,867
,,152.767901304856,864
,,154.699526063849,784.5
,,156.63041679647,809
,,158.560573846682,830.5
,,160.489997558212,791.5
,,162.418688274569,811
,,164.346646339047,763
,,166.273872094696,742.5
,,168.200365884364,799.5
,,170.126128050659,771.5
,,172.051158935974,772
,,173.975458882476,794
,,175.899028232114,774.5
,,177.821867326607,759
,,179.743976507454,791
,,181.665356115935,791
,,183.5860064931,771
,,185.505927979792,766
,,187.425120916616,753.5
,,189.343585643961,761
,,191.261322501998,762.5
,,193.178331830672,744
,,195.094613969706,726.5
,,197.01016925861,747
,,198.924998036668,727
,,200.839100642937,763.5
,,202.752477416265,795.5
,,204.665128695269,774.5
,,206.577054818363,745.5
,,208.488256123717,766
,,210.398732949297,803.5
,,212.308485632848,760
,,214.217514511893,763.5
,,216.125819923733,777
,,218.033402205458,759.5
,,219.940261693931,738
,,221.8463987258,770.5
,,223.751813637493,783.5
,,225.656506765223,817
,,227.560478444981,896
,,229.463729012537,943
,,231.366258803453,958
,,233.268068153067,951.5
,,235.169157396496,980.5
,,237.069526868645,872.5
,,238.9691769042,852.5
,,240.868107837636,816.5
,,242.766320003197,768
,,244.66381373492,750
,,246.560589366629,782
,,248.456647231922,785.5
,,250.351987664188,769
,,252.246610996595,768
,,254.140517562102,807.5
,,256.033707693441,802.5
,,257.926181723144,785
,,259.817939983512,772
,,261.708982806638,785
,,263.599310524403,791.5
,,265.488923468469,745.5
,,267.377821970284,743
,,269.26600636108,689.5
,,271.153476971878,727
,,273.040234133483,764
,,274.926278176486,802.5
,,276.811609431265,796.5
,,278.69622822798,875.5
,,280.580134896583,940
,,282.463329766813,885.5
,,284.345813168189,901
,,286.227585430024,879.5
,,288.108646881416,871.5
,,289.988997851247,874.5
,,291.868638668191,818.5
,,293.747569660709,821.5
,,295.625791157048,801
,,297.503303485239,753.5
,,299.380106973114,742.5
,,301.256201948281,721.5
,,303.131588738137,733
,,305.006267669878,770
,,306.880239070475,783
,,308.753503266698,742
,,310.626060585104,784
,,312.49791135204,807.5
,,314.369055893634,843.5
,,316.239494535816,894.5
,,318.109227604295,897
,,319.978255424579,868.5
,,321.846578321964,814.5
,,323.714196621529,785
,,325.581110648151,752.5
,,327.447320726491,781.5
,,329.312827181013,794.5
,,331.177630335957,793
