File Version,BWRam4.15_8
Date,2026-02-12 13:44:25
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
title,BWS465-785H
model,BTC665N-785H-SYS
c code,ZSSL
operator,
pixel_start,0
pixel_end,2047
pixel_num,2048
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),25
integration times unit,2
time_multiply,1
average number,2
spectrometer_type,72
yaxis,0
yaxis_min,500
yaxis_max,2000
xaxis,1
xaxis_min,0
xaxis_max,2047
coefs_a0,782.085798608048
coefs_a1,0.12281844245306
coefs_a2,-4.27130710519257E-06
coefs_a3,-6.19750623094309E-10
coefs_b0,-8914.54823242072
coefs_b1,19.2326352542194
coefs_b2,-0.0159067122090297
coefs_b3,7.53004431538809E-06
laser_wavelength,784.92
laser_powerlevel,15
probe_index,0
probe_name,
dark_compensate,0
gain,46261
offset,2048
numcoeff_d,0
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,0
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,782.085798608048,12786.3209098004,-46.169047190162,1424,65535,1451.5,27.5,0,0,0,1,1,1,
1,782.208612778574,12784.3133361545,-44.161473544249,1470.5,65535,1502,31.5,0,0,0,1,1,1,
2,782.331418402768,12782.306532462,-42.1546698518468,1387.5,65535,1423,35.5,0,0,0,1,1,1,
3,782.45421547691,12780.3004983556,-40.1486357454087,1448.5,65535,1499.5,51,0,0,0,1,1,1,
4,782.577003997282,12778.2952334678,-38.1433708576169,1399.5,65535,1449.5,50,0,0,0,1,1,1,
5,782.699783960167,12776.2907374316,-36.1388748214067,1921.5,65535,1983,61.5,0,0,0,1,1,1,
6,782.822555361844,12774.2870098802,-34.1351472699553,1366.5,65535,1419,52.5,0,0,0,1,1,1,
7,782.945318198597,12772.2840504469,-32.1321878366853,1290,65535,1319.5,29.5,0,0,0,1,1,1,
8,783.068072466705,12770.2818587655,-30.1299961552522,1272,65535,1314.5,42.5,0,0,0,1,1,1,
9,783.190818162452,12768.2804344698,-28.1285718595627,1344,65535,1378.5,34.5,0,0,0,1,1,1,
10,783.313555282117,12766.279777194,-26.127914583758,1446.5,65535,1479.5,33,0,0,0,1,1,1,
11,783.436283821984,12764.2798865724,-24.1280239622283,1416.5,65535,1466.5,50,0,0,0,1,1,1,
12,783.559003778332,12762.2807622398,-22.1288996296043,1465.5,65535,1523,57.5,0,0,0,1,1,1,
13,783.681715147445,12760.2824038309,-20.1305412207475,1365,65535,1411.5,46.5,0,0,0,1,1,1,
14,783.804417925602,12758.284810981,-18.1329483707741,1467,65535,1546,79,0,0,0,1,1,1,
15,783.927112109087,12756.2879833252,-16.136120715033,1452.5,65535,1567.5,115,0,0,0,1,1,1,
16,784.049797694179,12754.2919204993,-14.1400578891189,1437.5,65535,1727,289.5,0,0,0,1,1,1,
17,784.172474677162,12752.2966221391,-12.1447595288591,1439.5,65535,2374,934.5,0,0,0,1,1,1,
18,784.295143054315,12750.3020878805,-10.1502252703322,1425.5,65535,2989,1563.5,0,0,0,1,1,1,
19,784.417802821922,12748.30831736,-8.1564547498474,1400.5,65535,3446,2045.5,0,0,0,1,1,1,
20,784.540453976262,12746.3153102142,-6.16344760395987,1520,65535,4646,3126,0,0,0,1,1,1,
21,784.663096513618,12744.3230660797,-4.17120346946103,1516.5,65535,7193.5,5677,0,0,0,1,1,1,
22,784.785730430272,12742.3315845936,-2.1797219833843,1472.5,65535,9072,7599.5,0,0,0,1,1,1,
23,784.908355722504,12740.3408653932,-0.189002782999523,1379,65535,6304,4925,0,0,0,1,1,1,
24,785.030972386596,12738.350908116,1.80095449418513,1437.5,65535,3285.5,1848,0,0,0,1,1,1,
25,785.15358041883,12736.3617123998,3.7901502104105,1313.5,65535,1978.5,665,0,0,0,1,1,1,
26,785.276179815487,12734.3732778825,5.77858472769731,1317,65535,1914,597,0,0,0,1,1,1,
27,785.398770572849,12732.3856042024,7.76625840781526,1422,65535,1937.5,515.5,0,0,0,1,1,1,
28,785.521352687198,12730.3986909979,9.75317161230305,1340,65535,1422.5,82.5,0,0,0,1,1,1,
29,785.643926154813,12728.4125379078,11.7393247024465,1365,65535,1445.5,80.5,0,0,0,1,1,1,
30,785.766490971978,12726.4271445709,13.7247180393133,1311.5,65535,1383,71.5,0,0,0,1,1,1,
31,785.889047134974,12724.4425106265,15.7093519837217,1384.5,65535,1471,86.5,0,0,0,1,1,1,
32,786.011594640082,12722.4586357139,17.6932268962537,1463.5,65535,1524,60.5,0,0,0,1,1,1,
33,786.134133483583,12720.4755194729,19.6763431372528,1409,65535,1481,72,0,0,0,1,1,1,
34,786.25666366176,12718.4931615434,21.6587010668318,1404.5,65535,1473.5,69,0,0,0,1,1,1,
35,786.379185170893,12716.5115615653,23.6403010448576,1453.5,65535,1542,88.5,0,0,0,1,1,1,
36,786.501698007265,12714.5307191792,25.6211434309644,1583,65535,1690.5,107.5,0,0,0,1,1,1,
37,786.624202167156,12712.5506340257,27.60122858455,1436,65535,1551,115,0,0,0,1,1,1,
38,786.746697646848,12710.5713057454,29.5805568647775,1832.5,65535,2001,168.5,0,0,0,1,1,1,
39,786.869184442623,12708.5927339796,31.5591286305698,1827,65535,2317,490,0,0,0,1,1,1,
40,786.991662550762,12706.6149183696,33.5369442406154,1729,65535,2345.5,616.5,0,0,0,1,1,1,
41,787.114131967547,12704.6378585568,35.5140040533643,1716,65535,2559,843,0,0,0,1,1,1,
42,787.236592689259,12702.6615541832,37.4903084270354,1764,65535,3070,1306,0,0,0,1,1,1,
43,787.359044712179,12700.6860048906,39.4658577196114,1987.5,65535,3900.5,1913,0,0,0,1,1,1,
44,787.48148803259,12698.7112103214,41.4406522888366,2026.5,65535,4611.5,2585,0,0,0,1,1,1,
45,787.603922646772,12696.737170118,43.4146924922206,2315.5,65535,5553.5,3238,0,0,0,1,1,1,
46,787.726348551008,12694.7638839232,45.3879786870384,2711.5,65535,6699.5,3988,0,0,0,1,1,1,
47,787.848765741577,12692.7913513799,47.3605112303303,2951,65535,7844.5,4893.5,0,0,0,1,1,1,
48,787.971174214764,12690.8195721313,49.3322904789075,3188,65535,8921.5,5733.5,0,0,0,1,1,1,
49,788.093573966847,12688.8485458209,51.3033167893354,3581,65535,10224.5,6643.5,0,0,0,1,1,1,
