Power,Raman Shift (cm⁻¹),Norm. Intensity,Prominence
40%,516.0,0.2693,0.2241
40%,542.8,0.454,0.4363
40%,569.5,0.3941,0.3941
40%,596.1,0.2541,0.2541
40%,631.2,0.2783,0.2783
40%,664.4,0.3631,0.3631
40%,690.4,0.1869,0.1447
40%,721.5,0.2348,0.2348
40%,748.9,0.289,0.2381
40%,777.8,0.5371,0.1986
40%,808.3,0.6922,0.6922
40%,838.5,0.2846,0.0798
40%,865.3,0.6589,0.4699
40%,913.3,0.3745,0.2827
40%,939.6,0.3109,0.1796
40%,969.0,0.2475,0.2475
40%,993.3,0.2949,0.2949
40%,1027.2,0.3049,0.1478
40%,1057.6,0.6164,0.1521
40%,1087.8,1.0,1.0
40%,1111.5,0.4793,0.1996
40%,1158.5,0.2089,0.2089
40%,1192.6,0.1974,0.1974
40%,1224.9,0.1986,0.1894
40%,1264.6,0.3159,0.3159
40%,1290.4,0.2768,0.2006
40%,1316.0,0.3758,0.0545
40%,1338.4,0.6143,0.4915
40%,1363.7,0.5769,0.2475
40%,1405.0,0.5425,0.3248
40%,1437.2,0.55,0.1946
40%,1461.9,0.6655,0.6655
40%,1486.5,0.231,0.1589
40%,1525.1,0.1619,0.1619
40%,1559.2,0.346,0.2446
40%,1585.9,0.3563,0.3563
40%,1609.7,0.3354,0.2952
40%,1633.4,0.1672,0.0938
40%,1654.1,0.3391,0.3334
40%,1685.7,0.1844,0.1844
40%,1712.9,0.1993,0.1993
40%,1746.7,0.3342,0.3342
40%,1770.9,0.2116,0.2094
40%,1796.2,0.2829,0.2829
40%,1820.0,0.1749,0.1281
40%,1842.4,0.2682,0.2682
40%,1872.4,0.2499,0.2472
40%,1908.7,0.2892,0.2892
40%,1944.6,0.1845,0.155
40%,1964.9,0.1557,0.1557
40%,1996.5,0.2208,0.1776
50%,510.6,0.2375,0.1866
50%,541.0,0.3651,0.3362
50%,569.5,0.1988,0.0661
50%,597.8,0.1517,0.0848
50%,631.2,0.2212,0.2212
50%,660.9,0.2319,0.2319
50%,695.6,0.1613,0.1613
50%,721.5,0.2329,0.2329
