Dataset,RamanShift,Intensity,Intensity_norm
Glycerol-Phosphate,202.56,4.044373058,0.06865345280559973
Glycerol-Phosphate,211.2,5.878736548,0.0997918728976639
Glycerol-Phosphate,219.84,2.380806477,0.04041431954074343
Glycerol-Phosphate,228.48,4.934532902,0.08376396461128242
Glycerol-Phosphate,237.12,24.95001043,0.4235277851450928
Glycerol-Phosphate,245.76,13.84793933,0.23506952390714977
Glycerol-Phosphate,254.39999999999998,5.260840433,0.08930305271179965
Glycerol-Phosphate,263.03999999999996,3.084866253,0.05236577256220135
Glycerol-Phosphate,271.68,2.557134459,0.04340749663319741
Glycerol-Phosphate,280.32,10.88871369,0.18483650758957823
Glycerol-Phosphate,288.96,6.226511507,0.10569537175701069
Glycerol-Phosphate,297.59999999999997,1.665360455,0.028269584373651666
Glycerol-Phosphate,306.24,1.195777409,0.020298386607139698
Glycerol-Phosphate,314.88,2.340438548,0.039729071748634014
Glycerol-Phosphate,323.52,3.233148033,0.054882863849075494
Glycerol-Phosphate,332.15999999999997,3.97990779,0.06755915137228266
Glycerol-Phosphate,340.8,16.3716094,0.2779089607155159
Glycerol-Phosphate,349.44,3.726293437,0.06325403392519967
Glycerol-Phosphate,358.08,1.886398907,0.032021724128066184
Glycerol-Phosphate,366.71999999999997,3.671828706,0.06232949215181359
Glycerol-Phosphate,375.36,11.76738166,0.19975194420857748
Glycerol-Phosphate,384.0,5.604999286,0.09514516797496211
Glycerol-Phosphate,392.64,5.430641316,0.09218543194344117
Glycerol-Phosphate,401.28,3.207227434,0.05444286027012292
Glycerol-Phosphate,409.91999999999996,0.998168539,0.016943965282510035
Glycerol-Phosphate,418.56,0.635718859,0.010791362235403907
Glycerol-Phosphate,427.2,0.630132611,0.010696535371529476
Glycerol-Phosphate,435.84,0.860397218,0.014605289609273306
Glycerol-Phosphate,444.47999999999996,1.76883963,0.030026149001925108
Glycerol-Phosphate,453.12,8.051861631,0.13668078947060322
Glycerol-Phosphate,461.76,16.51560329,0.28035326483623874
Glycerol-Phosphate,470.4,7.803107874,0.13245818090519548
Glycerol-Phosphate,479.03999999999996,6.518105622,0.11064519773138379
Glycerol-Phosphate,487.68,1.425115156,0.02419140734593206
Glycerol-Phosphate,496.32,0.675844698,0.011472500536585715
Glycerol-Phosphate,504.96,0.544406459,0.009241329275025589
Glycerol-Phosphate,513.6,1.049270928,0.017811431117424836
Glycerol-Phosphate,522.24,2.664549861,0.04523087892905522
Glycerol-Phosphate,530.88,0.523378107,0.00888437185519611
Glycerol-Phosphate,539.52,0.277742937,0.004714701473866401
Glycerol-Phosphate,548.16,0.236309457,0.004011365895531193
Glycerol-Phosphate,556.8,0.305674506,0.0051888413780314556
Glycerol-Phosphate,565.4399999999999,0.687903874,0.011677205705598938
Glycerol-Phosphate,574.0799999999999,4.100683137,0.06960931946173304
Glycerol-Phosphate,582.72,1.659230546,0.028165528834709314
Glycerol-Phosphate,591.36,0.430226696,0.007303121582990504
Glycerol-Phosphate,600.0,0.237604554,0.004033350237601789
Glycerol-Phosphate,608.64,0.248502335,0.004218340663272175
Glycerol-Phosphate,617.28,0.436857924,0.007415687039245992
Glycerol-Phosphate,625.92,2.439237266,0.04140618536456266
Glycerol-Phosphate,634.56,0.832674851,0.014134700920445676
Glycerol-Phosphate,643.1999999999999,0.245660381,0.004170098339427013
Glycerol-Phosphate,651.84,0.143344343,0.0024332780250412305
Glycerol-Phosphate,660.48,0.114156948,0.0019378204061682044
Glycerol-Phosphate,669.12,0.110165283,0.0018700616755161954
Glycerol-Phosphate,677.76,0.11367857,0.0019296999135788096
Glycerol-Phosphate,686.4,0.128646835,0.002183787026716534
Glycerol-Phosphate,695.04,0.154382739,0.002620655397990667
Glycerol-Phosphate,703.68,0.19970808,0.0033900555286452846
Glycerol-Phosphate,712.3199999999999,0.272050488,0.004618071842236166
Glycerol-Phosphate,720.9599999999999,0.394755173,0.006700990549255573
Glycerol-Phosphate,729.6,0.625662202,0.01062064993541815
Glycerol-Phosphate,738.24,1.161512516,0.019716738183334866
Glycerol-Phosphate,746.88,2.935559097,0.04983127546191326
Glycerol-Phosphate,755.52,14.98974695,0.2544517704082944
Glycerol-Phosphate,764.16,19.16271627,0.32528815176118286
Glycerol-Phosphate,772.8,3.440929953,0.0584099732512015
Glycerol-Phosphate,781.4399999999999,1.480619273,0.025133592753244696
Glycerol-Phosphate,790.0799999999999,1.535284367,0.026061535699462065
Glycerol-Phosphate,798.72,1.771675898,0.030074294805610767
Glycerol-Phosphate,807.36,1.112137203,0.018878589557529437
Glycerol-Phosphate,816.0,3.02614367,0.051368953519349
Glycerol-Phosphate,824.64,1.909392817,0.03241204700193625
Glycerol-Phosphate,833.28,0.875529409,0.014862159375183962
Glycerol-Phosphate,841.92,1.40698244,0.023883603504819797
Glycerol-Phosphate,850.56,6.555736438,0.11128398288132982
Glycerol-Phosphate,859.1999999999999,4.145468007,0.07036954506774337
Glycerol-Phosphate,867.8399999999999,7.018334703,0.11913661361016645
Glycerol-Phosphate,876.48,4.317988566,0.07329809094752414
Glycerol-Phosphate,885.12,1.808548285,0.030700205581998475
Glycerol-Phosphate,893.76,4.141736817,0.07030620791439472
Glycerol-Phosphate,902.4,9.697884992,0.16462212562103512
Glycerol-Phosphate,911.04,7.953035015,0.13500320228460602
Glycerol-Phosphate,919.68,2.098550323,0.035623005962635554
Glycerol-Phosphate,928.3199999999999,2.456793696,0.041704206719456134
Glycerol-Phosphate,936.9599999999999,1.165538044,0.019785071740255133
Glycerol-Phosphate,945.5999999999999,2.590593577,0.043975466982516746
Glycerol-Phosphate,954.24,4.045892329,0.06867924251352273
Glycerol-Phosphate,962.88,1.84343647,0.03129243442143076
Glycerol-Phosphate,971.52,1.944827079,0.03301354552816796
Glycerol-Phosphate,980.16,1.179706306,0.02002557875892155
Glycerol-Phosphate,988.8,0.688892557,0.0116939886533406
Glycerol-Phosphate,997.4399999999999,0.671746482,0.011402933096908848
Glycerol-Phosphate,1006.0799999999999,2.215560489,0.037609259899662045
Glycerol-Phosphate,1014.7199999999999,1.559061781,0.026465158596380347
Glycerol-Phosphate,1023.36,4.349734094,0.07383697301331818
Glycerol-Phosphate,1032.0,1.005997656,0.017076864969744823
Glycerol-Phosphate,1040.6399999999999,0.630086382,0.010695750631738108
Glycerol-Phosphate,1049.28,1.423144014,0.024157947103187524
Glycerol-Phosphate,1057.92,5.830471161,0.09897256532612472
Glycerol-Phosphate,1066.56,1.06252309,0.01803638728872548
