mode,freq,raman,fH,fC,fN,fO,ring_frac,CO_stretch,b1,b1w,b2,b2w,stretch_char,bend_char,assignment,freq_scaled,intensity
1,34.8237,0.8779,0.7266,0.1288,0.0008,0.1439,0.0111,0.005,CO,0.5127,CH,0.244,0.0007,1.2502,Torsional / low-frequency skeletal,34.1272,16.835
2,40.8718,1.18,0.6442,0.1325,0.0133,0.2099,0.0218,0.0051,CH,0.4715,CC,0.2351,0.0008,1.5885,Torsional / low-frequency skeletal,40.0544,16.6246
3,42.1156,0.2527,0.7074,0.1257,0.0002,0.1667,0.0418,0.0052,CH,0.4699,CO,0.2345,0.0006,1.512,Torsional / low-frequency skeletal,41.2733,3.362
4,57.3083,0.2212,0.7168,0.1048,0.0001,0.1782,0.0327,0.0047,CH,0.3446,CO,0.3151,0.0008,1.3652,Torsional / low-frequency skeletal,56.1621,1.638
5,60.1069,0.4656,0.9837,0.0041,0.0,0.0123,0.0009,0.0051,CH,0.5117,CO,0.2197,0.0006,4.2419,Torsional / low-frequency skeletal,58.9048,3.1498
6,71.459,0.4003,0.5545,0.1083,0.0045,0.3327,0.0074,0.0053,CO,0.3503,CC,0.2559,0.001,1.8972,Torsional / low-frequency skeletal,70.0298,1.9579
7,84.5912,1.0308,0.8033,0.0924,0.0056,0.0987,0.0057,0.0068,CH,0.3803,CO,0.3549,0.0008,2.4862,Torsional / low-frequency skeletal,82.8994,3.6902
8,90.6954,0.1031,0.7187,0.116,0.0109,0.1544,0.0352,0.0079,CC,0.3,CH,0.2791,0.0011,2.0296,Torsional / low-frequency skeletal,88.8815,0.3249
9,107.9319,0.1231,0.7303,0.0644,0.0098,0.1955,0.0233,0.0069,CO,0.3889,CN,0.2378,0.0007,2.2689,Torsional / low-frequency skeletal,105.7733,0.2828
10,120.6099,0.1193,0.7671,0.1024,0.0056,0.1249,0.0352,0.0014,CO,0.4166,CH,0.3132,0.0009,2.0349,Torsional / low-frequency skeletal,118.1977,0.2239
11,148.7269,0.0875,0.6182,0.0841,0.0056,0.2921,0.1997,0.0036,CO,0.3956,CC,0.2597,0.001,2.7821,Torsional / low-frequency skeletal,145.7524,0.1145
12,175.5527,0.8467,0.561,0.1392,0.0689,0.231,0.0692,0.0052,CC,0.6869,CO,0.1615,0.0021,2.0108,Torsional / low-frequency skeletal,172.0416,0.83
13,182.6223,0.0805,0.8623,0.058,0.001,0.0787,0.0372,0.0042,CO,0.4328,CC,0.2726,0.0011,2.5742,Torsional / low-frequency skeletal,178.9699,0.0741
14,213.6847,0.2026,0.9818,0.0124,0.0008,0.005,0.0018,0.0044,CH,0.4815,CC,0.2421,0.0007,4.1217,Torsional / low-frequency skeletal,209.411,0.1431
15,230.1409,0.2845,0.9445,0.0254,0.0038,0.0263,0.0118,0.0014,CC,0.455,CO,0.2323,0.0015,1.5103,Torsional / low-frequency skeletal,225.5381,0.1785
16,241.5936,1.7437,0.9123,0.0343,0.0029,0.0506,0.0108,0.0106,CC,0.3599,CO,0.3127,0.0018,1.953,Torsional / low-frequency skeletal,236.7617,1.0084
17,244.2823,1.1353,0.8851,0.0688,0.0129,0.0333,0.0129,0.0026,CC,0.4706,CO,0.4384,0.0036,2.8353,Torsional / low-frequency skeletal,239.3967,0.6448
18,264.1435,1.0766,0.7354,0.1133,0.0308,0.1205,0.0297,0.0081,CC,0.5298,CO,0.2039,0.0034,1.8159,Torsional / low-frequency skeletal,258.8606,0.5387
19,285.0521,0.571,0.9193,0.022,0.0006,0.058,0.0062,0.0027,CC,0.5911,CO,0.3026,0.0021,1.2327,Torsional / low-frequency skeletal,279.3511,0.2542
20,294.9525,3.2449,0.7506,0.1352,0.0221,0.0922,0.0176,0.0114,CC,0.6942,CO,0.2423,0.0112,1.6388,Torsional / low-frequency skeletal,289.0534,1.367
21,301.6969,2.1738,0.9393,0.0254,0.0029,0.0325,0.0067,0.0046,CC,0.498,CN,0.2989,0.0027,1.3338,Torsional / low-frequency skeletal,295.663,0.8838
22,314.1243,1.5609,0.7273,0.0994,0.0357,0.1376,0.0597,0.0047,CC,0.6385,CO,0.252,0.0052,2.4435,Torsional / low-frequency skeletal,307.8418,0.5976
23,340.5879,0.9492,0.7493,0.0741,0.0282,0.1485,0.0459,0.0107,CC,0.6273,CO,0.2008,0.0063,2.8202,Torsional / low-frequency skeletal,333.7761,0.3215
24,345.3306,1.3366,0.7499,0.1107,0.0011,0.1383,0.0745,0.0057,CC,0.6545,CO,0.1957,0.0061,3.3672,Torsional / low-frequency skeletal,338.424,0.4428
25,385.4458,1.7737,0.7886,0.1381,0.0279,0.0454,0.1077,0.0049,CC,0.5727,CO,0.3891,0.0089,2.6147,Torsional / low-frequency skeletal,377.7369,0.4983
26,411.6593,3.9171,0.7933,0.1273,0.0014,0.078,0.1321,0.0005,CC,0.5263,CO,0.4321,0.0132,1.8257,Skeletal bending / ring torsion,403.4261,1.0
27,423.8938,1.3542,0.9421,0.0264,0.0011,0.0304,0.0242,0.0041,CO,0.6198,CC,0.2597,0.0042,1.7517,Skeletal bending / ring torsion,415.4159,0.3316
28,449.5266,0.6331,0.8815,0.0542,0.01,0.0543,0.0484,0.0016,CC,0.6255,CO,0.258,0.0046,2.3647,Skeletal bending / ring torsion,440.5361,0.1431
29,469.8501,1.0267,0.7416,0.1174,0.0033,0.1377,0.0875,0.0017,CC,0.694,CO,0.2702,0.02,3.3624,Skeletal bending / ring torsion,460.4531,0.2172
30,504.2598,2.8443,0.7704,0.1437,0.0074,0.0784,0.0852,0.0014,CO,0.5661,CC,0.404,0.0202,2.8334,Skeletal bending / ring torsion,494.1746,0.5438
31,523.8471,2.2868,0.7631,0.1389,0.0029,0.0951,0.1365,0.0039,CC,0.8687,CO,0.1163,0.0268,2.6961,Skeletal bending / ring torsion,513.3702,0.4141
32,566.9565,3.1763,0.8356,0.0978,0.0077,0.059,0.0666,0.0012,CC,0.73,CN,0.1415,0.0211,3.3676,Skeletal bending / ring torsion,555.6174,0.5152
33,581.5867,2.2835,0.8545,0.089,0.0114,0.045,0.0451,0.0106,CC,0.7956,CO,0.13,0.0202,3.1263,Skeletal bending / ring torsion,569.955,0.3586
34,584.9714,1.8376,0.9604,0.0264,0.002,0.0113,0.0042,0.0118,CC,0.6717,CO,0.1941,0.0054,1.6238,Skeletal bending / ring torsion,573.272,0.2862
35,594.0249,0.9102,0.9152,0.0289,0.0261,0.0299,0.0334,0.0102,CN,0.5322,CC,0.2614,0.0159,3.4106,Skeletal bending / ring torsion,582.1444,0.138
36,620.8062,0.625,0.7874,0.1466,0.0117,0.0543,0.0595,0.0118,CC,0.523,CO,0.3867,0.018,3.8693,Skeletal deformation + δ(C–C–O),608.3901,0.0892
37,632.0339,0.4591,0.8805,0.0759,0.0042,0.0394,0.0327,0.0062,CO,0.4331,CC,0.4049,0.0089,3.655,Skeletal deformation + δ(C–C–O),619.3932,0.064
38,639.4765,0.8296,0.8632,0.089,0.0038,0.044,0.0687,0.0007,CO,0.5337,CC,0.4356,0.0133,3.519,Skeletal deformation + δ(C–C–O),626.687,0.1145
39,653.2125,1.8678,0.8221,0.1012,0.0014,0.0753,0.0489,0.01,CC,0.5098,CO,0.3814,0.0183,3.4504,Skeletal deformation + δ(C–C–O),640.1482,0.2492
40,706.3145,1.4704,0.8083,0.1151,0.0322,0.0444,0.0774,0.0114,CC,0.719,CO,0.2,0.0578,2.8485,Skeletal deformation + δ(C–C–O),692.1882,0.1768
41,746.1974,5.2899,0.7597,0.1722,0.0005,0.0675,0.0047,0.0184,CC,0.8085,CO,0.1867,0.0629,3.4586,γ(O–H) carboxylic acid out-of-plane,731.2735,0.5909
42,809.3756,7.4059,0.8739,0.0953,0.0,0.0308,0.001,0.0309,CC,0.8827,CO,0.1142,0.092,4.4999,Skeletal deformation + δ(C–C–O),793.1881,0.7407
43,890.7837,3.2128,0.9113,0.0595,0.0012,0.028,0.0498,0.004,CO,0.6468,CC,0.3401,0.0821,4.1577,γ(CH₂) hydroxymethyl wagging,872.968,0.2828
44,923.2789,2.3326,0.905,0.071,0.0002,0.0238,0.0307,0.0041,CO,0.6083,CC,0.3888,0.1273,4.5819,Ring breathing / ν(C–C–O),904.8133,0.1953
45,945.5834,3.5677,0.7236,0.1398,0.0882,0.0484,0.0709,0.0775,CC,0.723,CN,0.1869,0.2883,3.082,Ring breathing / ν(C–C–O),926.6717,0.2896
46,999.4557,2.6436,0.9097,0.0772,0.0026,0.0105,0.0319,0.0391,CC,0.6113,CO,0.1952,0.1158,4.6722,Ring breathing / ν(C–C–O),979.4666,0.1987
47,1020.2561,2.3804,0.8403,0.1243,0.012,0.0234,0.0666,0.0185,CC,0.5855,CO,0.3708,0.242,3.7995,Ring breathing / ν(C–C–O),999.851,0.1734
48,1026.7545,1.967,0.6411,0.2548,0.0026,0.1015,0.3006,0.028,CO,0.878,CC,0.1142,0.6102,4.7224,ν(C–O)/ν(C–C) pyranose ring,1006.2194,0.1431
49,1042.3717,2.3081,0.8262,0.155,0.0056,0.0132,0.1169,0.0148,CC,0.7864,CO,0.202,0.2738,3.05,ν(C–O) + δ(C–O–H),1021.5243,0.1633
50,1049.1889,0.8905,0.7892,0.1455,0.0094,0.0559,0.1348,0.0309,CO,0.8366,CC,0.1209,0.347,4.9946,ν(C–O) + δ(C–O–H),1028.2051,0.0623
51,1056.0173,0.2015,0.9237,0.0699,0.0021,0.0043,0.0099,0.008,CO,0.6796,CC,0.2428,0.025,6.5042,ν(C–O) + δ(C–O–H),1034.897,0.0135
52,1063.4715,7.653,0.823,0.1319,0.001,0.0441,0.0932,0.0207,CO,0.6437,CC,0.3518,0.3131,3.4437,ν(C–O) + δ(C–O–H),1042.2021,0.5269
53,1076.3425,1.7834,0.8573,0.1005,0.0009,0.0414,0.0382,0.016,CO,0.7548,CC,0.2364,0.2303,3.8312,ν(C–O) + δ(C–O–H),1054.8156,0.1212
54,1089.5966,0.5884,0.7687,0.1797,0.0022,0.0494,0.1484,0.0284,CO,0.5332,CC,0.4629,0.4884,3.2608,ν(C–O) + δ(C–O–H),1067.8047,0.0387
55,1094.5513,12.4456,0.8497,0.123,0.0021,0.0251,0.1091,0.0322,CO,0.7007,CC,0.2912,0.1495,5.4133,ν(C–O) + δ(C–O–H),1072.6603,0.8249
