original_file,new_file,date,power_level,integration_s,avg_number,spot
SP_1.csv,raw-si-p1-t1-acc3-spot1.csv,2026-08-13 16:10:20,1,1,3,1
SP_2.csv,raw-si-p1-t1-acc3-spot2.csv,2026-08-13 16:10:57,1,1,3,2
SP_3.csv,raw-si-p1-t1-acc3-spot3.csv,2026-08-13 16:11:13,1,1,3,3
SP_4.csv,raw-si-p1-t2-acc3-spot1.csv,2026-08-13 16:15:49,1,2,3,1
SP_5.csv,raw-si-p1-t2-acc3-spot2.csv,2026-08-13 16:16:21,1,2,3,2
SP_6.csv,raw-si-p1-t2-acc3-spot3.csv,2026-08-13 16:16:47,1,2,3,3
SP_7.csv,raw-si-p1-t3-acc3-spot1.csv,2026-08-13 16:19:30,1,3,3,1
SP_8.csv,raw-si-p1-t3-acc3-spot2.csv,2026-08-13 16:20:16,1,3,3,2
SP_9.csv,raw-si-p1-t3-acc3-spot3.csv,2026-08-13 16:24:33,1,3,3,3
SP_10.csv,raw-si-p5-t5-acc3-spot1.csv,2026-08-13 16:27:12,5,5,3,1
SP_11.csv,raw-si-p5-t5-acc3-spot2.csv,2026-08-13 16:29:16,5,5,3,2
SP_12.csv,raw-si-p5-t5-acc3-spot3.csv,2026-08-13 16:29:56,5,5,3,3
SP_13.csv,raw-si-p5-t10-acc3-spot1.csv,2026-08-13 16:31:38,5,10,3,1
SP_14.csv,raw-si-p5-t10-acc3-spot2.csv,2026-08-13 16:32:47,5,10,3,2
SP_15.csv,raw-si-p5-t10-acc3-spot3.csv,2026-08-13 16:33:42,5,10,3,3
SP_16.csv,raw-si-p5-t10-acc3-spot4.csv,2026-08-13 16:35:02,5,10,3,4
SP_17.csv,raw-si-p5-t10-acc3-spot5.csv,2026-08-13 16:36:21,5,10,3,5
SP_18.csv,raw-si-p5-t15-acc3-spot1.csv,2026-08-13 16:39:22,5,15,3,1
SP_19.csv,raw-si-p5-t15-acc3-spot2.csv,2026-08-13 16:40:50,5,15,3,2
SP_20.csv,raw-si-p5-t15-acc3-spot3.csv,2026-08-13 16:42:01,5,15,3,3
SP_21.csv,raw-si-p5-t15-acc3-spot4.csv,2026-08-13 16:43:03,5,15,3,4
SP_22.csv,raw-si-p5-t20-acc3-spot1.csv,2026-08-13 16:45:55,5,20,3,1
SP_23.csv,raw-si-p5-t20-acc3-spot2.csv,2026-08-13 16:48:35,5,20,3,2
SP_24.csv,raw-si-p5-t20-acc3-spot3.csv,2026-08-13 16:50:16,5,20,3,3
SP_25.csv,raw-si-p5-t20-acc3-spot4.csv,2026-08-13 16:52:10,5,20,3,4
SP_26.csv,raw-si-p5-t25-acc3-spot1.csv,2026-08-13 16:58:00,5,25,3,1
SP_27.csv,raw-si-p5-t25-acc3-spot2.csv,2026-08-13 17:01:25,5,25,3,2
SP_28.csv,raw-si-p5-t25-acc3-spot3.csv,2026-08-13 17:06:48,5,25,3,3
SP_29.csv,raw-si-p10-t25-acc3-spot1.csv,2026-08-13 17:11:58,10,25,3,1
SP_30.csv,raw-si-p10-t25-acc3-spot2.csv,2026-08-13 17:13:51,10,25,3,2
SP_31.csv,raw-si-p10-t25-acc3-spot3.csv,2026-08-13 17:15:31,10,25,3,3
SP_32.csv,raw-si-p10-t20-acc3-spot1.csv,2026-08-13 17:20:20,10,20,3,1
SP_33.csv,raw-si-p10-t20-acc3-spot2.csv,2026-08-13 17:21:47,10,20,3,2
SP_34.csv,raw-si-p10-t20-acc3-spot3.csv,2026-08-13 17:23:13,10,20,3,3
SP_35.csv,raw-si-p10-t20-acc3-spot4.csv,2026-08-13 17:26:03,10,20,3,4
SP_36.csv,raw-si-p10-t15-acc3-spot1.csv,2026-08-13 17:30:26,10,15,3,1
SP_37.csv,raw-si-p10-t15-acc3-spot2.csv,2026-08-13 17:31:44,10,15,3,2
SP_38.csv,raw-si-p10-t15-acc3-spot3.csv,2026-08-13 17:35:32,10,15,3,3
SP_39.csv,raw-si-p10-t10-acc3-spot1.csv,2026-08-13 17:44:41,10,10,3,1
SP_40.csv,raw-si-p10-t10-acc3-spot2.csv,2026-08-13 17:46:12,10,10,3,2
SP_41.csv,raw-si-p10-t10-acc3-spot3.csv,2026-08-13 17:47:06,10,10,3,3
SP_42.csv,raw-si-p10-t5-acc3-spot1.csv,2026-08-13 17:51:51,10,5,3,1
SP_43.csv,raw-si-p10-t5-acc3-spot2.csv,2026-08-13 17:53:10,10,5,3,2
SP_44.csv,raw-si-p10-t5-acc3-spot3.csv,2026-08-13 17:54:37,10,5,3,3
SP_45.csv,raw-si-p10-t5-acc3-spot4.csv,2026-08-13 17:55:43,10,5,3,4
