mode,freq_raw,freq_scaled,raman_activity,rel_intensity,ring_frac
1,19.3756,18.9881,0.314,88.281,0.0474
2,33.7432,33.0683,1.0475,100.0,0.0432
3,41.2514,40.4264,0.2468,16.006,0.0676
4,44.1563,43.2732,0.8658,49.294,0.0251
5,47.8198,46.8634,0.1569,7.673,0.0597
6,55.8947,54.7768,0.7087,25.78,0.0235
7,80.0405,78.4397,0.2165,4.027,0.0881
8,85.2877,83.5819,0.4006,6.63,0.1379
9,108.1309,105.9683,0.3253,3.499,0.1448
10,133.5676,130.8962,0.2296,1.697,0.1591
11,151.5828,148.5511,0.1495,0.887,0.1275
12,159.4965,156.3066,0.3593,1.952,0.1688
13,204.0118,199.9316,1.6217,5.82,0.0554
14,220.5898,216.178,0.2699,0.852,0.0819
15,224.5967,220.1048,0.2187,0.67,0.0118
16,242.6743,237.8208,0.3118,0.844,0.164
17,260.2776,255.072,0.8448,2.044,0.1426
18,272.4742,267.0247,0.7156,1.611,0.0367
19,281.4905,275.8607,0.8216,1.758,0.067
20,291.5008,285.6708,2.1513,4.359,0.0899
21,305.0372,298.9365,0.4454,0.841,0.1023
22,321.4026,314.9745,0.4877,0.851,0.2989
23,332.2299,325.5853,2.0824,3.454,0.0667
24,370.3534,362.9463,0.9116,1.285,0.152
25,379.491,371.9012,2.8038,3.814,0.1979
26,421.9319,413.4933,1.6712,1.948,0.4269
27,445.3726,436.4651,0.4495,0.485,0.3633
28,453.8729,444.7954,0.5681,0.596,0.1647
29,479.4776,469.888,2.3447,2.277,0.1069
30,523.0564,512.5953,1.3609,1.17,0.1777
31,532.9015,522.2435,1.6658,1.396,0.5254
32,568.8899,557.5121,1.0587,0.81,0.1078
33,579.3506,567.7636,2.3957,1.789,0.0077
34,588.6244,576.8519,3.8338,2.801,0.1476
35,617.0471,604.7062,1.9848,1.359,0.1848
36,635.7788,623.0632,1.6262,1.069,0.3132
37,651.6363,638.6036,1.9737,1.255,0.2426
38,666.6845,653.3508,0.4321,0.266,0.0491
39,707.5735,693.422,2.1506,1.223,0.6259
40,740.5741,725.7626,5.2149,2.789,0.0201
41,793.0916,777.2298,6.9424,3.385,0.5055
42,812.2162,795.9719,10.2545,4.842,0.0244
43,840.738,823.9232,0.9323,0.42,0.6082
44,878.6887,861.1149,1.3127,0.557,0.6986
45,916.4961,898.1662,4.4539,1.785,0.3846
46,932.967,914.3077,1.4653,0.573,0.313
47,972.5122,953.062,7.6798,2.838,0.2079
48,1002.7265,982.672,1.7149,0.608,0.1394
49,1015.2593,994.9541,4.2483,1.48,0.3726
