peak_cm1,rel_intensity,prom_snr,height_snr,confidence,quality
458.0,0.6259,26.3546,23.5086,1.0,high
488.0,0.4617,15.9342,12.8373,1.0,high
523.0,0.2729,5.5656,5.3169,1.0,high
542.0,0.8018,27.4433,23.9071,1.0,high
585.0,0.3448,10.8869,8.8504,1.0,high
616.0,0.1881,10.9935,6.2362,0.925,high
646.0,0.2641,27.9144,21.828,1.0,high
677.0,0.1319,7.6484,4.8805,0.975,high
704.0,0.2519,24.445,19.882,1.0,high
745.0,0.1857,17.6999,14.8007,0.9,high
772.0,0.1016,10.6341,6.6154,1.0,high
831.0,0.6511,18.8345,17.8838,1.0,high
872.0,0.9218,27.6726,24.6719,1.0,high
930.0,1.0,22.0297,18.9073,1.0,high
956.0,0.9576,19.4877,18.973,1.0,high
1008.0,0.3051,1.7654,3.6585,0.95,tentative
1024.0,0.7534,37.8489,26.9325,1.0,high
1044.0,0.2615,3.7246,0.7291,1.0,tentative
1059.0,0.3322,7.8501,3.2851,1.0,high
1085.0,0.3187,9.2138,2.0271,1.0,tentative
1113.0,0.3821,1.8523,4.9639,0.975,tentative
1128.0,0.613,27.7628,17.5874,1.0,high
1157.0,0.4003,14.3966,12.6142,1.0,high
1190.0,0.1685,12.6552,6.1764,0.975,high
1208.0,0.0833,3.5584,-0.4155,0.875,tentative
1249.0,0.3244,39.9979,30.0765,1.0,high
1300.0,0.1996,3.3858,0.0659,0.975,tentative
1321.0,0.4765,14.7301,21.7853,1.0,high
1346.0,0.4865,27.4758,12.337,1.0,high
1395.0,0.4661,27.3784,18.051,0.975,high
1451.0,0.4932,52.4037,34.5504,1.0,high
1544.0,0.0977,11.6546,9.5288,0.775,high
1590.0,0.2818,42.393,34.261,1.0,high
1633.0,0.0786,4.9237,2.5071,0.95,tentative
1652.0,0.0704,6.7368,1.25,0.85,tentative
1700.0,0.172,37.8676,31.5203,0.9,high
1726.0,0.0803,3.923,2.7217,0.925,tentative
1751.0,0.0733,5.6539,2.5379,0.85,tentative
1758.0,0.0724,3.5009,2.5399,0.675,tentative
1768.0,0.0777,11.663,5.9086,0.85,high
1792.0,0.0647,7.6449,0.8678,0.95,tentative
