mode,freq,raman,ir,freq_scaled,intensity
1,34.8237,0.8779,0.2431,34.1272,16.8313
2,40.8718,1.18,1.2944,40.0544,16.6215
3,42.1156,0.2527,0.8464,41.2733,3.3607
4,57.3083,0.2212,0.2966,56.1621,1.6368
5,60.1069,0.4656,1.0166,58.9048,3.1491
6,71.459,0.4003,2.2189,70.0298,1.9581
7,84.5912,1.0308,8.9396,82.8994,3.6895
8,90.6954,0.1031,2.5243,88.8815,0.3248
9,107.9319,0.1231,3.5346,105.7733,0.2828
10,120.6099,0.1193,4.7645,118.1977,0.2246
11,148.7269,0.0875,4.909,145.7524,0.114
12,175.5527,0.8467,3.1094,172.0416,0.8298
13,182.6223,0.0805,3.2684,178.9699,0.0738
14,213.6847,0.2026,0.2367,209.411,0.143
15,230.1409,0.2845,56.0709,225.5381,0.1778
16,241.5936,1.7437,50.3091,236.7617,1.0075
17,244.2823,1.1353,0.8573,239.3967,0.6444
18,264.1435,1.0766,13.6257,258.8606,0.5394
19,285.0521,0.571,23.8802,279.3511,0.2538
20,294.9525,3.2449,1.3689,289.0534,1.3673
21,301.6969,2.1738,73.203,295.663,0.8845
22,314.1243,1.5609,12.3768,307.8418,0.5968
23,340.5879,0.9492,3.7744,333.7761,0.3209
24,345.3306,1.3366,21.3445,338.424,0.4426
25,385.4458,1.7737,8.8869,377.7369,0.4986
26,411.6593,3.9171,25.2627,403.4261,1.0
27,423.8938,1.3542,38.8272,415.4159,0.3313
28,449.5266,0.6331,81.0986,440.5361,0.1424
29,469.8501,1.0267,32.684,460.4531,0.2167
30,504.2598,2.8443,19.5369,494.1746,0.5434
31,523.8471,2.2868,10.9629,513.3702,0.4142
32,566.9565,3.1763,3.8599,555.6174,0.5156
33,581.5867,2.2835,9.6269,569.955,0.3579
34,584.9714,1.8376,93.1753,573.272,0.2857
35,594.0249,0.9102,55.2761,582.1444,0.1386
36,620.8062,0.625,18.4258,608.3901,0.0896
37,632.0339,0.4591,11.0626,619.3932,0.0642
38,639.4765,0.8296,24.6839,626.687,0.1142
39,653.2125,1.8678,57.3624,640.1482,0.2498
40,706.3145,1.4704,36.92,692.1882,0.1769
41,746.1974,5.2899,26.5494,731.2735,0.5908
42,809.3756,7.4059,9.6608,793.1881,0.7411
43,890.7837,3.2128,22.8791,872.968,0.2824
44,923.2789,2.3326,3.0133,904.8133,0.1953
45,945.5834,3.5677,6.1543,926.6717,0.2891
46,999.4557,2.6436,8.6938,979.4666,0.1986
47,1020.2561,2.3804,10.1622,999.851,0.1738
48,1026.7545,1.967,92.2887,1006.2194,0.1424
49,1042.3717,2.3081,10.6391,1021.5243,0.1636
50,1049.1889,0.8905,118.9842,1028.2051,0.0626
51,1056.0173,0.2015,23.6665,1034.897,0.014
52,1063.4715,7.653,72.4979,1042.2021,0.5276
53,1076.3425,1.7834,39.4574,1054.8156,0.1209
54,1089.5966,0.5884,205.5684,1067.8047,0.0392
55,1094.5513,12.4456,5.2337,1072.6603,0.8242
56,1101.8721,0.6177,32.8462,1079.8347,0.0405
