peak_cm1,rel_intensity,prom_snr,height_snr,reproducibility,long_snr,confirmed_long,quality
458.0,0.6338,26.3269,23.6655,1.0,23.2958,True,high
488.0,0.4617,15.3154,12.6517,1.0,11.6725,True,high
522.0,0.2584,5.6173,5.2256,1.0,5.1316,True,high
541.0,0.7974,27.3701,23.9422,1.0,24.7114,True,high
585.0,0.3252,10.3995,8.9806,1.0,7.6506,True,high
615.0,0.1725,12.1721,6.9201,1.0,7.5141,True,high
645.0,0.2507,25.4602,21.7579,1.0,22.5484,True,high
675.0,0.1321,9.0208,5.9059,0.9545,4.4217,True,high
703.0,0.2532,24.7516,19.6767,1.0,20.2253,True,high
744.0,0.1971,19.0552,15.555,1.0,14.9852,True,high
772.0,0.1038,10.2856,7.4188,1.0,5.6451,True,high
830.0,0.6772,19.2032,18.3891,1.0,17.9179,True,high
871.0,0.9429,27.5719,24.5389,1.0,24.9949,True,high
930.0,1.0,22.4863,19.0912,1.0,18.559,True,high
956.0,0.9361,19.2115,18.6719,1.0,18.1668,True,high
1007.0,0.2972,2.447,3.4606,1.0,4.2956,True,high
1023.0,0.7434,36.3049,25.7496,1.0,26.4914,True,high
1045.0,0.2714,4.025,1.692,1.0,-0.1314,True,tentative
1058.0,0.3235,7.5278,3.297,1.0,3.4317,True,high
1085.0,0.3104,8.6345,2.4291,1.0,2.2621,True,tentative
1112.0,0.3829,1.8621,5.843,1.0,5.2233,True,high
1128.0,0.6085,28.7259,18.6339,1.0,17.1482,True,high
1156.0,0.3989,16.3295,13.9863,1.0,14.0507,True,high
1206.0,0.0743,4.8999,0.7124,0.9545,0.1316,True,tentative
1249.0,0.3062,39.2456,28.5254,1.0,31.3828,True,high
1300.0,0.2492,3.7931,1.0902,0.9545,-0.0667,True,tentative
1321.0,0.6031,11.557,13.8992,1.0,20.3376,True,high
1347.0,0.7353,53.0758,15.8575,1.0,12.114,True,high
1394.0,0.7028,26.6118,21.2608,1.0,19.1142,True,high
1450.0,0.5538,29.4951,27.2928,0.9545,32.0313,True,high
1517.0,0.0302,3.4627,-6.2838,1.0,-9.0596,False,tentative
1546.0,0.07,7.4165,3.8947,0.7727,3.802,True,high
1589.0,0.2745,45.6439,38.0041,0.9091,40.8818,True,high
1637.0,0.0609,4.2477,0.2215,0.9091,-2.9497,False,tentative
1652.0,0.0623,4.304,0.7305,0.9091,-0.1378,False,tentative
1663.0,0.0661,5.0621,1.9624,0.7727,-0.0493,False,tentative
1702.0,0.162,39.4681,31.9548,1.0,33.5372,True,high
1730.0,0.0588,6.3061,0.8362,1.0,-0.5919,False,tentative
1769.0,0.0688,6.1233,5.6985,0.8182,1.4807,True,high
1785.0,0.0637,3.0102,3.6432,0.6818,-4.8272,False,high
1797.0,0.0732,11.9173,5.6526,0.8182,5.7173,True,high
