exp,calc,delta,raman_act,rel_int,repro,quality
458.0,460.453,-2.453,1.027,0.634,1.0,high
488.0,494.175,-6.175,2.844,0.462,1.0,high
522.0,513.37,8.63,2.287,0.258,1.0,high
541.0,555.617,-14.617,3.176,0.797,1.0,high
585.0,569.955,15.045,2.284,0.325,1.0,high
615.0,626.687,-11.687,0.83,0.173,1.0,high
645.0,640.148,4.852,1.868,0.251,1.0,high
675.0,692.188,-17.188,1.47,0.132,0.955,high
703.0,692.188,10.812,1.47,0.253,1.0,high
744.0,731.273,12.727,5.29,0.197,1.0,high
772.0,,,,0.104,1.0,high
830.0,,,,0.677,1.0,high
871.0,872.968,-1.968,3.213,0.943,1.0,high
930.0,926.672,3.328,3.568,1.0,1.0,high
956.0,,,,0.936,1.0,high
1007.0,999.851,7.149,2.38,0.297,1.0,high
1023.0,1021.524,1.476,2.308,0.743,1.0,high
1045.0,1042.202,2.798,7.653,0.271,1.0,tentative
1058.0,1072.66,-14.66,12.446,0.324,1.0,high
1085.0,1072.66,12.34,12.446,0.31,1.0,tentative
1112.0,1107.43,4.57,6.554,0.383,1.0,high
1128.0,1116.578,11.422,3.055,0.608,1.0,high
1156.0,1172.428,-16.428,4.411,0.399,1.0,high
1206.0,1192.127,13.873,2.99,0.074,0.955,tentative
1249.0,1257.101,-8.101,6.022,0.306,1.0,high
1300.0,1287.603,12.397,4.543,0.249,0.955,tentative
1321.0,1313.553,7.447,2.719,0.603,1.0,high
1347.0,1359.257,-12.257,10.986,0.735,1.0,high
1394.0,1387.606,6.394,7.768,0.703,1.0,high
1450.0,1459.748,-9.748,7.552,0.554,0.955,high
1517.0,,,,0.03,1.0,tentative
1546.0,1535.242,10.758,2.154,0.07,0.773,high
1589.0,,,,0.274,0.909,high
1637.0,,,,0.061,0.909,tentative
1652.0,,,,0.062,0.909,tentative
1663.0,,,,0.066,0.773,tentative
1702.0,,,,0.162,1.0,high
1730.0,1722.822,7.178,12.805,0.059,1.0,tentative
1769.0,1759.236,9.764,10.169,0.069,0.818,high
1785.0,,,,0.064,0.682,high
1797.0,,,,0.073,0.818,high
