folder,filename,sample,power_pct,integration_s,accumulations,set_code,date_time,description,original_file
A_Optimisation_Grid_April,NAM_P05_T05s_A2_GRID_01.csv,NAM powder,5,5,2,GRID,2026-01-28 19:04:55,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/5sec-power5-80 and 2set/SP_21.csv
A_Optimisation_Grid_April,NAM_P05_T10s_A2_GRID_01.csv,NAM powder,5,10,2,GRID,2026-01-28 19:21:39,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/10sec-power5-80-2set/SP_37.csv
A_Optimisation_Grid_April,NAM_P05_T15s_A2_GRID_01.csv,NAM powder,5,15,2,GRID,2026-01-28 19:43:06,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/15sec-power5-80andset2/SP_54.csv
A_Optimisation_Grid_April,NAM_P05_T15s_A2_GRID_02.csv,NAM powder,5,15,2,GRID,2026-01-28 17:53:49,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/NAM-15secs and power15-75-2sets/SP_4.csv
A_Optimisation_Grid_April,NAM_P05_T20s_A2_GRID_01.csv,NAM powder,5,20,2,GRID,2026-01-28 20:04:32,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/20sec-power5-80and set2/SP_70.csv
A_Optimisation_Grid_April,NAM_P05_T25s_A2_GRID_01.csv,NAM powder,5,25,2,GRID,2026-01-28 20:29:38,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/25sec-power5-80 and set2/SP_86.csv
A_Optimisation_Grid_April,NAM_P10_T05s_A2_GRID_01.csv,NAM powder,10,5,2,GRID,2026-01-28 19:05:32,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/5sec-power5-80 and 2set/SP_22.csv
A_Optimisation_Grid_April,NAM_P10_T10s_A2_GRID_01.csv,NAM powder,10,10,2,GRID,2026-01-28 19:22:49,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/10sec-power5-80-2set/SP_38.csv
A_Optimisation_Grid_April,NAM_P10_T15s_A2_GRID_01.csv,NAM powder,10,15,2,GRID,2026-01-28 19:44:46,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/15sec-power5-80andset2/SP_55.csv
A_Optimisation_Grid_April,NAM_P10_T15s_A2_GRID_02.csv,NAM powder,10,15,2,GRID,2026-01-28 17:55:31,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/NAM-15secs and power15-75-2sets/SP_5.csv
A_Optimisation_Grid_April,NAM_P10_T15s_A2_GRID_03.csv,NAM powder,10,15,2,GRID,2026-01-28 17:57:00,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/NAM-15secs and power15-75-2sets/SP_6.csv
A_Optimisation_Grid_April,NAM_P10_T20s_A2_GRID_01.csv,NAM powder,10,20,2,GRID,2026-01-28 20:06:41,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/20sec-power5-80and set2/SP_71.csv
A_Optimisation_Grid_April,NAM_P10_T25s_A2_GRID_01.csv,NAM powder,10,25,2,GRID,2026-01-28 20:32:18,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/25sec-power5-80 and set2/SP_87.csv
A_Optimisation_Grid_April,NAM_P15_T05s_A2_GRID_01.csv,NAM powder,15,5,2,GRID,2026-01-28 19:05:53,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/5sec-power5-80 and 2set/SP_23.csv
A_Optimisation_Grid_April,NAM_P15_T10s_A2_GRID_01.csv,NAM powder,15,10,2,GRID,2026-01-28 19:23:24,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/10sec-power5-80-2set/SP_39.csv
A_Optimisation_Grid_April,NAM_P15_T15s_A2_GRID_01.csv,NAM powder,15,15,2,GRID,2026-01-28 19:45:53,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/15sec-power5-80andset2/SP_56.csv
A_Optimisation_Grid_April,NAM_P15_T20s_A2_GRID_01.csv,NAM powder,15,20,2,GRID,2026-01-28 20:08:00,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/20sec-power5-80and set2/SP_72.csv
A_Optimisation_Grid_April,NAM_P15_T25s_A2_GRID_01.csv,NAM powder,15,25,2,GRID,2026-01-28 20:33:41,Power x integration optimisation grid (April session),20-04/sukesh NAM Raman data/25sec-power5-80 and set2/SP_88.csv
