harmonic,scaled,mode
218.56,214.19,rho(25H-24C-26H)/rho(25H-24C-27H)
298.62,292.65,tau(20H-19N-5C-9H)
341.3,334.47,tau(5-1-2C-21O)
434.56,425.87,tau(18H-17O-14-4C)
570.34,558.93,delta(29O-28C-30O)/delta(39O-34-35C)
593.98,582.1,tau(33H-32N-34C-39O)
671.78,658.35,tau(13H-12O-3C-10H)/tau(33H-32N-34C-39O)
747.14,732.2,tau(29O-28C-30O-31H)
893.49,875.62,rho(15H-14C-16H)
952.91,933.85,delta(39O-34C-32N)
1031.13,1010.51,"nu(1-2C,3C-11O)"
1077.73,1056.18,nu(14C-17O)
1124.89,1102.39,nu(22-24C)/rho(1C-21O-22C)
1258.96,1233.78,delta(5C-19O-20H)/tau(8H-4C-11O-5C)
1345.69,1318.78,delta(28C-30O-31H)
1400.9,1372.88,"delta(35C-36H,37-38H)"
1489.12,1459.34,delta(35C-36-37H)
1566.46,1535.13,delta(33H-32N-34C)
1711.22,1676.99,nu(34C-39O)
1823.22,1763.05,nu(28C-29O)
2968.12,2870.17,nu(3C-10H)
2987.39,2888.8,"nu(4C-8H,14C-16H)"
3023.76,2923.98,nu(5C-6H)
3048.15,2947.56,"nu(35C-36H,35C-37H,35C-38H)"
