lit_scaled,lit_mode,nearest_exp_peak,delta
425.87,tau(18H-17O-14-4C),458.0,32.129999999999995
558.93,delta(29O-28C-30O)/delta(39O-34-35C),542.0,-16.92999999999995
582.1,tau(33H-32N-34C-39O),585.0,2.8999999999999773
658.35,tau(13H-12O-3C-10H)/tau(33H-32N-34C-39O),646.0,-12.350000000000023
732.2,tau(29O-28C-30O-31H),745.0,12.799999999999955
875.62,rho(15H-14C-16H),872.0,-3.6200000000000045
933.85,delta(39O-34C-32N),930.0,-3.8500000000000227
1010.51,"nu(1-2C,3C-11O)",1008.0,-2.509999999999991
1056.18,nu(14C-17O),1059.0,2.8199999999999363
1102.39,nu(22-24C)/rho(1C-21O-22C),1113.0,10.6099999999999
1233.78,delta(5C-19O-20H)/tau(8H-4C-11O-5C),1249.0,15.220000000000027
1318.78,delta(28C-30O-31H),1321.0,2.2200000000000273
1372.88,"delta(35C-36H,37-38H)",1395.0,22.11999999999989
1459.34,delta(35C-36-37H),1451.0,-8.339999999999918
1535.13,delta(33H-32N-34C),1544.0,8.86999999999989
1676.99,nu(34C-39O),1700.0,23.00999999999999
1763.05,nu(28C-29O),1768.0,4.9500000000000455
