lit_scaled,lit_mode,our_nearest,delta
425.87,tau(18H-17O-14-4C),415.4159,-10.454099999999983
558.93,delta(29O-28C-30O)/delta(39O-34-35C),555.6174,-3.312599999999975
582.1,tau(33H-32N-34C-39O),582.1444,0.044399999999996
658.35,tau(13H-12O-3C-10H)/tau(33H-32N-34C-39O),640.1482,-18.20180000000005
732.2,tau(29O-28C-30O-31H),731.2735,-0.9265000000000327
875.62,rho(15H-14C-16H),872.968,-2.6520000000000437
933.85,delta(39O-34C-32N),926.6717,-7.178300000000036
1010.51,"nu(1-2C,3C-11O)",1006.2194,-4.29060000000004
1056.18,nu(14C-17O),1054.8156,-1.3644000000001597
1102.39,nu(22-24C)/rho(1C-21O-22C),1107.4305,5.040499999999838
1233.78,delta(5C-19O-20H)/tau(8H-4C-11O-5C),1229.3705,-4.40949999999998
1318.78,delta(28C-30O-31H),1313.553,-5.226999999999862
1372.88,"delta(35C-36H,37-38H)",1372.6349,-0.24510000000009313
1459.34,delta(35C-36-37H),1459.7477,0.4076999999999771
1535.13,delta(33H-32N-34C),1535.2416,0.11159999999995307
1676.99,nu(34C-39O),1722.8223,45.83230000000003
1763.05,nu(28C-29O),1759.2355,-3.8144999999999527
