exp,calc,delta,raman_act,assignment,rel_int,conf,q
458.0,460.453,-2.453,1.027,Skeletal bending / ring torsion,0.626,1.0,high
488.0,494.175,-6.175,2.844,Skeletal bending / ring torsion,0.462,1.0,high
523.0,513.37,9.63,2.287,Skeletal bending / ring torsion,0.273,1.0,high
542.0,555.617,-13.617,3.176,Skeletal bending / ring torsion,0.802,1.0,high
585.0,569.955,15.045,2.284,Skeletal bending / ring torsion,0.345,1.0,high
616.0,626.687,-10.687,0.83,Skeletal deformation + δ(C–C–O),0.188,0.925,high
646.0,640.148,5.852,1.868,Skeletal deformation + δ(C–C–O),0.264,1.0,high
677.0,692.188,-15.188,1.47,Skeletal deformation + δ(C–C–O),0.132,0.975,high
704.0,692.188,11.812,1.47,Skeletal deformation + δ(C–C–O),0.252,1.0,high
745.0,731.274,13.726,5.29,γ(O–H) carboxylic acid out-of-plane,0.186,0.9,high
772.0,,,,unmatched,0.102,1.0,high
831.0,,,,unmatched,0.651,1.0,high
872.0,872.968,-0.968,3.213,γ(CH₂) hydroxymethyl wagging,0.922,1.0,high
930.0,926.672,3.328,3.568,Ring breathing / ν(C–C–O),1.0,1.0,high
956.0,,,,unmatched,0.958,1.0,high
1008.0,999.851,8.149,2.38,Ring breathing / ν(C–C–O),0.305,0.95,tentative
1024.0,1021.524,2.476,2.308,ν(C–O) + δ(C–O–H),0.753,1.0,high
1044.0,1042.202,1.798,7.653,ν(C–O) + δ(C–O–H),0.262,1.0,tentative
1059.0,1072.66,-13.66,12.446,ν(C–O) + δ(C–O–H),0.332,1.0,high
1085.0,1072.66,12.34,12.446,ν(C–O) + δ(C–O–H),0.319,1.0,tentative
1113.0,1107.43,5.57,6.554,ν(C–O) + δ(C–O–H),0.382,0.975,tentative
1128.0,1116.578,11.422,3.055,ν(C–O) + δ(C–O–H),0.613,1.0,high
1157.0,1172.428,-15.428,4.411,ν(C–O) + δ(C–O–H),0.4,1.0,high
1190.0,1172.428,17.572,4.411,ν(C–O) + δ(C–O–H),0.168,0.975,high
1208.0,1192.127,15.873,2.99,ν(C–O) + δ(C–O–H),0.083,0.875,tentative
1249.0,1257.102,-8.101,6.022,δ(C–H) + ν(C–O) coupled,0.324,1.0,high
1300.0,1287.603,12.397,4.543,δ(C–H) + ν(C–O) coupled,0.2,0.975,tentative
1321.0,1313.553,7.447,2.719,δ(C–H) + ν(C–O) coupled,0.476,1.0,high
1346.0,1359.257,-13.257,10.986,δ(C–H) / δs(CH₃) umbrella,0.486,1.0,high
1395.0,1387.606,7.393,7.768,δ(C–H) / δs(CH₃) umbrella,0.466,0.975,high
1451.0,1459.748,-8.748,7.552,δ(CH₂) scissoring / δas(CH₃),0.493,1.0,high
1544.0,1535.242,8.758,2.154,Amide II: δ(N–H) + ν(C–N),0.098,0.775,high
1590.0,,,,unmatched,0.282,1.0,high
1633.0,,,,unmatched,0.079,0.95,tentative
1652.0,,,,unmatched,0.07,0.85,tentative
1700.0,,,,unmatched,0.172,0.9,high
1726.0,1722.822,3.178,12.805,Amide I: ν(C=O),0.08,0.925,tentative
1751.0,1759.236,-8.236,10.169,ν(C=O) carboxylic acid,0.073,0.85,tentative
1758.0,1759.236,-1.236,10.169,ν(C=O) carboxylic acid,0.072,0.675,tentative
1768.0,1759.236,8.764,10.169,ν(C=O) carboxylic acid,0.078,0.85,high
1792.0,,,,unmatched,0.065,0.95,tentative
