exp_cm1,n_modes_within_10,best_calc,delta,unambiguous,confidence,rel_int
458.0,1,460.5,2.5,True,high,0.626
488.0,1,494.2,6.2,True,high,0.462
523.0,1,513.4,-9.6,True,high,0.273
542.0,0,,,False,high,0.802
585.0,1,582.1,-2.9,True,high,0.345
616.0,2,619.4,3.4,False,high,0.188
646.0,1,640.1,-5.9,True,high,0.264
677.0,0,,,False,high,0.132
704.0,0,,,False,high,0.252
745.0,0,,,False,high,0.186
772.0,0,,,False,high,0.102
831.0,0,,,False,high,0.651
872.0,1,873.0,1.0,True,high,0.922
930.0,1,926.7,-3.3,True,high,1.0
956.0,0,,,False,high,0.958
1008.0,2,1006.2,-1.8,False,tentative,0.305
1024.0,2,1021.5,-2.5,False,high,0.753
1044.0,2,1042.2,-1.8,False,tentative,0.262
1059.0,2,1054.8,-4.2,False,high,0.332
1085.0,2,1079.8,-5.2,False,tentative,0.319
1113.0,2,1116.6,3.6,False,tentative,0.382
1128.0,2,1124.6,-3.4,False,high,0.613
1157.0,1,1156.2,-0.8,True,high,0.4
1190.0,1,1192.1,2.1,True,high,0.168
1208.0,1,1208.2,0.2,True,tentative,0.083
1249.0,2,1242.3,-6.7,False,high,0.324
1300.0,1,1306.2,6.2,True,tentative,0.2
1321.0,2,1324.8,3.8,False,high,0.476
1346.0,1,1345.7,-0.3,True,high,0.486
1395.0,1,1387.6,-7.4,True,high,0.466
1451.0,3,1443.9,-7.1,False,high,0.493
1544.0,1,1535.2,-8.8,True,high,0.098
1590.0,0,,,False,high,0.282
1633.0,0,,,False,tentative,0.079
1652.0,0,,,False,tentative,0.07
1700.0,0,,,False,high,0.172
1726.0,1,1722.8,-3.2,True,tentative,0.08
1751.0,1,1759.2,8.2,True,tentative,0.073
1758.0,1,1759.2,1.2,True,tentative,0.072
1768.0,1,1759.2,-8.8,True,high,0.078
1792.0,0,,,False,tentative,0.065
