File Version,BWRam4.15_8
Date,2026-02-23 16:31:56
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
title,BWS465-785H
model,BTC665N-785H-SYS
c code,ZSSL
operator,
pixel_start,0
pixel_end,2047
pixel_num,2048
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),15
integration times unit,2
time_multiply,1
average number,2
spectrometer_type,72
yaxis,0
yaxis_min,0
yaxis_max,65535
xaxis,1
xaxis_min,54
xaxis_max,2004
coefs_a0,782.085798608048
coefs_a1,0.12281844245306
coefs_a2,-4.27130710519257E-06
coefs_a3,-6.19750623094309E-10
coefs_b0,-8914.54823242072
coefs_b1,19.2326352542194
coefs_b2,-0.0159067122090297
coefs_b3,7.53004431538809E-06
laser_wavelength,784.92
laser_powerlevel,15
probe_index,0
probe_name,
dark_compensate,0
gain,46261
offset,2048
numcoeff_d,0
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,0
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,782.085798608048,12786.3209098004,-46.169047190162,1259,65535,1227.5,-31.5,0,0,0,1,1,1,
1,782.208612778574,12784.3133361545,-44.161473544249,1286.5,65535,1264.5,-22,0,0,0,1,1,1,
2,782.331418402768,12782.306532462,-42.1546698518468,1242.5,65535,1229,-13.5,0,0,0,1,1,1,
3,782.45421547691,12780.3004983556,-40.1486357454087,1287.5,65535,1284,-3.5,0,0,0,1,1,1,
4,782.577003997282,12778.2952334678,-38.1433708576169,1226.5,65535,1224.5,-2,0,0,0,1,1,1,
5,782.699783960167,12776.2907374316,-36.1388748214067,1534.5,65535,1535.5,1,0,0,0,1,1,1,
6,782.822555361844,12774.2870098802,-34.1351472699553,1227,65535,1212.5,-14.5,0,0,0,1,1,1,
7,782.945318198597,12772.2840504469,-32.1321878366853,1171.5,65535,1162.5,-9,0,0,0,1,1,1,
8,783.068072466705,12770.2818587655,-30.1299961552522,1146,65535,1155,9,0,0,0,1,1,1,
9,783.190818162452,12768.2804344698,-28.1285718595627,1194.5,65535,1214,19.5,0,0,0,1,1,1,
10,783.313555282117,12766.279777194,-26.127914583758,1248.5,65535,1264,15.5,0,0,0,1,1,1,
11,783.436283821984,12764.2798865724,-24.1280239622283,1223,65535,1244,21,0,0,0,1,1,1,
12,783.559003778332,12762.2807622398,-22.1288996296043,1273,65535,1289,16,0,0,0,1,1,1,
13,783.681715147445,12760.2824038309,-20.1305412207475,1198,65535,1230,32,0,0,0,1,1,1,
14,783.804417925602,12758.284810981,-18.1329483707741,1265,65535,1310.5,45.5,0,0,0,1,1,1,
15,783.927112109087,12756.2879833252,-16.136120715033,1257,65535,1334.5,77.5,0,0,0,1,1,1,
16,784.049797694179,12754.2919204993,-14.1400578891189,1258,65535,1427,169,0,0,0,1,1,1,
17,784.172474677162,12752.2966221391,-12.1447595288591,1241,65535,1907,666,0,0,0,1,1,1,
18,784.295143054315,12750.3020878805,-10.1502252703322,1250,65535,2317,1067,0,0,0,1,1,1,
19,784.417802821922,12748.30831736,-8.1564547498474,1221.5,65535,2605.5,1384,0,0,0,1,1,1,
20,784.540453976262,12746.3153102142,-6.16344760395987,1289,65535,3505,2216,0,0,0,1,1,1,
21,784.663096513618,12744.3230660797,-4.17120346946103,1283,65535,5202,3919,0,0,0,1,1,1,
22,784.785730430272,12742.3315845936,-2.1797219833843,1269,65535,6306,5037,0,0,0,1,1,1,
23,784.908355722504,12740.3408653932,-0.189002782999523,1222,65535,4403,3181,0,0,0,1,1,1,
24,785.030972386596,12738.350908116,1.80095449418513,1254.5,65535,2429.5,1175,0,0,0,1,1,1,
25,785.15358041883,12736.3617123998,3.7901502104105,1194,65535,1602.5,408.5,0,0,0,1,1,1,
26,785.276179815487,12734.3732778825,5.77858472769731,1185.5,65535,1565,379.5,0,0,0,1,1,1,
27,785.398770572849,12732.3856042024,7.76625840781526,1248.5,65535,1587.5,339,0,0,0,1,1,1,
28,785.521352687198,12730.3986909979,9.75317161230305,1207,65535,1247.5,40.5,0,0,0,1,1,1,
29,785.643926154813,12728.4125379078,11.7393247024465,1211.5,65535,1247.5,36,0,0,0,1,1,1,
30,785.766490971978,12726.4271445709,13.7247180393133,1172,65535,1195,23,0,0,0,1,1,1,
31,785.889047134974,12724.4425106265,15.7093519837217,1240,65535,1252,12,0,0,0,1,1,1,
32,786.011594640082,12722.4586357139,17.6932268962537,1277.5,65535,1293.5,16,0,0,0,1,1,1,
33,786.134133483583,12720.4755194729,19.6763431372528,1240,65535,1247.5,7.5,0,0,0,1,1,1,
34,786.25666366176,12718.4931615434,21.6587010668318,1235,65535,1238,3,0,0,0,1,1,1,
35,786.379185170893,12716.5115615653,23.6403010448576,1267.5,65535,1286,18.5,0,0,0,1,1,1,
36,786.501698007265,12714.5307191792,25.6211434309644,1347.5,65535,1373.5,26,0,0,0,1,1,1,
37,786.624202167156,12712.5506340257,27.60122858455,1255.5,65535,1296.5,41,0,0,0,1,1,1,
