frequency_raw_cm-1,activity_raw
8.0,0.0053856729
16.0,0.0067188814
24.0,0.0087047863
32.0,0.0123862198
40.0,0.0184071024
48.0,0.0323401977
56.0,0.0852127791
64.0,0.4302382314
72.0,0.1587135768
80.0,0.0807370733
88.0,0.1172528424
96.0,0.4225665842
104.0,0.6140314348
112.0,0.252152135
120.0,0.7929301319
128.0,0.2589100439
136.0,0.1902702807
144.0,0.5647834635
152.0,0.1532165801
160.0,0.0920537982
168.0,0.1050872746
176.0,0.1721436158
184.0,0.5766810743
192.0,0.5367482664
200.0,0.8854137574
208.0,4.1020887203
216.0,0.8881082726
224.0,0.317496265
232.0,0.2288311812
240.0,0.3956635778
248.0,0.5826184893
256.0,0.3190798052
264.0,0.716999541
272.0,0.5912501444
280.0,1.8203749855
288.0,3.8504961891
296.0,0.8789236613
304.0,0.585408963
312.0,0.9461183071
320.0,3.9905373355
328.0,3.5922614467
336.0,1.0979396631
344.0,1.6226770042
352.0,3.6248928666
360.0,0.8460074267
368.0,0.5597559072
376.0,0.969925211
384.0,2.4087041134
392.0,1.2142906056
400.0,2.9550577826
408.0,1.767955634
416.0,6.5719444937
424.0,4.528055632
432.0,3.2296778446
440.0,1.7096514121
448.0,5.5013426068
456.0,3.6770654443
464.0,1.0110565753
472.0,0.6900034948
480.0,1.3318090327
488.0,2.7192470099
496.0,0.8556434755
504.0,1.5063656193
512.0,3.5236560961
520.0,0.7143637852
528.0,0.3378599864
536.0,0.2975634569
544.0,0.5498581752
552.0,2.6160262046
560.0,0.7315709372
568.0,0.2372750097
576.0,0.1367945252
584.0,0.1104340758
592.0,0.1576448542
600.0,0.6467860814
608.0,0.244224479
616.0,0.089649209
624.0,0.0758652876
632.0,0.1366782569
640.0,0.5565947475
648.0,0.380535185
656.0,0.0868630993
664.0,0.0390347831
672.0,0.0210818526
680.0,0.0142241116
688.0,0.0104589913
696.0,0.0081263669
704.0,0.0065581572
712.0,0.0054404356
720.0,0.0030604878
728.0,0.0025581794
736.0,0.0027175611
744.0,0.0024745842
752.0,0.0037134249
760.0,0.0037563384
768.0,0.0034679162
776.0,0.0037090731
784.0,0.0040382872
792.0,0.0044737685
800.0,0.0048496249
808.0,0.0052986131
816.0,0.0072016947
824.0,0.0086679175
832.0,0.0106543253
840.0,0.0136012976
848.0,0.0177527624
856.0,0.0243139665
864.0,0.0357487882
872.0,0.0590367812
880.0,0.12231588
888.0,0.4438757784
896.0,0.714502567
904.0,1.2123149183
912.0,1.0723605246
920.0,0.2369256278
928.0,0.1064014794
936.0,0.0706383877
944.0,0.0660193091
952.0,0.0889907751
960.0,0.203402089
968.0,1.0669146918
976.0,0.4207667572
984.0,0.1411562707
992.0,0.2079578977
1000.0,0.1317964402
1008.0,0.0589874452
1016.0,0.0484232303
1024.0,0.0522824216
1032.0,0.0697703778
1040.0,0.1391082875
1048.0,0.3523780193
1056.0,0.5641327715
1064.0,0.4214977597
1072.0,0.964487184
1080.0,1.0598279267
1088.0,0.7111461894
1096.0,0.6258692743
1104.0,1.8746406161
1112.0,0.9151519936
1120.0,0.9507732035
1128.0,1.1727962326
1136.0,0.4789160498
1144.0,1.1178237964
1152.0,1.4146233469
1160.0,2.0286384486
1168.0,0.489888036
1176.0,0.4705150209
1184.0,0.7356720999
1192.0,0.3085799513
1200.0,0.4992760476
1208.0,1.7782352902
1216.0,1.5464037077
1224.0,1.2744320612
1232.0,0.4221066005
1240.0,0.6578975298
1248.0,0.9096750874
1256.0,1.4331755281
1264.0,0.4264003904
1272.0,0.1904328691
1280.0,0.1632417319
1288.0,0.2344135395
1296.0,0.7723138207
1304.0,0.6159283972
1312.0,1.9617899502
1320.0,1.472896207
1328.0,1.2515320133
1336.0,0.6343234969
1344.0,0.385679117
1352.0,0.9136024623
1360.0,0.295216079
1368.0,0.2391635369
1376.0,0.3880996486
1384.0,0.7675357355
1392.0,1.9685337752
1400.0,3.6046691625
1408.0,4.2616788844
1416.0,2.2353954581
1424.0,1.1625103979
1432.0,0.5064930025
1440.0,0.7100365362
1448.0,2.0891178438
1456.0,0.6520136053
1464.0,0.4584686585
1472.0,0.1856516152
1480.0,0.169017597
1488.0,0.4060231605
1496.0,0.593048575
1504.0,0.1897655734
1512.0,0.1887143476
1520.0,0.4112035004
1528.0,2.1721233967
1536.0,0.9488573933
1544.0,0.2401467725
1552.0,0.1087858961
1560.0,0.061864303
1568.0,0.0396122148
1576.0,0.028083167
1584.0,0.021776873
1592.0,0.0174466355
1600.0,0.0148620721
1608.0,0.012940264
1616.0,0.0109326238
1624.0,0.0104111788
1632.0,0.0106412493
1640.0,0.0114993272
1648.0,0.0132269939
1656.0,0.015855726
1664.0,0.0215939297
1672.0,0.0328568215
1680.0,0.0587663882
1688.0,0.1388875573
1696.0,0.5891806757
1704.0,1.2092143844
1712.0,0.2134552169
1720.0,0.0753534481
1728.0,0.0376153501
1736.0,0.0224078994
1744.0,0.0148373508
1752.0,0.0105378561
1760.0,0.0078664232
1768.0,0.0060946874
1776.0,0.0048600264
1784.0,0.0039655599
1792.0,0.0032969533
1800.0,0.002784138
1808.0,0.00238224
1816.0,0.0020614455
1824.0,0.0018013209
1832.0,0.0015874832
1840.0,0.0014095707
1848.0,0.0012599665
1856.0,0.0011329698
1864.0,0.0
1872.0,0.0
1880.0,0.0
1888.0,0.0
1896.0,0.0
1904.0,0.0
1912.0,0.0
1920.0,0.0
1928.0,0.0
1936.0,0.0
1944.0,0.0
1952.0,0.0
1960.0,0.0
1968.0,0.0
1976.0,0.0
1984.0,0.0
1992.0,0.0
2000.0,0.0
2008.0,0.0
2016.0,0.0
2024.0,0.0
2032.0,0.0
2040.0,0.0
2048.0,0.0
2056.0,0.0
2064.0,0.0
2072.0,0.0
2080.0,0.0
2088.0,0.0
2096.0,0.0
2104.0,0.0
2112.0,0.0
2120.0,0.0
2128.0,0.0
2136.0,0.0
2144.0,0.0
2152.0,0.0
2160.0,0.0
2168.0,0.0
2176.0,0.0
2184.0,0.0
2192.0,0.0
2200.0,0.0
2208.0,0.0
2216.0,0.0
2224.0,0.0
2232.0,0.0
2240.0,0.0
2248.0,0.0
2256.0,0.0
2264.0,0.0
2272.0,0.0
2280.0,0.0
2288.0,0.0
2296.0,0.0
2304.0,0.0
2312.0,0.0
2320.0,0.0
2328.0,0.0
2336.0,0.0
2344.0,0.0
2352.0,0.0
2360.0,0.0
2368.0,0.0
2376.0,0.0
2384.0,0.0
2392.0,0.0
2400.0,0.0
2408.0,0.0
2416.0,0.0
2424.0,0.0
2432.0,0.0
2440.0,0.0
2448.0,0.0
2456.0,0.0
2464.0,0.0
2472.0,0.0
2480.0,0.0
2488.0,0.0
2496.0,0.0
2504.0,0.0
2512.0,0.0
2520.0,0.0
2528.0,0.0
2536.0,0.0
2544.0,0.0
2552.0,0.0
2560.0,0.0
2568.0,0.0
2576.0,0.0
2584.0,0.0
2592.0,0.0
2600.0,0.0
2608.0,0.0
2616.0,0.0
2624.0,0.0
2632.0,0.0
2640.0,0.0
2648.0,0.0
2656.0,0.0
2664.0,0.0
2672.0,0.0
2680.0,0.0
2688.0,0.0
2696.0,0.0
2704.0,0.0
2712.0,0.0
2720.0,0.0
2728.0,0.0
2736.0,0.0
2744.0,0.0
2752.0,0.0
2760.0,0.0036194882
2768.0,0.0040286817
2776.0,0.0045113793
2784.0,0.0050862949
2792.0,0.0094630851
2800.0,0.01071287
2808.0,0.0122327874
2816.0,0.0141083358
2824.0,0.0164624234
2832.0,0.01947726
2840.0,0.0311946456
2848.0,0.0374147475
