frequency_raw_cm-1,activity_raw
8.0,0.0231627033
16.0,0.029238294
24.0,0.0386010706
32.0,0.0546568707
40.0,0.0874796762
48.0,0.1809687849
56.0,0.6934921559
64.0,1.4738525838
72.0,0.4436322271
80.0,0.2584796199
88.0,0.3548164524
96.0,0.9602176055
104.0,3.240259282
112.0,3.6599152536
120.0,1.8962770928
128.0,1.4712956421
136.0,0.4161589419
144.0,0.2894063956
152.0,0.5948095412
160.0,0.6678356475
168.0,0.2137489188
176.0,0.1594090915
184.0,0.1726602765
192.0,0.2738441073
200.0,0.8043123167
208.0,0.5641430142
216.0,1.4135764214
224.0,5.0316500483
232.0,1.9316683101
240.0,1.97288129
248.0,2.771720271
256.0,1.4087039102
264.0,0.7498594731
272.0,1.0729506725
280.0,0.9235045945
288.0,1.9547473714
296.0,3.0427222847
304.0,3.7862181068
312.0,1.8293267731
320.0,3.9221440111
328.0,4.5269465277
336.0,1.431430285
344.0,0.5385428154
352.0,0.3755245787
360.0,0.4118562659
368.0,0.8772084908
376.0,2.5305572316
384.0,0.9491162195
392.0,2.0236347625
400.0,4.03640596
408.0,2.051561737
416.0,4.7855262411
424.0,1.1110492156
432.0,0.7055582199
440.0,0.9783227505
448.0,2.8363841986
456.0,13.1611131316
464.0,2.6210703372
472.0,0.8439342528
480.0,0.462540594
488.0,0.4452729999
496.0,1.3355644169
504.0,0.463150416
512.0,0.1983548644
520.0,0.1412516855
528.0,0.128107141
536.0,0.1420135131
544.0,0.2052443932
552.0,0.4397598175
560.0,2.0701578888
568.0,1.4650098562
576.0,0.4064342232
584.0,0.2988882973
592.0,0.4709033898
600.0,1.780705411
608.0,3.046073874
616.0,0.5751809143
624.0,0.2281305416
632.0,0.1320293359
640.0,0.0959590797
648.0,0.0830297581
656.0,0.0840976497
664.0,0.0991329958
672.0,0.1413521772
680.0,0.2574907354
688.0,0.7355511692
696.0,2.8902144998
704.0,3.8924284741
712.0,0.7844826871
720.0,0.2804081438
728.0,0.1530860261
736.0,0.1082056433
744.0,0.0926249592
752.0,0.0957249511
760.0,0.1262477192
768.0,0.2359324279
776.0,0.9410549557
784.0,1.2690342507
792.0,0.2850871098
800.0,0.1493106723
808.0,0.1210889645
816.0,0.1248225464
824.0,0.1502833759
832.0,0.2056040308
840.0,0.3241946978
848.0,0.6397730481
856.0,1.9666862994
864.0,6.2294321931
872.0,9.9049876716
880.0,2.8454895987
888.0,0.866586645
896.0,0.4869727322
904.0,0.5177792588
912.0,1.7355866376
920.0,0.6271568078
928.0,0.311448126
936.0,0.3414729661
944.0,0.8697570972
952.0,1.9699243307
960.0,0.4779882536
968.0,0.3110617991
976.0,0.3447624263
984.0,0.5544443461
992.0,1.4351481639
1000.0,7.5278781451
1008.0,2.3478629479
1016.0,1.5599364594
1024.0,2.4102606488
1032.0,1.0037428057
1040.0,2.1364630227
1048.0,2.0261241827
1056.0,3.6677811097
1064.0,6.5190272625
1072.0,6.3993631901
1080.0,6.4588450642
1088.0,2.173380943
1096.0,2.6132408056
1104.0,1.6274982786
1112.0,5.6650143279
1120.0,1.6251560112
1128.0,0.9331951177
1136.0,2.0046391121
1144.0,5.0294077343
1152.0,0.9998823076
1160.0,0.4363613964
1168.0,0.2936678448
1176.0,0.2621410218
1184.0,0.3131188209
1192.0,0.6900601858
1200.0,0.8416827147
1208.0,1.943405312
1216.0,1.3224331934
1224.0,4.1738923994
1232.0,5.1914605126
1240.0,3.6899344872
1248.0,2.8458111882
1256.0,1.6305138129
1264.0,2.1589006937
1272.0,5.2893139522
1280.0,1.938781629
1288.0,0.7507136866
1296.0,0.7568556915
1304.0,2.4313528346
1312.0,1.4238798109
1320.0,1.383004948
1328.0,3.9130010187
1336.0,3.0479342653
1344.0,3.6149381304
1352.0,3.6374168295
1360.0,0.9682516589
1368.0,0.7178031794
1376.0,1.3012432099
1384.0,1.6816316742
1392.0,5.8956226821
1400.0,2.9523744871
1408.0,8.0044436583
1416.0,4.2364845472
1424.0,2.0463065548
1432.0,3.2820917357
1440.0,1.2415570794
1448.0,0.8048805152
1456.0,1.2830849166
1464.0,1.5106452839
1472.0,0.4620659063
1480.0,0.3862642325
1488.0,0.7998244107
1496.0,3.9786752615
1504.0,1.0224384482
1512.0,0.3088398193
1520.0,0.1544592243
1528.0,0.0968768372
1536.0,0.0681300579
1544.0,0.0517142562
1552.0,0.0378878209
1560.0,0.0308662258
1568.0,0.0251123732
1576.0,0.0158864595
1584.0,0.0134546173
1592.0,0.0107727613
1600.0,0.007856828
1608.0,0.0068273556
1616.0,0.005414956
1624.0,0.0040194346
1632.0,0.0035581546
1640.0,0.0031719351
1648.0,0.0028453354
1656.0,0.0025666896
1664.0,0.0
1672.0,0.0
1680.0,0.0
1688.0,0.0
1696.0,0.0
1704.0,0.0
1712.0,0.0
1720.0,0.0
1728.0,0.0
1736.0,0.0
1744.0,0.0
1752.0,0.0
1760.0,0.0
1768.0,0.0
1776.0,0.0
1784.0,0.0
1792.0,0.0
1800.0,0.0
1808.0,0.0
1816.0,0.0
1824.0,0.0
1832.0,0.0
1840.0,0.0
1848.0,0.0
1856.0,0.0
1864.0,0.0
1872.0,0.0
1880.0,0.0
1888.0,0.0
1896.0,0.0
1904.0,0.0
1912.0,0.0
1920.0,0.0
1928.0,0.0
1936.0,0.0
1944.0,0.0
1952.0,0.0
1960.0,0.0
1968.0,0.0
1976.0,0.0
1984.0,0.0
1992.0,0.0
2000.0,0.0
2008.0,0.0
2016.0,0.0
2024.0,0.0
2032.0,0.0
2040.0,0.0
2048.0,0.0
2056.0,0.0
2064.0,0.0
2072.0,0.0
2080.0,0.0
2088.0,0.0
2096.0,0.0
2104.0,0.0
2112.0,0.0
2120.0,0.0
2128.0,0.0
2136.0,0.0
2144.0,0.0
2152.0,0.0
2160.0,0.0
2168.0,0.0
2176.0,0.0
2184.0,0.0
2192.0,0.0
2200.0,0.0
2208.0,0.0
2216.0,0.0
2224.0,0.0
2232.0,0.0
2240.0,0.0
2248.0,0.0
2256.0,0.0
2264.0,0.0
2272.0,0.0
2280.0,0.0
2288.0,0.0
2296.0,0.0
2304.0,0.0
2312.0,0.0
2320.0,0.0
2328.0,0.0
2336.0,0.0
2344.0,0.0
2352.0,0.0
2360.0,0.0
2368.0,0.0
2376.0,0.0
2384.0,0.0
2392.0,0.0
2400.0,0.0
2408.0,0.0
2416.0,0.0
2424.0,0.0
2432.0,0.0
2440.0,0.0
2448.0,0.0
2456.0,0.0
2464.0,0.0
2472.0,0.0
2480.0,0.0
2488.0,0.0
2496.0,0.0
2504.0,0.0
2512.0,0.0
2520.0,0.0
2528.0,0.0
2536.0,0.0
2544.0,0.0
2552.0,0.0
2560.0,0.0
2568.0,0.0
2576.0,0.0
2584.0,0.0
2592.0,0.0
2600.0,0.0
2608.0,0.0
2616.0,0.0
2624.0,0.0
2632.0,0.0
2640.0,0.0
2648.0,0.0
2656.0,0.0
2664.0,0.0
2672.0,0.0
2680.0,0.0
2688.0,0.0
2696.0,0.0
2704.0,0.0
2712.0,0.0
2720.0,0.0
2728.0,0.0
2736.0,0.0
2744.0,0.0
2752.0,0.0
2760.0,0.0
2768.0,0.0
2776.0,0.0
2784.0,0.0
2792.0,0.0
2800.0,0.0
2808.0,0.0
2816.0,0.0
2824.0,0.0
2832.0,0.0
2840.0,0.0
2848.0,0.0150311872
2856.0,0.0314696374
2864.0,0.0350362503
2872.0,0.0630021305
2880.0,0.0996155076
2888.0,0.1120085793
2896.0,0.1678302118
2904.0,0.1904260081
2912.0,0.218026994
2920.0,0.2522708755
2928.0,0.3097841935
2936.0,0.3751107541
2944.0,0.4521555797
2952.0,0.5575312986
2960.0,0.7082988388
2968.0,0.9378761456
2976.0,1.3212325604
2984.0,2.0655797448
2992.0,3.9898936342
3000.0,13.3455137565
3008.0,23.1426381768
3016.0,28.4502703954
3024.0,31.4410318416
3032.0,46.4154132153
3040.0,27.2660036221
3048.0,29.9900397216
3056.0,47.7529109702
3064.0,10.9313963293
3072.0,8.4663193782
3080.0,24.6250265353
3088.0,16.4414030211
3096.0,4.871658602
3104.0,2.0169003
3112.0,1.2081502807
3120.0,0.839910019
3128.0,0.6310021707
3136.0,0.497154485
3144.0,0.4045970268
3152.0,0.3371617018
3160.0,0.2861254433
3168.0,0.2325540073
3176.0,0.1879779255
3184.0,0.1646250701
3192.0,0.1243006116
3200.0,0.0846612719
3208.0,0.0752457175
3216.0,0.0290499661
3224.0,0.0258369834
3232.0,0.0231292825
3240.0,0.02082616
3248.0,0.0071782209
3256.0,0.0
3264.0,0.0
3272.0,0.0
3280.0,0.0
3288.0,0.0
3296.0,0.0
3304.0,0.0
3312.0,0.0
3320.0,0.0
3328.0,0.0
3336.0,0.0
3344.0,0.0
3352.0,0.0
3360.0,0.0
3368.0,0.0
3376.0,0.0
3384.0,0.0
3392.0,0.0
3400.0,0.0
3408.0,0.0
3416.0,0.0
3424.0,0.0
3432.0,0.0
3440.0,0.0
3448.0,0.0
3456.0,0.0
3464.0,0.0
3472.0,0.0
3480.0,0.0
3488.0,0.0
3496.0,0.0
3504.0,0.0
3512.0,0.0
3520.0,0.0
3528.0,0.0
3536.0,0.0
3544.0,0.0
3552.0,0.0
3560.0,0.0
3568.0,0.0
3576.0,0.0
3584.0,0.0
3592.0,0.0
3600.0,0.0056624561
3608.0,0.0062795643
3616.0,0.0070033085
3624.0,0.0078597429
3632.0,0.0230307514
3640.0,0.0337573673
3648.0,0.0456447287
3656.0,0.0516404154
3664.0,0.0660294324
3672.0,0.0757924475
3680.0,0.0879853692
3688.0,0.1035293738
3696.0,0.1238546236
3704.0,0.151302764
3712.0,0.1899833733
3720.0,0.2478205852
3728.0,0.3422828258
3736.0,0.5205185518
3744.0,0.9599782242
3752.0,2.8758694108
3760.0,8.7049214139
3768.0,2.7528888879
3776.0,3.8419041777
3784.0,16.3730356282
3792.0,18.0132279919
3800.0,14.8248484494
3808.0,6.3472392804
