frequency_raw_cm-1,activity_raw
4.0,0.6221505268
13.0,1.9972205094
22.0,11.8821874115
31.0,3.2187061315
40.0,4.3968117157
49.0,1.4894790275
58.0,0.6284162223
67.0,0.6853086697
76.0,0.64965207
85.0,0.4810361377
94.0,0.3087607107
103.0,0.5285951287
112.0,0.9689843227
121.0,0.9337831008
130.0,1.7790228989
139.0,10.5076072772
148.0,5.7951947671
157.0,1.2569155773
166.0,0.5786135726
175.0,0.4068545356
184.0,0.8978881874
193.0,0.4710398914
202.0,0.1617261716
211.0,0.0976526644
220.0,0.0723389278
229.0,0.0617413821
238.0,0.0665932037
247.0,0.1451762535
256.0,0.3892445786
265.0,0.0807952565
274.0,0.0484812108
283.0,0.0708353416
292.0,0.1751506018
301.0,0.0411281845
310.0,0.0150589502
319.0,0.0131711985
328.0,0.0200779361
337.0,0.0895421337
346.0,0.0413940618
355.0,0.0166272956
364.0,0.0182590658
373.0,0.0236243628
382.0,0.037734964
391.0,0.0811551342
400.0,0.3240713131
409.0,0.9675451493
418.0,0.1705297342
427.0,0.0761267189
436.0,0.0382200923
445.0,0.0295253577
454.0,0.0285976162
463.0,0.0330336249
472.0,0.0454334423
481.0,0.0911142403
490.0,0.1845420837
499.0,0.366162287
508.0,0.3655397989
517.0,1.4807574928
526.0,2.8150674699
535.0,0.4945351698
544.0,0.1759060707
553.0,0.0941214421
562.0,0.0630969781
571.0,0.0491508343
580.0,0.0449326185
589.0,0.0474015302
598.0,0.0582691788
607.0,0.0856511139
616.0,0.1616838242
625.0,0.4836949868
634.0,3.2121684796
643.0,0.7376991786
652.0,0.2356814279
661.0,0.194023896
670.0,0.4752300429
679.0,1.8956585959
688.0,0.2904997161
697.0,0.0991938047
706.0,0.0514714525
715.0,0.0326045957
724.0,0.0261914739
733.0,0.0263324424
742.0,0.0273580547
751.0,0.0213331806
760.0,0.0210557674
769.0,0.0177325406
778.0,0.0180328411
787.0,0.0296856929
796.0,0.0229597837
805.0,0.0200410603
814.0,0.0232920851
823.0,0.031035318
832.0,0.0421968657
841.0,0.0509191595
850.0,0.0766116894
859.0,0.1330589464
868.0,0.3000974563
877.0,1.164452855
886.0,3.0943527596
895.0,0.9802750136
904.0,3.671813714
913.0,0.7279020426
922.0,0.2449803984
931.0,0.1286686825
940.0,0.0840364016
949.0,0.0660636262
958.0,0.0632670641
967.0,0.0690606458
976.0,0.1200224752
985.0,0.1374358338
994.0,0.3463767247
1003.0,0.4219047683
1012.0,0.1840337358
1021.0,0.2212362837
1030.0,0.2214081395
1039.0,0.3717502262
1048.0,1.039673382
1057.0,1.3259690048
1066.0,3.8695431075
1075.0,9.1775279248
1084.0,2.0596538641
1093.0,0.8678134846
1102.0,1.3574451354
1111.0,4.4780176847
1120.0,0.8326526551
1129.0,0.4865977736
1138.0,0.7391053873
1147.0,3.6932162678
1156.0,1.9410760173
1165.0,2.807944869
1174.0,0.8932660233
1183.0,0.3094902717
1192.0,0.1842918239
1201.0,0.1414220169
1210.0,0.1357993198
1219.0,0.2428663272
1228.0,0.192023378
1237.0,0.2245445362
1246.0,0.2166147262
1255.0,0.1853616596
1264.0,0.3578336388
1273.0,0.243023355
1282.0,0.3453664197
1291.0,0.9207044556
1300.0,0.7086356904
1309.0,1.067278589
1318.0,1.9846915859
1327.0,5.980762488
1336.0,30.0276924598
1345.0,8.6173725454
1354.0,2.9275489917
1363.0,1.2653400877
1372.0,0.6297784004
1381.0,0.458346026
1390.0,0.3524618836
1399.0,0.3030862032
1408.0,0.3497212905
1417.0,0.5225963616
1426.0,1.6179913919
1435.0,0.7902741621
1444.0,1.1019922679
1453.0,0.4149934178
1462.0,0.3957959811
1471.0,0.5218846697
1480.0,0.9346670456
1489.0,3.5167724891
1498.0,2.483169537
1507.0,5.8139028876
1516.0,36.0028427757
1525.0,12.3157022008
1534.0,6.0127816418
1543.0,2.052491084
1552.0,0.857016187
1561.0,0.488034204
1570.0,0.3220389885
1579.0,0.2299079741
1588.0,0.1719990869
1597.0,0.1341094619
1606.0,0.1068470517
1615.0,0.0876089258
1624.0,0.0731580255
1633.0,0.0620221615
1642.0,0.0532564157
1651.0,0.0443582407
1660.0,0.0388336483
1669.0,0.0342817411
1678.0,0.0099060892
1687.0,0.0054451205
1696.0,0.0010097549
1705.0,0.0007127571
1714.0,0.000767289
1723.0,0.000882629
1732.0,0.0010260622
1741.0,0.0012075066
1750.0,0.0014416746
1759.0,0.0017511455
1768.0,0.0021720065
1777.0,0.0027648387
1786.0,0.0036377163
1795.0,0.0049989321
1804.0,0.0072928976
1813.0,0.0116105326
1822.0,0.0212451002
1831.0,0.0501437623
1840.0,0.2106308399
1849.0,0.6735705815
1858.0,0.0984871619
1867.0,0.0325154721
1876.0,0.0158008908
1885.0,0.0092805226
1894.0,0.0060920064
1903.0,0.0043014728
1912.0,0.0031975495
1921.0,0.0024695476
1930.0,0.0019644148
1939.0,0.0015997071
1948.0,0.0013278389
1957.0,0.0011197902
1966.0,0.0009570501
1975.0,0.0008273609
1984.0,0.0007223454
1993.0,0.0006361209
2002.0,0.0005644585
2011.0,0.0
2020.0,0.0
