Experimental_Raman_cm-1,DFT_Raman_cm-1,Delta_cm-1,Fragment,Confidence
279,278.6,0.4,Heptose,Moderate
310,311.2,-1.2,Glucosamine,Moderate
426,425.9,0.1,Phosphoric Acid,Moderate
467,467.0,0.0,Glucosamine,Moderate
489,490.3,-1.3,Glucosamine,Moderate
511,502.5,8.5,Myristic Acid,Moderate
542,541.5,0.5,Heptose,Moderate
587,581.7,5.3,Heptose,Moderate
629,619.7,9.3,Glucosamine,Moderate
655,651.5,3.5,Myristic Acid,Moderate
674,676.3,-2.3,Heptose,Moderate
698,683.5,14.5,KDO,Low
721,717.9,3.1,KDO,High
736,-,-,-,Unmatched
748,750.4,-2.4,Heptose,High
771,777.9,-6.9,Phosphoric Acid,Moderate
902,913.2,-11.2,Heptose,Low
972,962.4,9.6,Heptose,Moderate
1033,1031.0,2.0,Myristic Acid,Moderate
1090,1098.0,-8.0,Heptose,Moderate
1101,1102.8,-1.8,Glucosamine,Moderate
1124,1122.3,1.7,KDO,Moderate
1195,1196.4,-1.4,Glucosamine,Moderate
1354,1354.8,-0.8,KDO,Moderate
1574,-,-,-,Unmatched
1584,-,-,-,Unmatched
1595,-,-,-,Unmatched
1615,-,-,-,Unmatched
1630,1635.6,-5.6,Glucosamine,Moderate
1659,1659.1,-0.1,KDO,High
1693,1692.1,0.9,KDO,High
1705,-,-,-,Unmatched
1716,-,-,-,Unmatched
1727,-,-,-,Unmatched
1750,-,-,-,Unmatched
1772,-,-,-,Unmatched
1793,-,-,-,Unmatched
1815,-,-,-,Unmatched
1840,-,-,-,Unmatched
1863,-,-,-,Unmatched
1888,-,-,-,Unmatched
1923,-,-,-,Unmatched
1998,-,-,-,Unmatched
