exp_peak_cm-1,prominence,has_dft_match_within_tol
279.0,0.3047,yes
310.0,0.2269,yes
426.0,0.6985,yes
467.0,0.1309,yes
489.0,0.2933,yes
511.0,0.2318,yes
542.0,0.3133,yes
587.0,0.505,yes
629.0,0.1798,yes
655.0,0.239,yes
674.0,0.1819,yes
698.0,0.113,yes
721.0,0.1757,yes
736.0,0.1104,no
748.0,0.0828,yes
771.0,0.2075,yes
902.0,0.2021,yes
972.0,0.1591,yes
1033.0,0.2698,yes
1090.0,0.9773,yes
1101.0,0.41,yes
1124.0,0.0895,yes
1195.0,0.2636,yes
1354.0,0.9407,yes
1574.0,0.1022,no
1584.0,0.2292,no
1595.0,0.1367,no
1615.0,0.4298,no
1630.0,0.2195,yes
1659.0,0.1157,yes
1693.0,0.0912,yes
1705.0,0.0924,no
1716.0,0.1308,no
1727.0,0.2263,no
1750.0,0.1396,no
1772.0,0.1617,no
1793.0,0.1662,no
1815.0,0.169,no
1840.0,0.2366,no
1863.0,0.0906,no
1888.0,0.0821,no
1923.0,0.1026,no
1998.0,0.1003,no
