exp_peak_cm-1,dft_peak_cm-1_scaled,delta_cm-1,fragment,other_fragments_within_tol,exp_prominence,confidence
279.0,278.6,0.4,Heptose,Glucosamine;Phosphoric_Acid,0.3047,Moderate
310.0,311.2,-1.2,Glucosamine,Heptose,0.2269,Moderate
426.0,425.9,0.1,Phosphoric_Acid,Glucosamine;Heptose;KDO,0.6985,Moderate
467.0,467.0,0.0,Glucosamine,Heptose;KDO,0.1309,Moderate
489.0,490.3,-1.3,Glucosamine,Heptose;KDO;Myristic_Acid,0.2933,Moderate
511.0,502.5,8.5,Myristic_Acid,,0.2318,Moderate
542.0,541.5,0.5,Heptose,Glucosamine;KDO,0.3133,Moderate
587.0,581.7,5.3,Heptose,Glucosamine,0.505,Moderate
629.0,619.7,9.3,Glucosamine,KDO,0.1798,Moderate
655.0,651.5,3.5,Myristic_Acid,Heptose;KDO,0.239,Moderate
674.0,676.3,-2.3,Heptose,KDO,0.1819,Moderate
698.0,683.5,14.5,KDO,,0.113,Low
721.0,717.9,3.1,KDO,,0.1757,High
748.0,750.4,-2.4,Heptose,,0.0828,High
771.0,777.9,-6.9,Phosphoric_Acid,,0.2075,Moderate
902.0,913.2,-11.2,Heptose,KDO;Phosphoric_Acid,0.2021,Low
972.0,962.4,9.6,Heptose,,0.1591,Moderate
1033.0,1031.0,2.0,Myristic_Acid,Glucosamine;Heptose;KDO;Phosphoric_Acid,0.2698,Moderate
1090.0,1098.0,-8.0,Heptose,Glucosamine,0.9773,Moderate
1101.0,1102.8,-1.8,Glucosamine,Heptose;Myristic_Acid,0.41,Moderate
1124.0,1122.3,1.7,KDO,Glucosamine;Myristic_Acid,0.0895,Moderate
1195.0,1196.4,-1.4,Glucosamine,Heptose;KDO,0.2636,Moderate
1354.0,1354.8,-0.8,KDO,Glucosamine;Heptose,0.9407,Moderate
1630.0,1635.6,-5.6,Glucosamine,,0.2195,Moderate
1659.0,1659.1,-0.1,KDO,,0.1157,High
1693.0,1692.1,0.9,KDO,,0.0912,High
