DFT_mode_cm-1,Fragment,Activity
200.1,Glucosamine,0.1228
214.2,Phosphoric Acid,0.1387
214.4,Heptose,0.1516
225.6,Heptose,0.0328
235.6,Glucosamine,0.0201
235.9,Heptose,0.1023
247.9,Heptose,0.0277
254.2,Glucosamine,0.014
264.0,Heptose,0.0286
271.3,Phosphoric Acid,0.0819
274.0,Glucosamine,0.1043
276.0,Glucosamine,0.049
281.8,Heptose,0.04
289.7,Heptose,0.1397
306.3,Heptose,0.103
316.5,Heptose,0.1308
333.3,KDO,0.074
336.5,Glucosamine,0.1291
352.5,KDO,0.2575
360.3,Heptose,0.0762
367.7,Glucosamine,0.0721
376.9,Phosphoric Acid,0.0825
382.2,Heptose,0.1538
383.9,Glucosamine,0.0747
388.9,KDO,0.0885
398.7,Heptose,0.154
401.6,Glucosamine,0.2215
411.5,Glucosamine,0.1416
418.0,Phosphoric Acid,0.0968
432.2,KDO,0.077
433.7,Glucosamine,0.2671
438.2,Heptose,0.4193
447.4,Phosphoric Acid,0.0873
469.2,KDO,0.1521
474.8,KDO,0.0975
478.0,Heptose,0.0414
492.8,KDO,0.0857
531.4,KDO,0.1044
531.6,Glucosamine,0.0884
559.7,KDO,0.0898
578.4,Glucosamine,0.0235
610.5,Myristic Acid,0.1147
617.8,KDO,0.1132
648.0,KDO,0.085
668.4,Heptose,0.073
786.2,KDO,0.2621
829.2,Heptose,0.1842
831.7,KDO,0.2661
839.4,Heptose,0.3475
849.4,Myristic Acid,0.1391
851.1,KDO,0.1107
858.1,Glucosamine,0.0295
858.1,KDO,0.2973
869.5,Myristic Acid,0.1264
872.7,Glucosamine,0.0759
875.3,Phosphoric Acid,0.0232
878.0,Heptose,0.0605
888.0,Phosphoric Acid,0.0349
890.8,KDO,0.1346
932.4,Glucosamine,0.0464
950.6,KDO,0.1666
982.2,Heptose,0.0913
989.8,KDO,0.1431
995.5,Phosphoric Acid,0.0516
1002.6,Heptose,0.0845
1013.9,Heptose,0.0383
1014.4,Glucosamine,0.0156
1017.5,Heptose,0.0611
1019.8,KDO,0.195
1026.4,Heptose,0.3561
1029.0,Glucosamine,0.0311
1030.1,Myristic Acid,0.0774
1030.9,Phosphoric Acid,0.0314
1036.4,Myristic Acid,0.0835
1037.0,Heptose,0.2053
1037.5,Phosphoric Acid,0.0667
1041.0,Glucosamine,0.0473
1042.6,KDO,0.1435
1051.7,Heptose,0.079
1053.8,KDO,0.2478
1060.3,Glucosamine,0.0534
1065.5,Glucosamine,0.0299
1066.6,Myristic Acid,0.1771
1069.6,Heptose,0.1998
1074.2,KDO,0.3265
1081.1,Glucosamine,0.0614
1105.2,Myristic Acid,0.1806
1113.0,Glucosamine,0.089
1121.7,Myristic Acid,0.111
1134.3,KDO,0.1029
1135.9,Glucosamine,0.0291
1141.0,KDO,0.0654
1149.0,Heptose,0.0242
1161.0,Glucosamine,0.0559
1161.2,Heptose,0.0548
1166.9,KDO,0.0949
1172.6,Glucosamine,0.087
1176.9,Heptose,0.1197
1180.8,KDO,0.0908
1187.2,Heptose,0.2471
1196.5,Heptose,0.0547
1202.7,Heptose,0.0666
1208.2,Glucosamine,0.0497
1216.9,Heptose,0.0428
1224.3,KDO,0.129
1224.4,Heptose,0.2121
1237.2,KDO,0.0785
1247.6,Glucosamine,0.0269
1255.8,Heptose,0.1081
1261.3,KDO,0.1312
1264.3,Glucosamine,0.1163
1273.1,KDO,0.0659
1275.7,Heptose,0.1304
1278.9,Glucosamine,0.0485
1283.0,Myristic Acid,0.6551
1286.6,Myristic Acid,0.7776
1288.3,Heptose,0.1663
1296.9,Phosphoric Acid,0.0571
1297.9,Heptose,0.1395
1299.3,Glucosamine,0.03
1300.2,KDO,0.0661
1307.9,KDO,0.2454
1322.5,Heptose,0.0242
1330.0,KDO,0.1924
1337.3,KDO,0.3103
1337.7,Heptose,0.207
1341.6,KDO,0.2343
1342.9,Glucosamine,0.1648
1349.3,KDO,0.1819
1349.6,Heptose,0.0447
1352.9,Glucosamine,0.1364
1354.8,Heptose,0.2702
1358.8,Heptose,0.1008
1360.3,Glucosamine,0.0539
1369.4,Glucosamine,0.0232
1370.6,KDO,0.1144
1372.6,Heptose,0.0528
1378.3,Heptose,0.102
1388.1,Glucosamine,0.0168
1392.7,Glucosamine,0.0722
1396.6,KDO,0.0894
1397.6,Heptose,0.0379
1406.6,Heptose,0.0492
1420.4,KDO,0.1305
1432.9,Myristic Acid,0.1219
1435.1,Glucosamine,0.0332
1438.9,Heptose,0.1647
1458.3,Myristic Acid,1.3261
1459.3,Myristic Acid,0.1803
1463.7,Myristic Acid,0.0985
1470.7,Myristic Acid,0.2232
1471.0,Glucosamine,0.1156
