,Experimental (cm⁻¹),DFT Simulated (cm⁻¹),Difference (cm⁻¹),DFT Raman Activity
1,231.4,230.4,1.0,0.036
2,256.0,253.4,2.6,0.091
3,286.2,284.2,2.1,0.144
4,316.2,314.9,1.4,0.079
5,349.8,353.3,-3.5,0.017
6,368.3,368.6,-0.3,0.01
7,458.2,460.8,-2.6,0.104
8,489.0,491.5,-2.6,0.046
9,523.1,522.2,0.9,0.07
10,541.0,537.6,3.4,0.049
11,583.7,583.7,0.0,0.025
12,615.4,614.4,1.0,0.04
13,645.2,645.1,0.1,0.029
14,676.6,675.8,0.7,0.017
15,702.5,698.9,3.6,0.033
16,743.8,745.0,-1.2,0.025
17,772.7,775.7,-2.9,0.463
18,830.2,829.4,0.7,0.018
19,871.9,875.5,-3.6,0.081
20,900.1,898.6,1.5,0.137
21,929.8,929.3,0.5,0.027
22,955.9,952.3,3.6,0.073
23,1024.0,1021.4,2.5,0.111
24,1043.2,1044.5,-1.3,0.116
25,1059.2,1059.8,-0.7,0.171
26,1086.2,1082.9,3.3,0.381
27,1127.2,1129.0,-1.8,0.074
28,1156.9,1159.7,-2.8,0.321
29,1189.5,1190.4,-0.9,0.041
30,1209.6,1205.8,3.8,0.161
31,1250.9,1251.8,-0.9,0.18
32,1299.4,1297.9,1.5,0.116
33,1319.0,1321.0,-2.0,0.238
34,1345.9,1344.0,1.9,0.621
35,1393.3,1390.1,3.2,0.066
36,1451.8,1451.5,0.2,0.091
37,1546.4,1543.7,2.8,0.005
38,1590.1,1589.8,0.4,0.003
39,1700.7,1697.3,3.4,0.016
40,1835.8,1835.5,0.3,0.001
41,2126.0,2127.4,-1.4,0.0
42,2258.9,2257.9,1.0,0.0
43,2301.6,2304.0,-2.4,0.0
44,2313.1,2311.7,1.4,0.0
45,2376.5,2373.1,3.4,0.0
46,2408.9,2411.5,-2.6,0.0
47,2496.4,2496.0,0.4,0.0
48,2575.2,2572.8,2.4,0.0
49,2602.4,2603.5,-1.1,0.0
50,2756.5,2757.1,-0.6,0.008
51,2833.3,2833.9,-0.6,0.129
