rank,fname,sec,power,SNR,peak_intensity,FWHM,sharpness,score
1,sec-25_power-80_i-2.xlsx,25,80,95.91,583.47,12.216,0.0819,223.0141
2,sec-25_power-75_i-2.xlsx,25,75,52.13,568.99,12.588,0.0794,196.7804
3,sec-25_power-70_i-2.xlsx,25,70,65.44,514.79,12.682,0.0789,187.1737
4,sec-25_power-65_i-2.xlsx,25,65,63.29,476.88,12.707,0.0787,174.7219
5,sec-20_power-80_i-2.xlsx,20,80,56.46,483.83,12.051,0.083,173.3964
6,sec-25_power-60_i-2.xlsx,25,60,53.04,461.03,12.566,0.0796,164.8453
7,sec-20_power-75_i-2.xlsx,20,75,47.31,469.83,12.315,0.0812,164.619
8,sec-25_power-55_i-2.xlsx,25,55,62.15,432.01,12.711,0.0787,160.6919
9,sec-20_power-70_i-2.xlsx,20,70,58.71,433.39,12.176,0.0821,159.3882
10,sec-25_power-50_i-2.xlsx,25,50,68.97,356.84,13.146,0.0761,141.552
11,sec-20_power-65_i-2.xlsx,20,65,40.02,374.21,12.593,0.0794,132.2905
12,sec-20_power-60_i-2.xlsx,20,60,48.01,343.89,12.414,0.0806,127.1872
13,sec-25_power-45_i-2.xlsx,25,45,46.56,344.01,13.01,0.0769,126.4988
14,sec-15_power-75_i-2.xlsx,15,75,57.0,325.81,12.003,0.0833,126.2592
15,sec-25_power-40_i-2.xlsx,25,40,51.45,322.21,12.738,0.0785,122.4049
16,sec-15_power-80_i-2.xlsx,15,80,42.17,324.81,11.979,0.0835,118.541
17,sec-20_power-55_i-2.xlsx,20,55,44.14,316.55,12.624,0.0792,117.0529
18,sec-25_power-35_i-2.xlsx,25,35,49.1,283.73,12.331,0.0811,109.6861
19,sec-15_power-70_i-2.xlsx,15,70,40.06,297.33,12.009,0.0833,109.2461
20,sec-15_power-65_i-2.xlsx,15,65,50.82,278.32,11.39,0.0878,108.9232
21,sec-20_power-50_i-2.xlsx,20,50,33.79,305.14,11.496,0.087,108.4522
22,sec-20_power-45_i-2.xlsx,20,45,38.41,285.8,12.246,0.0817,104.9597
23,sec-25_power-30_i-2.xlsx,25,30,34.81,254.32,12.746,0.0785,93.7194
