atom_index,element,charge,x,y,z
1,O,-0.005652,-0.189697,-1.991867,-0.254214
2,O,0.060429,0.165957,1.741354,1.984217
3,O,-0.181194,1.330114,3.641815,2.299593
4,N,-0.054487,4.516532,-2.493052,-0.318465
5,N,-0.052762,-4.920708,-1.884965,-0.179512
6,C,0.895074,-0.016406,0.783935,-0.590511
7,C,-0.001906,1.151297,-0.00336,-0.534583
8,C,-0.062585,-1.272016,0.153073,-0.495997
9,C,0.376149,1.031777,-1.406668,-0.356141
10,C,0.465114,-1.328349,-1.255314,-0.325614
11,C,0.177835,0.076299,2.252962,-0.844722
12,C,-0.504887,2.476261,0.510926,-0.649546
13,C,-0.545104,-2.521673,0.838532,-0.531763
14,C,0.019319,3.590938,-0.279237,-0.580323
15,C,0.053807,-3.725851,0.197731,-0.428688
16,C,-0.342225,3.423578,-1.702161,-0.387719
17,C,-0.35341,-3.737603,-1.239658,-0.27424
18,C,-0.090734,2.127979,-2.241926,-0.281852
19,C,-0.062009,-2.519961,-1.943461,-0.220456
20,C,0.25414,0.440832,3.20501,0.128887
21,C,-0.323097,-0.162382,2.682138,-2.156751
22,C,-0.756532,4.972455,0.307195,-0.705756
23,C,-0.725061,-5.023279,0.961564,-0.471169
24,C,-0.094161,0.566705,4.550081,-0.241653
25,C,-0.009246,4.507154,-3.944361,-0.134031
26,C,0.003949,-5.092475,-3.329293,-0.021727
27,C,-0.380001,-0.043109,4.024217,-2.507097
28,C,-0.468149,0.323942,4.962528,-1.545738
29,C,-0.31435,0.709566,2.902012,1.574126
30,C,-0.715385,5.929658,-4.489829,-0.101841
31,C,-0.716326,-6.57176,-3.689467,0.041983
32,C,-0.009965,0.365745,1.402776,3.387978
33,C,-0.597361,-0.343112,0.092475,3.655635
34,H,0.199937,2.598586,1.576048,-0.801213
35,H,0.184386,-2.507246,1.91545,-0.642448
36,H,0.207002,1.965586,-3.30173,-0.147641
37,H,0.21604,-2.491295,-3.016491,-0.096784
38,H,0.194596,-0.430022,1.951529,-2.911626
39,H,0.367346,5.419733,-2.053836,-0.404111
40,H,0.365334,-5.762092,-1.331615,-0.222262
41,H,0.178469,5.514236,-0.109405,-1.562487
42,H,0.183826,5.574446,0.123412,0.19138
43,H,0.169413,4.921863,1.386665,-0.846276
44,H,0.17732,-5.652499,0.647103,-1.311645
45,H,0.179912,-5.604171,0.827759,0.448423
46,H,0.169064,-4.838277,2.029396,-0.586036
47,H,0.258561,0.857026,5.261827,0.520865
48,H,0.178535,3.989323,-4.185949,0.801048
49,H,0.185199,3.943497,-4.408835,-0.951052
50,H,0.183468,-4.614919,-3.843568,-0.863317
51,H,0.178518,-4.585183,-3.655735,0.893189
52,H,0.209946,-0.231674,4.33077,-3.529354
53,H,0.197781,0.420938,6.008745,-1.80978
54,H,0.16228,6.45555,-4.283189,-1.037806
55,H,0.162736,6.501539,-4.05971,0.724718
56,H,0.172813,5.909772,-5.572042,0.035712
57,H,0.162197,-7.061779,-3.208016,0.892523
58,H,0.162444,-7.091565,-3.397303,-0.874374
59,H,0.173434,-6.686953,-4.768085,0.159505
60,H,0.207958,1.4393,1.339245,3.575802
61,H,0.192722,-0.032935,2.217934,3.994251
62,H,0.173621,-0.218091,-0.17762,4.707154
63,H,0.164102,-1.412758,0.173676,3.450809
64,H,0.141812,0.071044,-0.715254,3.047757
