mode_index,frequency_cm1,reduced_mass_amu,force_constant_mdyne_A,ir_intensity_km_mol,raman_activity_A4_amu,depolar_ratio_p,depolar_ratio_u
1,12.6276,4.9905,0.0005,1.3919,3.6089,0.7376,0.849
2,19.1205,3.9435,0.0008,0.036,3.9784,0.7484,0.8561
3,25.4869,4.1732,0.0016,0.6662,1.471,0.7136,0.8329
4,34.2541,3.6892,0.0026,0.0478,3.4035,0.7422,0.852
5,43.2513,3.5443,0.0039,0.8099,1.415,0.7478,0.8557
6,51.8901,3.7857,0.006,0.314,3.0759,0.7171,0.8352
7,56.0841,3.8364,0.0071,0.309,5.532,0.7378,0.8491
8,66.8764,2.1339,0.0056,0.0102,0.7147,0.7496,0.8569
9,70.414,3.0961,0.009,0.5652,0.8279,0.7456,0.8542
10,72.3771,3.6684,0.0113,0.425,5.2417,0.6746,0.8057
11,83.5421,2.7827,0.0114,3.6579,1.3637,0.6387,0.7795
12,96.937,3.5831,0.0198,0.3134,2.5884,0.594,0.7453
13,113.373,2.6854,0.0203,1.5682,1.4915,0.7466,0.8549
14,117.8905,3.564,0.0292,0.138,5.0297,0.75,0.8571
15,120.0495,2.4346,0.0207,0.0097,0.3847,0.7435,0.8529
16,140.0556,3.2262,0.0373,2.251,0.5312,0.2008,0.3345
17,153.2954,3.4825,0.0482,0.1363,4.1029,0.205,0.3402
18,154.4939,3.738,0.0526,0.9271,1.8605,0.2715,0.4271
19,160.1487,3.1454,0.0475,0.8945,3.0072,0.4306,0.602
20,193.2348,1.605,0.0353,0.4972,0.1284,0.2615,0.4146
21,208.3222,1.1501,0.0294,0.0795,0.4048,0.7374,0.8488
22,211.8351,1.7905,0.0473,1.1646,1.1168,0.5629,0.7203
23,219.3984,3.274,0.0929,0.0524,1.2291,0.6911,0.8173
24,234.1534,3.3174,0.1072,0.1535,8.8534,0.2487,0.3984
25,250.693,1.8792,0.0696,0.054,7.7798,0.1954,0.327
26,257.2968,1.7239,0.0672,1.2862,6.0285,0.202,0.336
27,261.1251,3.0824,0.1238,0.4317,27.535,0.1638,0.2815
28,261.3606,2.9059,0.117,3.5517,2.8655,0.7158,0.8344
29,263.4667,1.2525,0.0512,0.0045,0.1604,0.5979,0.7484
30,274.0514,2.6437,0.117,3.4286,0.7239,0.4619,0.6319
31,279.6861,2.9841,0.1375,1.2991,0.763,0.7052,0.8271
32,301.3418,4.421,0.2365,4.7092,0.8468,0.7083,0.8293
33,318.4067,3.7625,0.2247,4.9445,4.5171,0.1756,0.2987
34,341.8111,2.8797,0.1982,3.4509,0.084,0.7291,0.8433
35,350.315,3.9917,0.2886,2.8511,1.8714,0.4897,0.6574
36,358.1553,3.0034,0.227,10.2573,0.0354,0.2913,0.4511
37,371.8361,2.2459,0.183,0.1716,0.9363,0.6652,0.7989
38,385.2263,3.9481,0.3452,3.8377,16.8902,0.1432,0.2506
39,401.2635,4.4651,0.4236,22.3487,16.6172,0.1148,0.2059
40,405.3508,4.6593,0.4511,0.834,0.5463,0.7276,0.8423
41,423.3491,1.7871,0.1887,54.4531,2.3577,0.5648,0.7219
42,433.6868,2.0718,0.2296,8.1409,4.3018,0.4885,0.6563
43,436.852,2.1938,0.2467,1.9616,1.1829,0.6644,0.7984
44,463.2477,2.5721,0.3252,16.2382,0.1523,0.3387,0.506
45,471.9585,2.9424,0.3862,0.2544,1.7728,0.4181,0.5896
46,483.685,5.4414,0.75,47.5382,1.5492,0.7434,0.8528
47,520.5975,5.2413,0.8369,3.397,2.0751,0.7493,0.8567
48,523.7777,4.6061,0.7445,0.9213,13.6214,0.1442,0.252
49,538.7459,4.2975,0.7349,0.7615,3.5693,0.5999,0.7499
50,559.3095,3.9728,0.7322,11.899,0.4163,0.6394,0.78
51,587.4747,4.0417,0.8218,0.0468,0.8316,0.6508,0.7884
52,625.9935,7.5495,1.743,15.3067,8.5691,0.4249,0.5964
53,629.2511,5.355,1.2493,60.4183,4.5868,0.7165,0.8348
54,648.4987,7.4962,1.8574,2.0194,1.8543,0.7427,0.8524
55,669.9402,6.7823,1.7935,1.2712,7.102,0.5387,0.7002
56,683.6717,7.4113,2.041,0.0653,1.4734,0.5933,0.7447
57,707.7888,4.3372,1.2802,1.2852,0.1805,0.6819,0.8109
58,715.8428,4.8316,1.4587,9.698,1.4025,0.3124,0.4761
59,722.7153,5.7129,1.7581,3.6872,3.741,0.0659,0.1237
60,724.807,3.1412,0.9723,0.1446,3.4182,0.4098,0.5813
61,749.3141,2.6599,0.8799,32.7492,0.5141,0.1149,0.2061
62,771.5349,4.3051,1.5099,1.6062,2.6742,0.7444,0.8534
63,779.2284,3.8451,1.3756,0.3889,0.5839,0.7442,0.8533
64,784.5233,6.1039,2.2134,0.5694,18.6269,0.1753,0.2984
65,799.9376,2.6314,0.9921,20.3247,0.9243,0.7158,0.8344
66,807.6513,1.3944,0.5359,1.7855,0.5982,0.4395,0.6106
67,819.6806,1.9571,0.7747,1.7756,1.7346,0.7445,0.8535
68,821.7157,1.183,0.4706,1.814,0.8647,0.7419,0.8518
69,821.9099,1.1894,0.4734,19.1397,0.6367,0.7495,0.8568
70,831.9406,4.1226,1.6811,1.6344,4.1261,0.3583,0.5276
71,847.0392,1.4644,0.619,2.3246,0.5741,0.7494,0.8567
72,847.9193,1.4856,0.6293,25.1835,1.0011,0.7454,0.8541
73,867.2314,6.5928,2.9214,11.8119,11.4525,0.256,0.4077
74,877.171,2.7353,1.24,13.1477,3.5235,0.7418,0.8518
75,909.1287,1.4339,0.6983,0.965,1.6829,0.261,0.414
76,912.0541,1.3844,0.6785,16.7219,0.5579,0.7379,0.8492
77,913.1656,1.3721,0.6741,0.214,0.7704,0.4295,0.601
78,924.6164,2.2124,1.1144,0.5999,1.7543,0.54,0.7013
79,933.38,1.9445,0.9981,0.0504,1.1382,0.7486,0.8562
80,949.7671,3.9579,2.1035,0.8046,4.1898,0.681,0.8103
81,973.0868,2.2446,1.2522,2.4361,0.8609,0.6995,0.8232
82,994.0995,1.3917,0.8103,0.6174,0.0803,0.6321,0.7745
83,1022.2365,1.3327,0.8205,1.5621,0.174,0.7484,0.8561
84,1023.6371,1.5443,0.9534,1.1922,19.0098,0.2634,0.4169
85,1028.9276,2.9119,1.8163,35.0061,7.5771,0.2366,0.3826
86,1036.1985,1.7774,1.1244,104.0792,6.8009,0.7382,0.8494
87,1060.8503,3.1201,2.0688,2.3783,47.2908,0.0322,0.0623
88,1062.2864,1.5117,1.0051,0.605,0.5064,0.6738,0.8051
89,1062.6027,1.504,1.0006,0.4515,0.4721,0.7371,0.8487
90,1065.3949,2.6746,1.7887,32.9892,28.1909,0.4427,0.6138
91,1067.996,2.7863,1.8725,17.4415,8.7177,0.6777,0.8079
92,1104.7859,3.44,2.4738,24.7549,2.8708,0.7401,0.8507
93,1129.811,2.5391,1.9096,8.1885,19.9635,0.4914,0.659
94,1135.8488,2.2301,1.6952,10.1215,17.8503,0.0749,0.1393
95,1145.0085,2.6487,2.046,20.0841,5.5063,0.7396,0.8503
96,1147.5726,2.468,1.915,102.1774,4.1692,0.4074,0.5789
97,1160.8478,2.953,2.3445,50.5623,1.1218,0.5247,0.6883
98,1163.7793,1.5015,1.1982,0.1237,0.0927,0.6895,0.8162
99,1163.8476,1.5011,1.198,2.1393,0.5065,0.7499,0.8571
100,1174.441,1.5466,1.2569,3.4267,0.5035,0.7003,0.8238
101,1183.8817,3.0691,2.5344,1.2166,15.3815,0.7493,0.8567
102,1192.0022,1.1119,0.9308,0.5295,8.5516,0.6079,0.7561
103,1198.5306,2.0515,1.7363,0.513,61.3758,0.3499,0.5184
104,1210.3606,6.4523,5.5692,73.344,20.1888,0.75,0.8571
105,1215.0807,3.3174,2.8858,4.288,138.7973,0.0578,0.1093
106,1265.018,2.0033,1.8888,132.1171,11.1114,0.748,0.8558
107,1271.0325,2.4059,2.29,225.9061,33.8443,0.0805,0.1491
108,1289.5406,1.385,1.357,10.8252,7.5833,0.6804,0.8098
109,1292.9052,1.6674,1.6422,18.9597,5.5144,0.6594,0.7948
110,1298.8388,1.1012,1.0946,1.3475,4.5175,0.7145,0.8335
111,1299.8055,2.2263,2.2161,156.8701,16.1593,0.3949,0.5662
112,1306.4757,1.102,1.1083,0.1479,5.8425,0.7484,0.8561
113,1306.5154,1.1022,1.1085,1.1649,9.8693,0.7497,0.8569
114,1314.3598,3.0992,3.1545,31.2662,157.9748,0.2332,0.3782
115,1324.0601,4.4723,4.6195,3.1527,66.5085,0.2129,0.351
116,1336.9303,3.1301,3.2963,1417.8085,16.4994,0.7495,0.8568
117,1376.9426,2.6704,2.983,10.3643,185.4686,0.0997,0.1814
118,1389.924,1.6737,1.9051,19.7254,298.0628,0.2504,0.4005
119,1391.328,2.1537,2.4564,89.6801,0.7106,0.6742,0.8054
120,1398.9382,1.2992,1.4981,8.1646,2.8348,0.5406,0.7018
121,1402.709,1.8896,2.1905,35.056,2.7682,0.7373,0.8488
122,1418.6935,1.3129,1.5569,0.2694,58.9823,0.3901,0.5612
123,1419.7137,1.2711,1.5095,6.3157,14.3733,0.6801,0.8096
124,1424.6768,1.2783,1.5287,8.1717,9.7765,0.4137,0.5853
125,1425.3892,1.2922,1.5469,7.4899,0.7592,0.7353,0.8474
126,1426.2707,1.3746,1.6476,1.8659,3.984,0.7316,0.845
127,1444.6598,3.7107,4.5628,168.0663,88.9299,0.6415,0.7816
128,1463.2219,2.1256,2.6813,45.3974,1.5077,0.6952,0.8202
129,1470.8469,2.2313,2.844,7.674,15.4551,0.6813,0.8105
130,1486.2359,1.7203,2.2389,132.7753,32.0698,0.7495,0.8568
131,1487.9705,1.042,1.3592,7.222,8.3412,0.7499,0.8571
132,1488.0928,1.0424,1.36,8.9679,9.1277,0.7487,0.8563
133,1488.7512,1.0399,1.358,6.4936,4.1926,0.681,0.8102
134,1497.3667,1.055,1.3937,9.8655,5.2096,0.6941,0.8194
135,1497.8455,1.0367,1.3704,10.4571,14.6614,0.7494,0.8567
136,1497.9042,1.0367,1.3705,14.2318,13.2205,0.75,0.8571
137,1501.7264,1.0632,1.4127,8.8783,17.379,0.7406,0.8509
138,1501.7655,1.0522,1.3982,29.3551,8.4004,0.6853,0.8132
139,1502.6848,1.5293,2.0346,93.7799,0.6598,0.7451,0.8539
140,1508.2283,1.4327,1.9201,8.4134,106.1469,0.4833,0.6517
141,1514.3304,1.9361,2.6159,12.8337,20.697,0.0985,0.1793
142,1517.8374,1.158,1.5718,25.47,3.3815,0.7216,0.8383
143,1519.7104,1.349,1.8356,427.4859,1.1697,0.7223,0.8388
144,1523.205,1.1351,1.5517,0.2708,16.1247,0.5049,0.671
145,1528.7528,3.5244,4.853,66.9793,619.3364,0.2074,0.3435
146,1531.4747,2.2605,3.1237,363.6238,3.4946,0.39,0.5611
147,1556.8725,6.465,9.2327,352.123,93.1194,0.75,0.8571
148,1580.6308,4.3013,6.3316,85.377,44.2794,0.0981,0.1787
149,1585.4909,2.8586,4.2338,461.5824,6.1879,0.75,0.8571
150,1595.6755,3.4559,5.1845,207.9168,97.5822,0.6372,0.7784
151,1605.3092,6.0618,9.2039,3.78,25.2573,0.1452,0.2536
152,1632.4611,5.5164,8.6615,12.4808,104.2445,0.6723,0.804
153,1647.0336,5.9289,9.4761,1059.2528,86.9938,0.75,0.8571
154,1684.8735,6.9958,11.701,256.6488,47.4618,0.1861,0.3138
155,1769.0749,12.376,22.8204,302.657,66.1096,0.0537,0.102
156,3011.1334,1.0572,5.6477,4.9914,102.0405,0.3642,0.5339
157,3011.404,1.0572,5.6485,33.5071,315.9243,0.0268,0.0522
158,3012.7056,1.0411,5.5674,28.9066,383.1492,0.1332,0.2352
159,3013.024,1.0411,5.5687,17.4663,562.1648,0.1252,0.2225
160,3035.1947,1.0369,5.6278,19.7025,172.5045,0.0322,0.0624
161,3035.3509,1.0368,5.6282,14.6434,222.7545,0.0255,0.0498
162,3037.7806,1.0352,5.6286,9.7715,134.5158,0.0459,0.0877
163,3039.6124,1.1068,6.0247,9.7245,44.2919,0.7491,0.8566
164,3039.7993,1.1067,6.025,12.8352,58.4055,0.7498,0.857
165,3057.7775,1.1005,6.0624,8.6789,116.5336,0.7497,0.857
166,3058.3156,1.1005,6.0647,8.4697,111.4364,0.7486,0.8562
167,3062.1113,1.0584,5.8473,10.9518,84.3009,0.0639,0.1202
168,3094.5174,1.1056,6.2378,1.1889,61.831,0.7377,0.849
169,3100.1707,1.1038,6.2507,20.3457,73.2131,0.7495,0.8568
170,3100.3903,1.1038,6.2516,23.1605,63.0106,0.7494,0.8568
171,3106.5771,1.1006,6.2579,22.0914,85.9719,0.4295,0.6009
172,3117.0151,1.1001,6.2973,3.1539,109.1731,0.659,0.7944
173,3117.046,1.1001,6.2975,20.7367,191.9773,0.4537,0.6242
174,3119.4344,1.1073,6.3484,22.7226,6.401,0.6896,0.8163
175,3120.6889,1.0963,6.2904,5.743,58.7529,0.7183,0.836
176,3121.6365,1.0963,6.2942,5.1175,56.5437,0.7223,0.8388
177,3172.8994,1.0876,6.4509,1.0151,33.4261,0.7261,0.8413
178,3184.4903,1.0905,6.5158,3.5166,82.9237,0.7216,0.8383
179,3194.3945,1.0906,6.557,3.2944,35.5159,0.3938,0.5651
180,3195.131,1.0944,6.5824,2.7446,169.2692,0.2745,0.4308
181,3195.7223,1.0908,6.5634,3.159,90.5759,0.2451,0.3937
182,3206.0839,1.0953,6.6334,3.1937,239.8927,0.1424,0.2493
183,3220.8393,1.0909,6.6676,1.5879,41.661,0.323,0.4883
184,3221.2391,1.091,6.67,0.3044,142.665,0.1639,0.2817
185,3631.3332,1.0768,8.3664,336.2034,65.9531,0.5889,0.7413
186,3632.0322,1.077,8.3707,9.3655,634.4647,0.2088,0.3455
