scale_factor,n_matched,rmse_cm1,mae_cm1
0.94,32,5.655809431287107,4.65626893425755
0.941,32,5.813441684055834,4.85298565057498
0.942,33,6.030113390265668,4.775359544923329
0.943,32,5.8731664861805815,4.581952433290136
0.944,32,5.727481440200647,4.504338108246267
0.945,32,5.681614480747252,4.418379308107713
0.946,32,6.028108437875571,4.7294419409440245
0.947,32,6.122791891748648,4.890088475774325
0.948,31,5.600753996500268,4.531950187902302
0.949,32,5.836355720005427,4.519737544029676
0.95,32,5.491769478218236,4.251074749105992
0.951,31,5.274907492504584,4.138970552168953
0.952,31,5.112776145289148,4.011710215733973
0.953,32,5.589944997365261,4.536987105856281
0.954,32,5.287511287082932,4.442950054788159
0.955,31,5.203842845040972,4.4666712165393925
0.956,31,5.0696001520456395,4.333460822119977
0.957,31,4.978816587245966,4.187462937439983
0.958,31,4.871930032609091,4.025722517278381
0.959,31,5.01942240152835,3.9605334234859275
0.96,32,5.759870517491463,4.40550343219286
0.961,31,5.693962020592022,4.376692126246305
0.962,32,6.029039575602592,4.546968561982101
0.963,32,5.889839147165802,4.386855261211847
0.964,32,5.901253251361474,4.4512701860789115
0.965,32,5.656341752224651,4.259859320969983
0.966,32,5.477519526235058,4.151537752044481
0.967,31,4.61942028806357,3.647507293130383
0.968,32,5.570879043879885,4.2571272008550425
0.969,33,5.785168149246282,4.318124801670416
0.97,33,6.079689053491061,4.509418617841982
0.971,33,5.8996488052855,4.470828930717069
0.972,33,5.809506599625199,4.392353853619438
0.973,31,5.796430363816985,4.540274839350542
0.974,31,5.392253188959516,4.32425671493552
0.975,31,5.142593205437517,4.191963413343833
0.976,32,5.60175602820861,4.490827003003713
0.977,32,5.427616580824895,4.305924037384156
0.978,32,5.85402268973886,4.606528330740591
0.979,33,5.895801835156702,4.519758430676102
0.98,33,5.387137756863533,4.107550977978815
0.981,32,5.076011233218651,3.9241403886027246
0.982,33,5.417538209837406,4.1040044705151875
0.983,33,5.134262635351941,3.9079165812463423
0.984,32,5.033111577781082,3.8566872016112326
0.985,33,5.488288836317626,4.098134526910357
0.986,33,5.263600471465144,3.9179718433228348
0.987,33,5.028579441570789,3.657517521940771
0.988,32,5.006499212209085,3.80794848118847
0.989,33,5.439258641934527,4.13388086550579
0.99,33,5.437871060124145,4.201359714748527
0.991,33,6.02365972236053,4.7206281431778025
0.992,33,5.868209445059621,4.620730668535982
0.993,33,5.852857464433408,4.661078836511732
0.994,33,5.963524127590101,4.825292356458571
0.995,34,6.536165717968216,5.340408835713979
0.996,33,6.744005406396126,5.530683464162275
0.997,32,6.534248067554172,5.369203159440989
0.998,33,7.16899669992291,5.922324746746872
0.999,32,6.851901795906821,5.674002517037951
1.0,33,7.120819488809682,5.836519306728122
