fwhm_cm1,rmse,cosine_similarity,correlation,aic,bic
1.0,0.30767989484886055,0.10045198514929017,0.011041624103846102,-1648.1734744552389,-1643.6223941201954
2.0,0.30483354007800384,0.15812567430857077,0.01478581095847529,-1661.1851902365904,-1656.634109901547
3.0,0.3023456822780628,0.20259524420613131,0.019575867746499075,-1672.6579820699303,-1668.1069017348868
4.0,0.30018104428693476,0.2344197626995349,0.02340329645329079,-1682.7173075472488,-1678.1662272122053
5.0,0.2981055538515027,0.26088429464389234,0.027028528918751033,-1692.4307066932574,-1687.879626358214
6.0,0.2960689662212232,0.2842034078024911,0.030661220472937952,-1702.0280009288792,-1697.4769205938358
7.0,0.29408085676442386,0.30501748232632037,0.03433792215282628,-1711.4607370259487,-1706.9096566909052
8.0,0.2921623843929968,0.3236176746143627,0.03805791748205062,-1720.623728491844,-1716.0726481568006
9.0,0.29033156703513163,0.3402485506365506,0.0418191806896136,-1729.4243443097382,-1724.8732639746947
10.0,0.28859739800670964,0.35518495276964906,0.045630488981890704,-1737.811708038288,-1733.2606277032446
11.0,0.28696101679878144,0.36870848035749654,0.049509740173726995,-1745.7724633847022,-1741.2213830496587
12.0,0.28541900014663085,0.38107308964494097,0.05347788596634388,-1753.3158033754107,-1748.7647230403672
13.0,0.2839659954514909,0.3924887635218446,0.057553513753872555,-1760.4610952415514,-1755.910014906508
14.0,0.28259608725868335,0.40312114104724295,0.0617496852992219,-1767.2313160735287,-1762.6802357384852
15.0,0.28130317393972176,0.41309910347756224,0.06607308637061836,-1773.651192611598,-1769.1001122765545
16.0,0.2800808676259581,0.4225240465257272,0.07052479879125981,-1779.747666386056,-1775.1965860510124
17.0,0.27892233262528837,0.4314775901820216,0.0751017935774353,-1785.5506790430388,-1780.9995987079953
18.0,0.2778202670589644,0.44002686402786456,0.07979841221194377,-1791.0932540460751,-1786.5421737110316
19.0,0.2767670644173001,0.4482277381012181,0.08460742665985375,-1796.4106689497876,-1791.859588614744
20.0,0.27575510691630273,0.45612670669553146,0.0895205695899646,-1801.5389412944874,-1796.9878609594439
21.0,0.2747771175922172,0.46376203795990134,0.09452862365050806,-1806.5129879825406,-1801.9619076474971
22.0,0.27382650328270003,0.47116459566698304,0.09962124440019296,-1811.3648019869709,-1806.8137216519274
23.0,0.2728976384019866,0.4783585584235378,0.10478669405198951,-1816.121907024247,-1811.5708266892036
24.0,0.2719860608349305,0.4853621383197679,0.11001162053948206,-1820.8062453015955,-1816.255164966552
25.0,0.27108857114796386,0.49218832869604934,0.11528096027091357,-1825.4335529739724,-1820.882472638929
26.0,0.27020324151905034,0.4988456740143203,0.1205779927945365,-1830.0131995037045,-1825.462119168661
27.0,0.2693293501645036,0.5053390400396395,0.1258845396513578,-1834.548417524365,-1829.9973371893216
28.0,0.26845472963697115,0.5116703597724963,0.13118127866369336,-1839.1021775336494,-1834.551097198606
29.0,0.2675724736520176,0.5178393335327304,0.1364481359451012,-1843.7107477208447,-1839.1596673858012
30.0,0.2667077085400515,0.5238440667035603,0.14166471723288387,-1848.2427227194364,-1843.691642384393
31.0,0.26586302481202534,0.5296816340907354,0.14681074436196023,-1852.6836660036852,-1848.1325856686417
32.0,0.2650413638447789,0.5353485648446773,0.15186646929909103,-1857.017125274947,-1852.4660449399034
33.0,0.26424588994404447,0.5408412461547959,0.156813045465511,-1861.2252912247395,-1856.674210889696
34.0,0.2634798738225062,0.5461562474037608,0.16163284308651943,-1865.2896117373073,-1860.7385314022638
35.0,0.26274659039568604,0.5512905691959832,0.16630970147701077,-1869.1913442871771,-1864.6402639521336
36.0,0.2620492323867128,0.5562418237004031,0.1708291162622744,-1872.9120362013152,-1868.3609558662718
37.0,0.2613908400801935,0.5610083541268285,0.1751783634874982,-1876.433928252434,-1871.8828479173906
