fwhm_cm1,rmse,cosine_similarity,correlation,aic,bic
1.0,0.30525947530416053,0.14997879528702696,0.016484002116941128,-1659.2303754838651,-1654.6792951488217
2.0,0.30108356737563247,0.22668523246155353,0.026500708658840418,-1678.514388404378,-1673.9633080693345
3.0,0.29709914487691624,0.2842792394971581,0.03623353924832091,-1697.165124651284,-1692.6140443162406
4.0,0.2933443385136012,0.32653275744149435,0.04518033510917796,-1714.9714005104643,-1710.4203201754208
5.0,0.2897900672203351,0.3595246394323187,0.053474638706838926,-1732.0379339989452,-1727.4868536639017
6.0,0.28641410595452993,0.38665599297789194,0.0612800066273715,-1748.4432294635799,-1743.8921491285364
7.0,0.2832104936233181,0.40967332300344644,0.06867965623241695,-1764.1908097321482,-1759.6397293971047
8.0,0.2801795319569908,0.4295829743919926,0.0757118069046679,-1779.254574013379,-1774.7034936783355
9.0,0.27732185752021876,0.44704678103106144,0.08239864617331151,-1793.6071095466066,-1789.056029211563
10.0,0.27463662509496606,0.46253841831305725,0.08875759697213068,-1807.2289857276157,-1802.6779053925723
11.0,0.27212140682958785,0.4764121470951833,0.0948044730120226,-1820.1097490846191,-1815.5586687495756
12.0,0.26977255395479516,0.48893924625046736,0.1005540534261324,-1832.2464948583279,-1827.6954145232844
13.0,0.26758558333909693,0.5003306909844107,0.10602007767194688,-1843.642156538576,-1839.0910762035326
14.0,0.2655554819517244,0.5107526589284153,0.11121521771009085,-1854.3040839869077,-1849.7530036518642
15.0,0.2636769258041209,0.520337616905052,0.11615112466257438,-1864.2429675991498,-1859.6918872641063
16.0,0.26194443308631626,0.5291924126100496,0.12083853161074357,-1873.4720392402028,-1868.9209589051593
17.0,0.2603524709975992,0.5374042449246564,0.12528738002986733,-1882.0064717008872,-1877.4553913658438
18.0,0.2588955307444379,0.5450451026969568,0.1295069465380812,-1889.8629167923439,-1885.3118364573004
19.0,0.25756818048367985,0.5521750877826248,0.13350595730921333,-1897.0591414880537,-1892.5080611530102
20.0,0.25636510261051165,0.5588449206219327,0.13729268501692515,-1903.6137358467986,-1899.062655511755
21.0,0.2552811195905318,0.5650978438537196,0.14087502756784792,-1909.545875800919,-1904.9947954658755
22.0,0.2543112111705728,0.5709710802364406,0.14426057009050927,-1914.87512958139,-1910.3240492463465
23.0,0.2534505249728573,0.5764969585545574,0.14745663253978272,-1919.6212998619515,-1915.070219526908
24.0,0.252694381968144,0.5817037905166329,0.15047030545317347,-1923.8042955994001,-1919.2532152643566
25.0,0.2520382779986042,0.5866165595398547,0.15330847622395116,-1927.4440286604138,-1922.8929483253703
26.0,0.25147788229817064,0.5912574663451114,0.15597784794542832,-1930.5603310411936,-1926.0092507061502
27.0,0.25100903379084416,0.5956463647161457,0.15848495253961062,-1933.1728890192142,-1928.6218086841707
28.0,0.25062773581159514,0.5998011123576026,0.16083615956346356,-1935.30119103415,-1930.7501106991065
29.0,0.25033014977823614,0.6037378556287405,0.16303768180729455,-1936.9644865234193,-1932.4134061883758
30.0,0.25011258824073673,0.6074712623972893,0.16509557856651755,-1938.1817533495644,-1933.6306730145209
31.0,0.24997150764488169,0.6110147138995903,0.167015757277351,-1938.9716718495204,-1934.4205915144769
32.0,0.2499035010691973,0.61438046398681,0.1688039740531052,-1939.352603902077,-1934.8015235670334
33.0,0.24990529112726972,0.6175797722527921,0.1704658335344493,-1939.3425757419463,-1934.7914954069029
34.0,0.2499737231714841,0.6206230161121628,0.17200678836871638,-1938.9592635413608,-1934.4081832063173
35.0,0.2501057588881059,0.6235197858088762,0.17343213855505704,-1938.219981030491,-1933.6689006954475
36.0,0.2502984703366305,0.6262789654994194,0.17474703083012064,-1937.1416686361679,-1932.5905883011244
37.0,0.25054903445739085,0.6289088029085691,0.17595645821971131,-1935.7408837865996,-1931.1898034515561
38.0,0.2508547280494623,0.6314169695528112,0.17706525984301097,-1934.0337921613327,-1929.4827118262892
39.0,0.2512129232048417,0.6338106131330927,0.17807812102544926,-1932.0361597651365,-1927.485079430093
40.0,0.2516195543047576,0.6360964033890942,0.17899957375251596,-1929.7718523091069,-1925.2207719740634
41.0,0.25204141324032775,0.6382805724624698,0.17983399747846898,-1927.4266134044954,-1922.8755330694519
42.0,0.2525093639460805,0.6403689506221146,0.18058562028994377,-1924.8297244271314,-1920.278644092088
43.0,0.25302120100785186,0.6423669980494005,0.18125852041406806,-1921.9947934417048,-1917.4437131066613
44.0,0.253574777362386,0.6442798332570436,0.18185662805314246,-1918.9351276018242,-1914.3840472667807
45.0,0.2541680043596295,0.6461122586153117,0.18238372752268925,-1915.6637145795498,-1911.1126342445064
46.0,0.25479885178568296,0.6478687833785437,0.18284345966624185,-1912.193206281869,-1907.6421259468254
47.0,0.25546534783142016,0.6495536445395704,0.1832393245182436,-1908.5359048471057,-1903.9848245120622
48.0,0.2561655789947821,0.651170825786393,0.18357468418556017,-1904.703750888463,-1900.1526705534195
49.0,0.2568976899076834,0.6527240747920563,0.18385276591809074,-1900.7083139283666,-1896.157233593323
50.0,0.25765988308120563,0.654216919033069,0.18407666533960887,-1896.560784946667,-1892.0097046116234
51.0,0.25845041856524703,0.6556526803024503,0.18424934981107863,-1892.2719709483185,-1887.720890613275
52.0,0.2592676135210008,0.6570344880593386,0.18437366190015703,-1887.8522914420535,-1883.30121110701
53.0,0.2601098417065367,0.6583652917370681,0.18445232293226943,-1883.3117767106946,-1878.7606963756512
54.0,0.26097553287736797,0.6596478721149731,0.18448793660048016,-1878.660067745954,-1874.1089874109105
55.0,0.2618631721051934,0.6608848518452602,0.18448299261326234,-1873.9064177156476,-1869.3553373806042
56.0,0.2627712990190607,0.6620787052146145,0.18443987036118945,-1869.059694828817,-1864.5086144937736
57.0,0.26369850697399755,0.6632317672103748,0.1843608425854412,-1864.1283864640934,-1859.57730612905
58.0,0.2646434421527459,0.6643462419527597,0.18424807903284746,-1859.1206044283572,-1854.5695240933137
59.0,0.2656048026066337,0.665424210547588,0.18410365008393173,-1854.0440912160673,-1849.4930108810238
60.0,0.26658133724185573,0.6664676384078295,0.18392953034207304,-1848.9062271442317,-1844.3551468091882
