sigma,gamma,rmse,cosine_similarity,correlation,aic,bic
1.0,1.0,0.2977246446834003,0.2717443004372291,0.032295198640423524,-1692.2207230747804,-1683.1185624046936
1.0,2.5555555555555554,0.28778927350651035,0.3728933280984685,0.05663049068570366,-1739.737458224854,-1730.6352975547672
1.0,4.111111111111111,0.27862722674253343,0.43782975314888795,0.07860379602953108,-1785.03269357429,-1775.9305329042033
1.0,5.666666666666667,0.27080535212782914,0.4829053784774532,0.09772675712295457,-1824.8969636056875,-1815.7948029356007
1.0,7.222222222222222,0.26441481886059803,0.5164259332430304,0.11418480107177445,-1858.3305756263017,-1849.228414956215
1.0,8.777777777777779,0.25937853864972665,0.5425969267404466,0.12825575448003518,-1885.2534431446775,-1876.1512824745907
1.0,10.333333333333334,0.255568730787361,0.5636899100388502,0.1401933828908355,-1905.9694606652115,-1896.8672999951248
1.0,11.88888888888889,0.25284856691335755,0.5810485162520276,0.15022428765408252,-1920.9503268892458,-1911.848166219159
1.0,13.444444444444445,0.25108753072063017,0.5955395576255433,0.1585562137540759,-1930.7351417396537,-1921.632981069567
1.0,15.0,0.25016647888496163,0.6077636997716043,0.16538249689869913,-1935.8801340847801,-1926.7779734146934
2.5555555555555554,1.0,0.29087240865679725,0.3380607580390409,0.04410038292080612,-1724.8187926598716,-1715.716631989785
2.5555555555555554,2.5555555555555554,0.2828189331464172,0.40469310009782083,0.06515116301169888,-1764.127757633365,-1755.0255969632783
2.5555555555555554,4.111111111111111,0.27530787252317607,0.45461131751336187,0.08486289493421564,-1801.8113795137447,-1792.709218843658
2.5555555555555554,5.666666666666667,0.26870677820216143,0.4927808293498517,0.10253123416381846,-1835.7883528756508,-1826.686192205564
2.5555555555555554,7.222222222222222,0.2631666158945821,0.522826400145057,0.11802087134714717,-1864.9550976348828,-1855.852936964796
2.5555555555555554,8.777777777777779,0.25871035312925633,0.5470637246883097,0.1314001030530982,-1888.864639069434,-1879.7624783993472
2.5555555555555554,10.333333333333334,0.2552927862453364,0.5669769162027439,0.14280997985454263,-1907.4818955757542,-1898.3797349056674
2.5555555555555554,11.88888888888889,0.2528366975702538,0.5835585231386914,0.15241827284917936,-1921.0160479276685,-1911.9138872575818
2.5555555555555554,13.444444444444445,0.25125288308722776,0.5975060554925348,0.16040097634820766,-1929.8134825809068,-1920.71132191082
