path,condition,sample_id,n_pixels,n_missing_values,n_duplicate_pixels,n_negative_raw_counts,raman_shift_monotonic,uniform_pixel_spacing,mean_spectral_resolution_cm1,n_saturated_pixels,laser_wavelength_nm,integration_time_s,accumulations,passes_qc,snr_estimate,dynamic_range_counts,n_duplicate_raman_shift
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_10.csv,3m-10ml-hf-5s-10p-5ac,SP_10,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,157.67240476190517,2073.2,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_11.csv,3m-10ml-hf-5s-10p-5ac,SP_11,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,108.64956122448906,1675.2000000000003,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_12.csv,3m-10ml-hf-5s-10p-5ac,SP_12,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,100.66287962963005,1764.6,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_13.csv,3m-10ml-hf-5s-10p-5ac,SP_13,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,95.01192156862705,1542.2000000000003,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_14.csv,3m-10ml-hf-5s-10p-5ac,SP_14,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,141.91783146067456,2032.2,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_15.csv,3m-10ml-hf-5s-10p-5ac,SP_15,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,131.42732673267446,2085.2,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_16.csv,3m-10ml-hf-5s-10p-5ac,SP_16,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,128.20950505050533,1983.1999999999998,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_17.csv,3m-10ml-hf-5s-10p-5ac,SP_17,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,100.94098979591884,1566.8000000000002,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_18.csv,3m-10ml-hf-5s-10p-5ac,SP_18,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,59.00237864077695,1006.0,0
G:\r6g\data_raw\3m-10ml-hf-5s-10p-5ac\SP_19.csv,3m-10ml-hf-5s-10p-5ac,SP_19,2048,0,0,0,True,True,1.4108896546541336,0,784.92,5.0,5,True,75.7172660550468,1354.0,0
