File Version,BWRam4.15_8
Date,2026-06-11 08:06:18
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
title,BWS465-785H
model,BTC665N-785H-SYS
c code,ZSSL
operator,
pixel_start,0
pixel_end,2047
pixel_num,2048
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),5
integration times unit,2
time_multiply,1
average number,3
spectrometer_type,72
yaxis,0
yaxis_min,0
yaxis_max,65535
xaxis,1
xaxis_min,0
xaxis_max,2047
coefs_a0,782.085798608048
coefs_a1,0.12281844245306
coefs_a2,-4.27130710519257E-06
coefs_a3,-6.19750623094309E-10
coefs_b0,-8914.54823242072
coefs_b1,19.2326352542194
coefs_b2,-0.0159067122090297
coefs_b3,7.53004431538809E-06
laser_wavelength,784.92
laser_powerlevel,5
probe_index,0
probe_name,
dark_compensate,0
gain,46261
offset,2048
numcoeff_d,0
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,0
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,782.085798608048,12786.3209098004,-46.169047190162,1180.33333333333,65535,1172.66666666667,-7.66666666666652,0,0,0,1,1,1,
1,782.208612778574,12784.3133361545,-44.161473544249,1196.33333333333,65535,1184.33333333333,-12,0,0,0,1,1,1,
2,782.331418402768,12782.306532462,-42.1546698518468,1183.33333333333,65535,1177,-6.33333333333326,0,0,0,1,1,1,
3,782.45421547691,12780.3004983556,-40.1486357454087,1187,65535,1208,21,0,0,0,1,1,1,
4,782.577003997282,12778.2952334678,-38.1433708576169,1169.33333333333,65535,1188.66666666667,19.3333333333335,0,0,0,1,1,1,
5,782.699783960167,12776.2907374316,-36.1388748214067,1290.33333333333,65535,1294,3.66666666666674,0,0,0,1,1,1,
6,782.822555361844,12774.2870098802,-34.1351472699553,1177,65535,1190.33333333333,13.3333333333333,0,0,0,1,1,1,
7,782.945318198597,12772.2840504469,-32.1321878366853,1163,65535,1167,4,0,0,0,1,1,1,
8,783.068072466705,12770.2818587655,-30.1299961552522,1155,65535,1162.33333333333,7.33333333333326,0,0,0,1,1,1,
9,783.190818162452,12768.2804344698,-28.1285718595627,1165.66666666667,65535,1161,-4.66666666666674,0,0,0,1,1,1,
10,783.313555282117,12766.279777194,-26.127914583758,1192.33333333333,65535,1186,-6.33333333333326,0,0,0,1,1,1,
11,783.436283821984,12764.2798865724,-24.1280239622283,1194.66666666667,65535,1184.66666666667,-10,0,0,0,1,1,1,
12,783.559003778332,12762.2807622398,-22.1288996296043,1189.66666666667,65535,1191.66666666667,2,0,0,0,1,1,1,
13,783.681715147445,12760.2824038309,-20.1305412207475,1166,65535,1167.33333333333,1.33333333333326,0,0,0,1,1,1,
14,783.804417925602,12758.284810981,-18.1329483707741,1177.66666666667,65535,1201.66666666667,24,0,0,0,1,1,1,
15,783.927112109087,12756.2879833252,-16.136120715033,1194.66666666667,65535,1212.66666666667,18,0,0,0,1,1,1,
16,784.049797694179,12754.2919204993,-14.1400578891189,1182,65535,1217.33333333333,35.3333333333333,0,0,0,1,1,1,
17,784.172474677162,12752.2966221391,-12.1447595288591,1192,65535,1267,75,0,0,0,1,1,1,
18,784.295143054315,12750.3020878805,-10.1502252703322,1209.33333333333,65535,1289.66666666667,80.3333333333335,0,0,0,1,1,1,
19,784.417802821922,12748.30831736,-8.1564547498474,1186.33333333333,65535,1350,163.666666666667,0,0,0,1,1,1,
20,784.540453976262,12746.3153102142,-6.16344760395987,1204,65535,1561.66666666667,357.666666666667,0,0,0,1,1,1,
21,784.663096513618,12744.3230660797,-4.17120346946103,1204.33333333333,65535,1763,558.666666666667,0,0,0,1,1,1,
22,784.785730430272,12742.3315845936,-2.1797219833843,1208.33333333333,65535,1822.66666666667,614.333333333333,0,0,0,1,1,1,
23,784.908355722504,12740.3408653932,-0.189002782999523,1193.33333333333,65535,1502,308.666666666667,0,0,0,1,1,1,
24,785.030972386596,12738.350908116,1.80095449418513,1185.33333333333,65535,1319.66666666667,134.333333333333,0,0,0,1,1,1,
25,785.15358041883,12736.3617123998,3.7901502104105,1153.33333333333,65535,1219.66666666667,66.3333333333335,0,0,0,1,1,1,
26,785.276179815487,12734.3732778825,5.77858472769731,1140,65535,1226.66666666667,86.6666666666667,0,0,0,1,1,1,
27,785.398770572849,12732.3856042024,7.76625840781526,1190,65535,1232,42,0,0,0,1,1,1,
28,785.521352687198,12730.3986909979,9.75317161230305,1170.66666666667,65535,1185.33333333333,14.6666666666665,0,0,0,1,1,1,
29,785.643926154813,12728.4125379078,11.7393247024465,1167.33333333333,65535,1184.66666666667,17.3333333333335,0,0,0,1,1,1,
30,785.766490971978,12726.4271445709,13.7247180393133,1180.33333333333,65535,1156.33333333333,-24,0,0,0,1,1,1,
31,785.889047134974,12724.4425106265,15.7093519837217,1188.66666666667,65535,1186,-2.66666666666674,0,0,0,1,1,1,
32,786.011594640082,12722.4586357139,17.6932268962537,1204.66666666667,65535,1194.66666666667,-10,0,0,0,1,1,1,
