filepath,filename,sec,power,replicate,snr,fwhm,max_intensity,score,n_peaks
.\Int_20sec_Power5-80_Ta_2\good peaks\sec-20_power-40_i-2_2.xlsx,sec-20_power-40_i-2_2.xlsx,20,40,2,139.03236591977654,9.134061214027643,1.0,69.74902705770747,14
.\All_Excel_Files\sec-20_power-40_i-2_2.xlsx,sec-20_power-40_i-2_2.xlsx,20,40,2,139.03236591977654,9.134061214027643,1.0,69.74902705770747,14
.\All_Excel_Files\sec-20_power-30_i-2_1.xlsx,sec-20_power-30_i-2_1.xlsx,20,30,1,109.3402765424284,9.147405239125945,1.0,54.902934456816304,13
.\Int_20sec_Power5-80_Ta_2\good peaks\sec-20_power-30_i-2.xlsx,sec-20_power-30_i-2.xlsx,20,30,1,109.3402765424284,9.147405239125945,1.0,54.902934456816304,13
.\Int_20sec_Power5-80_Ta_2\good peaks\sec-20_power-20_i-2_2.xlsx,sec-20_power-20_i-2_2.xlsx,20,20,2,102.43051167497681,9.147945017398367,1.0,51.448050087938036,15
.\All_Excel_Files\sec-20_power-20_i-2_2_1.xlsx,sec-20_power-20_i-2_2_1.xlsx,20,20,2,102.43051167497681,9.147945017398367,1.0,51.448050087938036,15
.\All_Excel_Files\sec-20_power-20_i-2_1.xlsx,sec-20_power-20_i-2_1.xlsx,20,20,1,91.09793429459823,9.172613541154648,1.0,45.781673201975245,15
.\Int_20sec_Power5-80_Ta_2\good peaks\sec-20_power-20_i-2.xlsx,sec-20_power-20_i-2.xlsx,20,20,1,91.09793429459823,9.172613541154648,1.0,45.781673201975245,15
.\Int_10sec_Power5-80_Ta_2\good peak\sec-10_power-20_i-2.xlsx,sec-10_power-20_i-2.xlsx,10,20,1,75.94954328186695,9.56048350381714,1.0,38.20615080704785,31
.\All_Excel_Files\sec-10_power-20_i-2_1.xlsx,sec-10_power-20_i-2_1.xlsx,10,20,1,75.94954328186695,9.56048350381714,1.0,38.20615080704785,31
.\Int_25sec_Power5-80_Ta_2\good peak\sec-25_power-40_i-2.xlsx,sec-25_power-40_i-2.xlsx,25,40,1,72.6041513009099,9.474579757068753,1.0,36.53373932395733,24
.\All_Excel_Files\sec-25_power-40_i-2_1.xlsx,sec-25_power-40_i-2_1.xlsx,25,40,1,72.6041513009099,9.474579757068753,1.0,36.53373932395733,24
