File Version,BWRam4.15_8
Date,2026-04-13 13:28:32
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
title,BWS465-785H
model,BTC665N-785H-SYS
c code,ZSSL
operator,
pixel_start,0
pixel_end,2047
pixel_num,2048
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),60
integration times unit,2
time_multiply,1
average number,30
spectrometer_type,72
yaxis,0
yaxis_min,0
yaxis_max,65535
xaxis,1
xaxis_min,54
xaxis_max,2047
coefs_a0,782.085798608048
coefs_a1,0.12281844245306
coefs_a2,-4.27130710519257E-06
coefs_a3,-6.19750623094309E-10
coefs_b0,-8914.54823242072
coefs_b1,19.2326352542194
coefs_b2,-0.0159067122090297
coefs_b3,7.53004431538809E-06
laser_wavelength,784.92
laser_powerlevel,10
probe_index,0
probe_name,
dark_compensate,0
gain,46261
offset,2048
numcoeff_d,0
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,0
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,782.085798608048,12786.3209098004,-46.169047190162,2136.3,65535,2147.83333333333,11.5333333333333,0,0,0,1,1,1,
1,782.208612778574,12784.3133361545,-44.161473544249,2245,65535,2273.06666666667,28.0666666666666,0,0,0,1,1,1,
2,782.331418402768,12782.306532462,-42.1546698518468,2071.6,65535,2094.8,23.2000000000003,0,0,0,1,1,1,
3,782.45421547691,12780.3004983556,-40.1486357454087,2268.1,65535,2283.93333333333,15.8333333333335,0,0,0,1,1,1,
4,782.577003997282,12778.2952334678,-38.1433708576169,2063.03333333333,65535,2087.4,24.3666666666668,0,0,0,1,1,1,
5,782.699783960167,12776.2907374316,-36.1388748214067,2955.06666666667,65535,2991.76666666667,36.7000000000003,0,0,0,1,1,1,
6,782.822555361844,12774.2870098802,-34.1351472699553,2031.83333333333,65535,2066.23333333333,34.3999999999999,0,0,0,1,1,1,
7,782.945318198597,12772.2840504469,-32.1321878366853,1798.53333333333,65535,1832.7,34.1666666666667,0,0,0,1,1,1,
8,783.068072466705,12770.2818587655,-30.1299961552522,1743.86666666667,65535,1784.06666666667,40.2,0,0,0,1,1,1,
9,783.190818162452,12768.2804344698,-28.1285718595627,1901.83333333333,65535,1953,51.1666666666667,0,0,0,1,1,1,
10,783.313555282117,12766.279777194,-26.127914583758,2154.93333333333,65535,2208.93333333333,54,0,0,0,1,1,1,
11,783.436283821984,12764.2798865724,-24.1280239622283,2070.6,65535,2129.63333333333,59.0333333333333,0,0,0,1,1,1,
12,783.559003778332,12762.2807622398,-22.1288996296043,2207,65535,2280.4,73.4000000000001,0,0,0,1,1,1,
13,783.681715147445,12760.2824038309,-20.1305412207475,1932.2,65535,2046.26666666667,114.066666666667,0,0,0,1,1,1,
14,783.804417925602,12758.284810981,-18.1329483707741,2192.96666666667,65535,2346.13333333333,153.166666666667,0,0,0,1,1,1,
15,783.927112109087,12756.2879833252,-16.136120715033,2164.56666666667,65535,2390.16666666667,225.6,0,0,0,1,1,1,
16,784.049797694179,12754.2919204993,-14.1400578891189,2151.66666666667,65535,2802.36666666667,650.7,0,0,0,1,1,1,
17,784.172474677162,12752.2966221391,-12.1447595288591,2169.16666666667,65535,4409.96666666667,2240.8,0,0,0,1,1,1,
18,784.295143054315,12750.3020878805,-10.1502252703322,2149.33333333333,65535,5858.23333333333,3708.9,0,0,0,1,1,1,
19,784.417802821922,12748.30831736,-8.1564547498474,2073.06666666667,65535,7186.06666666667,5113,0,0,0,1,1,1,
20,784.540453976262,12746.3153102142,-6.16344760395987,2348.06666666667,65535,12116.9,9768.83333333333,0,0,0,1,1,1,
21,784.663096513618,12744.3230660797,-4.17120346946103,2337.8,65535,19016.1666666667,16678.3666666667,0,0,0,1,1,1,
22,784.785730430272,12742.3315845936,-2.1797219833843,2275.5,65535,21942.7,19667.2,0,0,0,1,1,1,
23,784.908355722504,12740.3408653932,-0.189002782999523,2078.4,65535,13100.4666666667,11022.0666666667,0,0,0,1,1,1,
24,785.030972386596,12738.350908116,1.80095449418513,2169.3,65535,6377.86666666667,4208.56666666667,0,0,0,1,1,1,
25,785.15358041883,12736.3617123998,3.7901502104105,1864.9,65535,3727.83333333333,1862.93333333333,0,0,0,1,1,1,
26,785.276179815487,12734.3732778825,5.77858472769731,1858.63333333333,65535,3583.13333333333,1724.5,0,0,0,1,1,1,
27,785.398770572849,12732.3856042024,7.76625840781526,2114.36666666667,65535,3698.76666666667,1584.4,0,0,0,1,1,1,
28,785.521352687198,12730.3986909979,9.75317161230305,1934.7,65535,2047.66666666667,112.966666666667,0,0,0,1,1,1,
29,785.643926154813,12728.4125379078,11.7393247024465,2011.06666666667,65535,2112.23333333333,101.166666666667,0,0,0,1,1,1,
30,785.766490971978,12726.4271445709,13.7247180393133,1867.83333333333,65535,1947.9,80.0666666666668,0,0,0,1,1,1,
31,785.889047134974,12724.4425106265,15.7093519837217,2077.36666666667,65535,2156,78.6333333333332,0,0,0,1,1,1,
32,786.011594640082,12722.4586357139,17.6932268962537,2237.7,65535,2287.86666666667,50.166666666667,0,0,0,1,1,1,
33,786.134133483583,12720.4755194729,19.6763431372528,2082.23333333333,65535,2130.46666666667,48.2333333333336,0,0,0,1,1,1,
34,786.25666366176,12718.4931615434,21.6587010668318,2079.6,65535,2128.8,49.2000000000003,0,0,0,1,1,1,
35,786.379185170893,12716.5115615653,23.6403010448576,2211.96666666667,65535,2261.83333333333,49.8666666666668,0,0,0,1,1,1,
36,786.501698007265,12714.5307191792,25.6211434309644,2503.06666666667,65535,2550.4,47.3333333333335,0,0,0,1,1,1,
37,786.624202167156,12712.5506340257,27.60122858455,2169.4,65535,2245.63333333333,76.2333333333331,0,0,0,1,1,1,
38,786.746697646848,12710.5713057454,29.5805568647775,3130.36666666667,65535,3264.9,134.533333333333,0,0,0,1,1,1,
39,786.869184442623,12708.5927339796,31.5591286305698,3029,65535,3393.53333333333,364.533333333333,0,0,0,1,1,1,
40,786.991662550762,12706.6149183696,33.5369442406154,2793.13333333333,65535,3311.43333333333,518.3,0,0,0,1,1,1,
41,787.114131967547,12704.6378585568,35.5140040533643,2678.8,65535,3514.56666666667,835.766666666666,0,0,0,1,1,1,
42,787.236592689259,12702.6615541832,37.4903084270354,2793.06666666667,65535,4137.1,1344.03333333333,0,0,0,1,1,1,
43,787.359044712179,12700.6860048906,39.4658577196114,3275.16666666667,65535,5146.73333333333,1871.56666666667,0,0,0,1,1,1,
44,787.48148803259,12698.7112103214,41.4406522888366,3309.23333333333,65535,5456.63333333333,2147.4,0,0,0,1,1,1,
45,787.603922646772,12696.737170118,43.4146924922206,3843.46666666667,65535,5932.56666666667,2089.1,0,0,0,1,1,1,
46,787.726348551008,12694.7638839232,45.3879786870384,4671.4,65535,6509.2,1837.8,0,0,0,1,1,1,
47,787.848765741577,12692.7913513799,47.3605112303303,5146.93333333333,65535,6801.76666666667,1654.83333333333,0,0,0,1,1,1,
48,787.971174214764,12690.8195721313,49.3322904789075,5565.86666666667,65535,6997.36666666667,1431.5,0,0,0,1,1,1,
49,788.093573966847,12688.8485458209,51.3033167893354,6287.23333333333,65535,7483.16666666667,1195.93333333333,0,0,0,1,1,1,
50,788.21596499411,12686.8782720922,53.2735905179561,6741.43333333333,65535,7754.43333333333,1013,0,0,0,1,1,1,
51,788.338347292834,12684.9087505893,55.2431120208676,7334.8,65535,8221.36666666667,886.566666666667,0,0,0,1,1,1,
52,788.460720859299,12682.9399809563,57.2118816539387,7835.96666666667,65535,8651.73333333333,815.766666666667,0,0,0,1,1,1,
53,788.583085689788,12680.9719628374,59.179899772811,8241.9,65535,8987.8,745.9,0,0,0,1,1,1,
54,788.705441780582,12679.0046958773,61.1471667328824,8830.86666666667,65535,9468.46666666667,637.6,0,0,0,1,1,1,
55,788.827789127963,12677.0381797209,63.1136828893214,8967.86666666667,65535,9620.63333333333,652.766666666666,0,0,0,1,1,1,
56,788.950127728212,12675.0724140131,65.0794485970673,8779.66666666667,65535,9459.7,680.033333333335,0,0,0,1,1,1,
57,789.072457577611,12673.1073983994,67.0444642108196,8975.33333333333,65535,9638.3,662.966666666665,0,0,0,1,1,1,
58,789.19477867244,12671.1431325252,69.0087300850446,9036.06666666667,65535,9707.4,671.333333333332,0,0,0,1,1,1,
59,789.317091008982,12669.1796160362,70.9722465739851,9151.96666666667,65535,9828.86666666667,676.9,0,0,0,1,1,1,
60,789.439394583518,12667.2168485786,72.9350140316456,9678.4,65535,10366.4333333333,688.033333333333,0,0,0,1,1,1,
61,789.56168939233,12665.2548297984,74.8970328117921,9780.4,65535,10412.5666666667,632.166666666668,0,0,0,1,1,1,
62,789.683975431699,12663.2935593422,76.8583032679744,9620.06666666667,65535,10239.2666666667,619.199999999999,0,0,0,1,1,1,
63,789.806252697906,12661.3330368567,78.8188257534912,9351.56666666667,65535,9970.76666666667,619.199999999999,0,0,0,1,1,1,
64,789.928521187234,12659.3732619888,80.7786006214246,9936.1,65535,10589.2666666667,653.166666666666,0,0,0,1,1,1,
65,790.050780895963,12657.4142343856,82.7376282246223,9761.86666666667,65535,10389.2,627.333333333334,0,0,0,1,1,1,
66,790.173031820375,12655.4559536945,84.6959089156935,9486.76666666667,65535,10075,588.233333333334,0,0,0,1,1,1,
67,790.295273956751,12653.4984195632,86.6534430470238,9622.5,65535,10204.1,581.6,0,0,0,1,1,1,
68,790.417507301374,12651.5416316394,88.6102309707621,9727.2,65535,10303.5333333333,576.333333333332,0,0,0,1,1,1,
69,790.539731850524,12649.5855895714,90.566273038834,9731.06666666667,65535,10301.1666666667,570.099999999999,0,0,0,1,1,1,
70,790.661947600483,12647.6302930073,92.5215696029263,9727.83333333333,65535,10294.7666666667,566.933333333332,0,0,0,1,1,1,
71,790.784154547533,12645.6757415957,94.4761210145007,11455.0666666667,65535,12000.7333333333,545.666666666666,0,0,0,1,1,1,
72,790.906352687954,12643.7219349854,96.4299276247893,9683.93333333333,65535,10200.6,516.666666666668,0,0,0,1,1,1,
73,791.02854201803,12641.7688728254,98.3829897847845,9808.26666666667,65535,10338.1666666667,529.9,0,0,0,1,1,1,
74,791.15072253404,12639.8165547649,100.335307845264,9902.43333333333,65535,10406.3,503.866666666667,0,0,0,1,1,1,
75,791.272894232267,12637.8649804534,102.286882156764,9470,65535,9984.9,514.9,0,0,0,1,1,1,
76,791.395057108992,12635.9141495406,104.237713069599,9445.43333333333,65535,9952.6,507.166666666668,0,0,0,1,1,1,
77,791.517211160496,12633.9640616764,106.187800933843,9483.8,65535,9990.56666666667,506.766666666668,0,0,0,1,1,1,
78,791.639356383061,12632.0147165108,108.137146099358,9235.23333333333,65535,9745.26666666667,510.033333333333,0,0,0,1,1,1,
79,791.761492772969,12630.0661136944,110.085748915759,9493.1,65535,9975.36666666667,482.266666666666,0,0,0,1,1,1,
80,791.8836203265,12628.1182528778,112.033609732445,9551.2,65535,10021.5,470.299999999999,0,0,0,1,1,1,
81,792.005739039938,12626.1711337116,113.980728898583,9628.16666666667,65535,10082.7666666667,454.6,0,0,0,1,1,1,
82,792.127848909562,12624.2247558471,115.927106763107,9367.33333333333,65535,9817.8,450.466666666665,0,0,0,1,1,1,
83,792.249949931655,12622.2791189355,117.87274367473,9712.8,65535,10161.7666666667,448.966666666667,0,0,0,1,1,1,
84,792.372042102498,12620.3342226283,119.817639981929,9459.7,65535,9904.9,445.199999999999,0,0,0,1,1,1,
85,792.494125418372,12618.3900665772,121.761796032959,9748.46666666667,65535,10186.4,437.933333333332,0,0,0,1,1,1,
