File Version,BWRam4.15_8
Date,2026-04-03 07:13:42
Run Name,
Product Name,
Batch No,
Lot No,
Sample Suppler,
Sample Notes,
title,BWS465-785H
model,BTC665N-785H-SYS
c code,ZSSL
operator,
pixel_start,0
pixel_end,2047
pixel_num,2048
units,3
show_mode,3
data_mode,0
pixel_mode,0
integration times(sec),45
integration times unit,2
time_multiply,1
average number,2
spectrometer_type,72
yaxis,0
yaxis_min,0
yaxis_max,65535
xaxis,1
xaxis_min,54
xaxis_max,2047
coefs_a0,782.085798608048
coefs_a1,0.12281844245306
coefs_a2,-4.27130710519257E-06
coefs_a3,-6.19750623094309E-10
coefs_b0,-8914.54823242072
coefs_b1,19.2326352542194
coefs_b2,-0.0159067122090297
coefs_b3,7.53004431538809E-06
laser_wavelength,784.92
laser_powerlevel,80
probe_index,0
probe_name,
dark_compensate,0
gain,46261
offset,2048
numcoeff_d,0
coefs_d0,0
coefs_d1,1
coefs_d2,0
coefs_d3,0
coefs_d4,0
coefs_d5,0
coefs_d6,0
coefs_d7,0
irradiance_lamp_inttime,1
irradiance_lamp_unitindex,0
Color_Data_Flag,0
Color_StartWL,783
Color_EndWL,783
Color_IncWL,10
power_unit_index,0
photometric_index,0
Illuminant_index,2
observer_index,0
lab_l,0
lab_a,0
lab_b,0
radiometric_flag,0
Data Pretreat_0,
Data Pretreat_1,
Data Pretreat_2,
Data Pretreat_3,
Data Pretreat_4,
Data Pretreat_5,
Data Pretreat_6,
Data Pretreat_7,
Data Pretreat_8,
Data Pretreat_9,
Data Pretreat_10,
Data Pretreat_11,
Data Pretreat_12,
Data Pretreat_13,
Data Pretreat_14,
Data Pretreat_15,
Data Pretreat_16,
Data Pretreat_17,
Data Pretreat_18,
Data Pretreat_19,
Data Pretreat_20,
Data Pretreat_21,
Data Pretreat_22,
Data Pretreat_23,
Data Pretreat_24,
Data Pretreat_25,
Data Pretreat_26,
Data Pretreat_27,
Data Pretreat_28,
Data Pretreat_29,
Pixel,Wavelength,Wavenumber,Raman Shift,Dark,Reference,Raw data #1,Dark Subtracted #1,%TR #1,Absorbance #1,Irradiance (W/cm^2/nm) #1,RelativeIntensityCorrection_Ratio #1,ReferenceMaterialCorrection_Ratio #1,AbsoluteIrradianceCorrection_Ratio #1,
0,782.085798608048,12786.3209098004,-46.169047190162,1835,65535,1924.5,89.5,0,0,0,0,1,1,
1,782.208612778574,12784.3133361545,-44.161473544249,1980,65535,1960.5,-19.5,0,0,0,0,1,1,
2,782.331418402768,12782.306532462,-42.1546698518468,1836.5,65535,1877.5,41,0,0,0,0,1,1,
3,782.45421547691,12780.3004983556,-40.1486357454087,1960,65535,2015.5,55.5,0,0,0,0,1,1,
4,782.577003997282,12778.2952334678,-38.1433708576169,1776,65535,1897,121,0,0,0,0,1,1,
5,782.699783960167,12776.2907374316,-36.1388748214067,2489.5,65535,2539,49.5,0,0,0,0,1,1,
6,782.822555361844,12774.2870098802,-34.1351472699553,1789.5,65535,1837,47.5,0,0,0,0,1,1,
7,782.945318198597,12772.2840504469,-32.1321878366853,1628,65535,1686,58,0,0,0,0,1,1,
8,783.068072466705,12770.2818587655,-30.1299961552522,1577,65535,1628.5,51.5,0,0,0,0,1,1,
9,783.190818162452,12768.2804344698,-28.1285718595627,1696,65535,1758,62,0,0,0,0,1,1,
10,783.313555282117,12766.279777194,-26.127914583758,1857,65535,1951.5,94.5,0,0,0,0,1,1,
11,783.436283821984,12764.2798865724,-24.1280239622283,1807,65535,1962,155,0,0,0,0,1,1,
12,783.559003778332,12762.2807622398,-22.1288996296043,1923,65535,2062.5,139.5,0,0,0,0,1,1,
13,783.681715147445,12760.2824038309,-20.1305412207475,1710.5,65535,1945,234.5,0,0,0,0,1,1,
14,783.804417925602,12758.284810981,-18.1329483707741,1926.5,65535,2211,284.5,0,0,0,0,1,1,
15,783.927112109087,12756.2879833252,-16.136120715033,1901,65535,2379.5,478.5,0,0,0,0,1,1,
16,784.049797694179,12754.2919204993,-14.1400578891189,1884.5,65535,3191.5,1307,0,0,0,0,1,1,
17,784.172474677162,12752.2966221391,-12.1447595288591,1873,65535,6493.5,4620.5,0,0,0,0,1,1,
18,784.295143054315,12750.3020878805,-10.1502252703322,1889,65535,9606.5,7717.5,0,0,0,0,1,1,
19,784.417802821922,12748.30831736,-8.1564547498474,1819.5,65535,12568.5,10749,0,0,0,0,1,1,
20,784.540453976262,12746.3153102142,-6.16344760395987,2027.5,65535,22593.5,20566,0,0,0,0,1,1,
21,784.663096513618,12744.3230660797,-4.17120346946103,2016.5,65535,37569,35552.5,0,0,0,0,1,1,
22,784.785730430272,12742.3315845936,-2.1797219833843,1971.5,65535,43075,41103.5,0,0,0,0,1,1,
23,784.908355722504,12740.3408653932,-0.189002782999523,1788.5,65535,25875.5,24087,0,0,0,0,1,1,
24,785.030972386596,12738.350908116,1.80095449418513,1878,65535,10630.5,8752.5,0,0,0,0,1,1,
25,785.15358041883,12736.3617123998,3.7901502104105,1651.5,65535,5132,3480.5,0,0,0,0,1,1,
26,785.276179815487,12734.3732778825,5.77858472769731,1642,65535,4874,3232,0,0,0,0,1,1,
27,785.398770572849,12732.3856042024,7.76625840781526,1854.5,65535,4725,2870.5,0,0,0,0,1,1,
28,785.521352687198,12730.3986909979,9.75317161230305,1694,65535,1936,242,0,0,0,0,1,1,
29,785.643926154813,12728.4125379078,11.7393247024465,1771.5,65535,1968,196.5,0,0,0,0,1,1,
30,785.766490971978,12726.4271445709,13.7247180393133,1634.5,65535,1860,225.5,0,0,0,0,1,1,
